uuid,category,sub_category,name,title,subtitle,summary,website,merchant_editorial,rules,address,city,state,phone,latitude,longitude,detail_url
9cd31dfc-7dee-425f-bf2f-1cdb198b5cf1,Attraction and Activities,Family Activities,Taronga Zoo,25% off,Enjoy 25% off,25% off the FULL PRICE for any ADULT or CHILD for up to FOUR PEOPLE. Please purchase your tickets at the Ticket Admissions Office at Taronga Zoo Sydney and show the Ticket Admissions staff the offer. They will click the 'Redeem Offer Button' to validate and apply your discount to the full price ticket. Please DO NOT BOOK ONLINE.,https://taronga.org.au/,"Soak up the magnificent views of Sydney Harbour at Taronga Zoo, enjoy incredible wildlife, and discover amazing conservation stories, with over 4,000 animals and 20 keeper talks and shows each day. See elephants, giraffes, koalas, seals and more. Just 12 minutes by ferry from the city, or take a bus or drive. Open from 9.30am daily. Check the website for changes to opening hours, and other details.","• Please DO NOT BOOK ONLINE
• Upon arrival at Taronga Zoo, guest must show their Valid Entertainment Membership Offer at the Ticket Admissions Office.
• Staff will then click the 'Redeem Offer button' to validate and apply your discount to the full price ticket.
• This offer provides 25% off up to four individual tickets.
• The promotion does not apply to Family Tickets or any other promotion.","Bradleys Head Road, Mosman NSW 2088, Australia",Mosman,NSW,+61299692777,-33.842348,151.2433,https://www.entertainment.com.au/offer-details/9cd31dfc-7dee-425f-bf2f-1cdb198b5cf1
fa6adedd-1032-48bf-b57f-b27c56eced4e,Attraction and Activities,Family Activities,Taronga Western Plains Zoo,25% off,Enjoy 25% off,25% off the FULL PRICE for any ADULT or CHILD for up to FOUR PEOPLE. Please purchase your tickets at the Ticket Admissions Office at Taronga Western Plains Zoo and show the Ticket Admissions staff the offer. They will click the 'Redeem Offer Button' to validate and apply your discount to the full price ticket. Please DO NOT BOOK ONLINE.,taronga.org.au,"Come on zoofari to Taronga Western Plains Zoo in Dubbo, NSW. Walk, ride or drive around on hired bikes or carts. Encounter rare and endangered animals including rhinos, elephants and big cats. Daily keeper activities included in cost of admission. Tickets valid for two consecutive days. For a wild night like no other, stay overnight at Zoofari Lodge, Billabong Camp or the Savannah Cabins (Voucher cannot be used for accommodation bookings). Open from 9am to 4pm daily.","• Please DO NOT BOOK ONLINE
• Upon arrival at Taronga Western Plains Zoo, guest must show their Valid Entertainment Membership Offer at the Ticket Admissions Office.
• Staff will then click the 'Redeem Offer button' to validate and apply your discount to the full price ticket.
• This offer provides 25% off up to four individual tickets.
• The promotion does not apply to Family Tickets or any other promotion.","Obley Road, Dubbo NSW 2830, Australia",Dubbo,NSW,+61268811400,-32.279232,148.579885,https://www.entertainment.com.au/offer-details/fa6adedd-1032-48bf-b57f-b27c56eced4e
59be055d-d0b1-4a40-8a0f-f4bdd8288fcf,Attraction and Activities,Family Activities,Australian Reptile Park,One admission,"Buy one, get one free",One complimentary admission for when another admission of equal or greater value is purchased,https://reptilepark.com.au/,,,"Pacific Highway, Somersby NSW 2250, Australia",Somersby,NSW,+61243401022,-33.417907,151.277693,https://www.entertainment.com.au/offer-details/59be055d-d0b1-4a40-8a0f-f4bdd8288fcf
1d9bd916-7d99-4e86-832e-6b9deb3bcaad,Attraction and Activities,Family Activities,Koala Park,One general admission,"Buy one, get one free",One complimentary GENERAL ADMISSION when another GENERAL ADMISSION of equal or greater value is purchased,https://koalapark-sanctuary.com.au/,,,"84 Castle Hill Road, West Pennant Hills NSW 2125, Australia",West Pennant Hills,NSW,+61294843141,-33.742354,151.044969,https://www.entertainment.com.au/offer-details/1d9bd916-7d99-4e86-832e-6b9deb3bcaad
1f185468-2146-4570-a77c-71343e32ac06,Attraction and Activities,Family Activities,WILD LIFE Sydney Zoo,30% off,Enjoy 30% off,30% off a 1-DAY PURCHASE ADVANCE PERIOD for Weekdays*,,"Discover the best of Australia at WILD LIFE Sydney Zoo – The home of the Aussie Big 5!
Step into an animal adventure in the heart of Darling Harbour and meet your favourite iconic Australian animals! From snapping a selfie with a koala, meeting a kangaroo, coming eye-to-eye with our three freshwater crocodiles, watching Ringo the wombat plays in his exhibit to watching our resident platypus swim through the water, there’s always something to explore!
WILD LIFE Sydney Zoo features interactive displays, entertaining daily keeper talks and enhanced walk-through habitats – it’s a day out in the heart of the city like no other!","• Discount rates may be subject to change at any time
• Timeslots – Offer may be unavailable or restricted at certain times of the day when an attraction may be experiencing high demand.
• Weekends - Offer will be available at weekends during the validity period, but promotional tickets will have limited availability, which may vary by attraction.
• Public Holidays and School Holidays  – Offer excludes public holidays and school holidays that occur during the validity period, which may vary by state.",,,,,,,https://www.entertainment.com.au/offer-details/1f185468-2146-4570-a77c-71343e32ac06
606b8646-35a6-423b-9790-f9ab5f2f46a3,Attraction and Activities,Family Activities,WILD LIFE Sydney Zoo,10% off,Enjoy 10% off,10% off a 1-DAY PURCHASE ADVANCE PERIOD for Weekends & School Holidays*,,"Discover the best of Australia at WILD LIFE Sydney Zoo – The home of the Aussie Big 5!
Step into an animal adventure in the heart of Darling Harbour and meet your favourite iconic Australian animals! From snapping a selfie with a koala, meeting a kangaroo, coming eye-to-eye with our three freshwater crocodiles, watching Ringo the wombat plays in his exhibit to watching our resident platypus swim through the water, there’s always something to explore!
WILD LIFE Sydney Zoo features interactive displays, entertaining daily keeper talks and enhanced walk-through habitats – it’s a day out in the heart of the city like no other!","• Discount rates may be subject to change at any time
• Timeslots – Offer may be unavailable or restricted at certain times of the day when an attraction may be experiencing high demand.
• Weekends - Offer will be available at weekends during the validity period, but promotional tickets will have limited availability, which may vary by attraction.
• Public Holidays – Offer excludes public holidays that occur during the validity period, which may vary by state.",,,,,,,https://www.entertainment.com.au/offer-details/606b8646-35a6-423b-9790-f9ab5f2f46a3
18c5ff4b-a37b-441d-8405-20d350263ae8,Attraction and Activities,Cinema,"Event Cinemas, BCC Cinemas & Village Cinemas",Special,Access special e-Vouchers,Access SPECIAL EVOUCHERS online,https://www.eventcinemas.com.au/,Experience the biggest blockbuster movies in Australia's number one cinemas with great offers available all year round.,"• eVoucher must be used before specified expiry date
• Both Adult and Child eSaver eVouchers are not valid after 5pm on Saturdays
• Family Pass eVouchers are valid for G and PG sessions only
• Gold Class Single Admission eVoucher Is Not valid for use from 5pm Thursdays, Fridays and Saturdays
• Gold Class Double and Gold Class Single Admission is Not valid for use in ACT
• All eVouchers are Not valid for use at Moonlight Cinemas or Skyline Drive In
• All eVouchers are only valid for original sessions, please refer to cinema Full Terms and Conditions
• This eVoucher is not valid for NFT sessions (No free ticket) and special events
• eVouchers cannot be used at Village Bendigo, Rosebud, Sorrento, Warragul and Warrnambool VIC Locations
• Fees apply. A 1.25% credit card surcharge fee will apply
• Online booking fees apply. Surcharges apply for V-Max and 3D sessions
• Restrictions do apply. Please refer to cinema Full Terms and Conditions when purchasing","Westfield Bondi Junction, Level 7&8, 500  Oxford Street, Bondi Junction NSW 1355, Australia",Bondi Junction,NSW,,-33.891502,151.250256,https://www.entertainment.com.au/offer-details/18c5ff4b-a37b-441d-8405-20d350263ae8
2b38c6bd-c1d6-4e85-adbe-64096ef512f6,Attraction and Activities,Cinema,HOYTS Australia,Special,Exclusive prices,Exclusive Hoyts e-Voucher prices.,https://www.hoyts.com.au/,Join HOYTS Rewards and be rewarded for watching movies. Join now at hoyts.com.au or in cinema. Terms and conditions and fees apply.,"• All eVouchers must be used before specified expiry date
• Adult and Child eVouchers can be used for any Standard Session (except on Saturday and Sundays from 2pm onwards, and on Public Holidays) at HOYTS Cinemas in Australia. Not valid in South Australia
• Adult eVoucher South Australia SA can be used for any Standard Session (except on Saturday and Sundays from 2pm onwards, and on Public Holidays) at HOYTS Cinemas in South Australia ONLY
• Child eVoucher is valid for child aged 15 years and under
• Fees apply.  A 1.25% credit card surcharge fee will apply
• Subject to availability. Booking fees will apply
• All eVouchers are valid for any D-BOX, 3D, Samsung Onyx, Lounge and/or Xtremescreen movie session with an upgrade fee, which will be applied at time of redemption
• All eVouchers are not valid for NFT sessions (No free ticket) and special events
• Restrictions do apply. Please see Full Terms and Conditions at HOYTS.com.au",,,,,,,https://www.entertainment.com.au/offer-details/2b38c6bd-c1d6-4e85-adbe-64096ef512f6
acd2a7c1-c3a7-4df9-b627-3477433e0db9,Attraction and Activities,Family Activities,Madame Tussauds Sydney,30% off,Enjoy 30% off,30% off a 1-DAY PURCHASE ADVANCE PERIOD for Weekdays*,https://www.madametussauds.com/sydney/?utm_source=gmb&utm_medium=organic&utm_campaign=yext&utm_content=2,"Madame Tussauds Sydney invites you on an exhilarating journey through interactive zones, where you’ll encounter 100 jaw-droppingly lifelike Aussie icons and celebrities from around the globe! With VIP access, get impossibly close to your favourite stars, join immersive adventures with iconic characters, and be enchanted by the world’s most celebrated stories.

We invite you to discover a magical world of unrivalled ancient craftmanship where Madame Tussauds combines time-honoured techniques with cutting-edge technology. It takes more than 500 exact measurements and 150 images to create each celebrity figure with the sculpting process taking months and costing as much as $220,000.","• Discount rates may be subject to change at any time
• Timeslots – Offer may be unavailable or restricted at certain times of the day when an attraction may be experiencing high demand.
• Weekends - Offer will be available at weekends during the validity period, but promotional tickets will have limited availability, which may vary by attraction.
• Public Holidays – Offer excludes public holidays that occur during the validity period, which may vary by state.","Aquarium Wharf, Darling Harbour, Wheat Road, Sydney NSW 2000, Australia",Sydney,NSW,1800205851,-35.237505,149.066101,https://www.entertainment.com.au/offer-details/acd2a7c1-c3a7-4df9-b627-3477433e0db9
e9ae6711-85a9-45a7-a1c8-cc3f49af4e95,Attraction and Activities,Family Activities,Madame Tussauds Sydney,20% off,Enjoy 20% off,20% off a 1-DAY PURCHASE ADVANCE PERIOD for Weekdays*,https://www.madametussauds.com/sydney/?utm_source=gmb&utm_medium=organic&utm_campaign=yext&utm_content=2,"Madame Tussauds Sydney invites you on an exhilarating journey through interactive zones, where you’ll encounter 100 jaw-droppingly lifelike Aussie icons and celebrities from around the globe! With VIP access, get impossibly close to your favourite stars, join immersive adventures with iconic characters, and be enchanted by the world’s most celebrated stories.

We invite you to discover a magical world of unrivalled ancient craftmanship where Madame Tussauds combines time-honoured techniques with cutting-edge technology. It takes more than 500 exact measurements and 150 images to create each celebrity figure with the sculpting process taking months and costing as much as $220,000.","• Discount rates may be subject to change at any time
• Timeslots – Offer may be unavailable or restricted at certain times of the day when an attraction may be experiencing high demand.
• Weekends - Offer will be available at weekends during the validity period, but promotional tickets will have limited availability, which may vary by attraction.
• Public Holidays – Offer excludes public holidays that occur during the validity period, which may vary by state.","Aquarium Wharf, Darling Harbour, Wheat Road, Sydney NSW 2000, Australia",Sydney,NSW,1800205851,-35.237505,149.066101,https://www.entertainment.com.au/offer-details/e9ae6711-85a9-45a7-a1c8-cc3f49af4e95
