uuid,category,sub_category,name,title,subtitle,summary,website,merchant_editorial,rules,address,city,state,phone,latitude,longitude,detail_url
a3e65480-e511-4742-b7c5-635b401a1fd2,Cafe and Family Dining,Mexican,Burrito Bar,Up to $25,Enjoy 25% off,25% off the TOTAL BILL,https://theburritobar.com.au/,"The freshest Mexican food around. Burritos, tacos, nachos, quesadillas, salads, sides and great desserts available. Choose from chicken, beef, pork, steak, fish and vegetarian varieties. Fully licensed, enjoy a margarita or Mexican beer with your meal. Dine-in or takeaway.",• Not to be used in conjunction with any other offers/specials,"G15B South Point Shopping Centre, Corner Anketell and Reed Street, Tuggeranong ACT 2900, Australia",Tuggeranong,ACT,+61262939772,-35.41679966735787,149.06652096897005,https://www.entertainment.com.au/offer-details/a3e65480-e511-4742-b7c5-635b401a1fd2
702a958a-1131-49cf-a26e-d644637717f3,Cafe and Family Dining,Japanese,Okami Japanese Restaurant,35% off,Enjoy 35% off,35% off the exclusive ENTERTAINMENT GRAND PLATTER 15-COURSE SET MENU FOR TWO,https://www.okamirestaurant.com.au/,"OKAMI Japanese Restaurant is a pioneer in bringing Japanese family cuisine into Australia. Every dish at OKAMI is freshly made to order from the menu. Combined with the cozy atmosphere, this makes OKAMI an essentially family and group gathering friendly venue.","• Offer Valid for OKAMI ENTERTAINMENT GRAND PLATTER 15-COURSE SET MENU FOR TWO ($120 Value)
• Okami x Entertainment: Grand Platter for Two! (Valued at $120, yours for just $78!)
• Indulge in a 15-course Japanese feast with our exclusive Entertainment Grand Platter, specially curated for Entertainment Members.
• Prepare your taste buds for
• A taste of Japan to start: Miso Soup x 2, Edamame, Vege Gyoza, Prawn Gyoza, Agedashi Tofu: Crispy tofu in a savory broth.
• Next, delight in: Sushi and Sashimi Platter: A fresh and flavourful selection, Beef Carpaccio: Thinly sliced beef with a delicate flavour, Chicken Karaage: Crispy juicy fried chicken, Vegetable Spring Rolls: Golden-fried and packed with veggies, Vege Kakiage: A medley of tempura-fried vegetables, Potato Croquette: Creamy and crispy potato perfection.
• For your main course (choose one): Steak with Teriyaki / Miso Sauce OR Teriyaki Chicken
• Optional sides: Steamed Vegetables OR Stir Fry Vegetable with garlic sauce
• Optional sides (choose one): Fried Rice OR Fried Beef Udon
• Drinks (choose one): Pot of Okami House Sake OR Any two drinks (Mocktails, beers, soft drinks)
• Sweet endings: Two delectable desserts.
• Booking is essential! Call or book online
• Please note: Not valid for All-You-Can-Eat or on public holidays.
• Valid Entertainment Membership must be presented.","Mode3, 138, 24 Lonsdale Street, Braddon ACT 2612, Australia",Braddon,ACT,,-35.27258263812416,149.13314741160895,https://www.entertainment.com.au/offer-details/702a958a-1131-49cf-a26e-d644637717f3
d3b920c6-afaf-4770-a673-33860f6bc2e3,Cafe and Family Dining,Japanese,Okami Japanese Restaurant,Up to $30,Enjoy 25% off,25% off the A La Carte Menu Only. Up to $30.00 value,https://www.okamirestaurant.com.au/,"OKAMI Japanese Restaurant is a pioneer in bringing Japanese family cuisine into Australia. Every dish at OKAMI is freshly made to order from the menu. Combined with the cozy atmosphere, this makes OKAMI an essentially family and group gathering friendly venue.","• Offer Not Valid for ALL YOU CAN EAT MENU.
• Not valid on public holidays
• Bookings essential. Call or Book Online","Mode3, 138, 24 Lonsdale Street, Braddon ACT 2612, Australia",Braddon,ACT,,-35.27258263812416,149.13314741160895,https://www.entertainment.com.au/offer-details/d3b920c6-afaf-4770-a673-33860f6bc2e3
52f705a4-f919-4d87-988d-e4bf81d64dcb,Cafe and Family Dining,Japanese,Sushi Hub,One sushi roll,"Buy one, get one free",One complimentary SUSHI ROLL when another SUSHI ROLL of equal or greater value is purchased (Single Use Offer ONLY),https://sushihub.com.au/,"Over 70 varieties to choose from, including the popular soft shell crab roll. They use free-range chicken, Tasmanian salmon and healthy brown rice in their sushi. Sushi Hub aims to deliver a perfect sushi experience to all customers, committed to providing the freshest, healthiest and most delicious sushi. Perfect food on the run, fresh sushi every day. Open 7 days.","• Single Use Only
• Valid at all current and future locations
• Valid for Dine-In
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.","Kiosk 66, Gunghalin Marketplace, 30 & 33 Hibberson Street, Gungahlin ACT 2912, Australia",Gungahlin,ACT,,-35.1854704,149.1337266,https://www.entertainment.com.au/offer-details/52f705a4-f919-4d87-988d-e4bf81d64dcb
988bb1c7-f85d-4b80-abee-a3472ad0a7e7,Cafe and Family Dining,Cafe,"Flour, Water, Salt Organic Sourdough Bakery",Up to $50,Enjoy 25% off,25% off the TOTAL BILL,https://www.flourwatersalt.com.au,"Flour, Water, Salt bread only contains three ingredients – organic flour, purified water and sea salt. Their organic bread is authentic sourdough. They keep it traditional – their artisan bakers cut no corners when it comes to their method: shaped and moulded by hand, their breads are left to rise for hours, and baked to produce authentic European hand-crafted sourdough. Products are sourced from like-minded suppliers that respect their product, and the bakery uses locally-produced ingredients where possible.","• Valid for dine-in and takeaway
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.","49 Shoalhaven Street, Kiama NSW 2533, Australia",Kiama,NSW,+61242330887,-34.670647,150.85421,https://www.entertainment.com.au/offer-details/988bb1c7-f85d-4b80-abee-a3472ad0a7e7
24f5f01c-31fc-4745-a096-218db570a2aa,Cafe and Family Dining,Nepalese,The Mustang Nepalese Restaurant & Bar,Up to $40,Enjoy 25% off,25% off the TOTAL BILL,https://themustangcanberra.com.au/,"Experience the eclectic taste of Nepali cuisine at The Mustang Nepalese Restaurant & Bar. A delightful blend of Indian, Chinese, and Tibetan cultures, Nepal is a fascinating place with a cuisine full of complex, healthy and satisfying flavours.","• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.
• Valid for Dine-In","4 Farrer Place, Farrer ACT 2607, Australia",Farrer,ACT,+61262868088,-35.375523,149.101587,https://www.entertainment.com.au/offer-details/24f5f01c-31fc-4745-a096-218db570a2aa
2f519854-45cb-4a9c-ac41-af5aa0075bff,Cafe and Family Dining,Contemporary,Clancy's Restaurant at Banjo Paterson Inn,Up to $40,"Buy one, get one free",One complimentary MAIN COURSE when another MAIN COURSE of equal or greater value is purchased,https://www.banjopatersoninn.com.au/,"Clancy's Brasserie specialises in fresh seafood and steak. Located in the heart of the Snowy Mountains, overlooking the breath-taking Lake Jindabyne. Relax and unwind by the fire place with one of Clancy's famous cocktails. Enjoy the fresh food of Clancy's Brasserie all year round for breakfast, lunch and dinner. Start the day with a hot Snowy Mountain breakfast in the colder months, and enjoy a contemporary menu in the relaxed and friendly atmosphere in the evening.","• or when dining alone one MAIN COURSE at 50% off the REGULAR PRICE
• Valid for Dine-In
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.","1 Kosciuszko Road, Jindabyne NSW 2627, Australia",Jindabyne,NSW,+61264562372,-36.416683,148.624406,https://www.entertainment.com.au/offer-details/2f519854-45cb-4a9c-ac41-af5aa0075bff
6a898e82-f2c8-4f16-9678-80210e6857a1,Cafe and Family Dining,Indian,Barbeque Nation,Up to $30,Enjoy 25% off,25% off the TOTAL BILL,https://www.barbequenation.com.au/,"Barbeque Nation offers an extensive vegetarian menu, as well as non-vegetarian options. Drawn from Mediterranean, American, and Asian origins, Barbeque Nation recreates the charm of the traditional clay oven, or tandoor, with its delicious menu of succulent tandoor-cooked kebabs, vegetables and breads. Step inside Barbeque Nation for a contemporary glimpse at popular tandoori cuisines. Barbeque Nation Wanniassa has been awarded Best Indian Restaurant in the ACT 2017.","• This offer may be used when dining alone
• Valid for Dine-In
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.","5/33 Gartside Street, Wanniassa ACT 2903, Australia",Wanniassa,ACT,+61262966608,-35.405397,149.100527,https://www.entertainment.com.au/offer-details/6a898e82-f2c8-4f16-9678-80210e6857a1
80b41f12-bf34-44ce-a77a-6dcd1c42060e,Cafe and Family Dining,Chinese,Chinese Inn,Up to $30,Enjoy 25% off,25% off the TOTAL BILL,https://chineseinn.com.au/,"Located at the popular Kippax Fair, Chinese Inn serves authentic Chinese cuisine and MSG-free Malaysian speciality dishes. The restaurant features a fully licensed cocktail bar, and can cater for any special occasion functions on-site. Together with an extensive range of beef, poultry and vegetarian dishes, Chinese Inn can enhance your dining experience with live seafood. Choose to dine indoors in fully air-conditioned comfort, or alfresco. Come to dine-in for lunch Monday to Sunday from 12pm and dinner Monday to Sunday from 5pm.","• Valid for Dine-In
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.","Shop 30, Hardwick Crescent, Holt ACT 2615, Australia",Holt,ACT,+61262551330,-35.222298,149.019908,https://www.entertainment.com.au/offer-details/80b41f12-bf34-44ce-a77a-6dcd1c42060e
9ba6c810-cb02-4358-92d4-b15376aed9fc,Cafe and Family Dining,Contemporary,The Barracks Espresso Bar & Eating House,Up to $30,Enjoy 25% off,25% off the TOTAL BILL,http://www.historicplaces.com.au/lanyon-homestead,"Housed in what was once the workers' barracks of the Lanyon Homestead, The Barracks Espresso Bar & Eating House embodies the spirit of what the Lanyon heritage site offers us today – both change and continuity. The Barracks Espresso Bar & Eating House provides a modern colonial dining sensation in a cosy atmosphere, with sensational countryside views. Open for breakfast and lunch Tuesday to Sunday. Bookings recommended. Be sure to ask staff about their amazing function space.","• Valid for dine-in and takeaway
• This offer may also be used when dining alone
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.","Tharwa Drive, Tharwa ACT 2620, Australia",Tharwa,ACT,+61262375268,-35.508848,149.069729,https://www.entertainment.com.au/offer-details/9ba6c810-cb02-4358-92d4-b15376aed9fc
