uuid,category,sub_category,name,title,subtitle,summary,website,merchant_editorial,rules,address,city,state,phone,latitude,longitude,detail_url
f296605e-8d63-4c79-8d91-616a15b57d1f,Fine Dining,Contemporary,Captain Cook Cruises,25% off,Enjoy 25% off,25% off the FIXED ADULT PRICE for any CAPTAIN COOK DINING CRUISE for up to 10 guests,https://www.captaincook.com.au/,"You are invited to discover the world's most beautiful harbour and all it has to offer. Cruise aboard Sydney's most prestigious cruise ship, MV Sydney 2000, and make memories to last a lifetime. Million dollar views, premium dining, and award-winning service.","• Bookings can be made online at: https://www.captaincook.com.au/promo/entertainment
• Valid for Gold Penfolds Dinner, Gold Dinner, Starlight Dinner, Sunset Dinner, Top Deck Lunch or High Tea Cruise.
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.
• Valid for travel to 30 Jun 24 excl special event dates / cruises including but not limited to 25, 26 &amp; 31 December, 26 January, 14 February and Vivid Sydney.
• Valid on new bookings only and not valid with any other offer","Wharf No. 6, Circular Quay, Sydney NSW 2000, Australia",Sydney,NSW,+61292061111,-33.860995,151.209795,https://www.entertainment.com.au/offer-details/f296605e-8d63-4c79-8d91-616a15b57d1f
95cf01b8-c17d-46ab-bada-7278b05623b0,Fine Dining,Contemporary,Hickory's Restaurant and Bar,Up to $50,Enjoy 25% off,25% off the TOTAL BILL,https://www.hickorys.com.au/,"Set in the heart of the Southern Highlands overlooking the picturesque garden estate and golf course, Hickory's Restaurant and Bar is a modern restaurant featuring sumptuous menus created by the talented team led by Executive Chef Warrick Brook. Hickory's Restaurant and Bar has gained an enviable reputation in the Southern Highlands for fine food, with the à la carte menu changing seasonally, featuring Modern Australian cuisine utilising quality fresh produce from the region. The comprehensive wine list, featuring local and premium wines, will enhance your intimate dining experience.","• Valid for Dine-In
• This offer may also be used when dining alone
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.","Peppers Craigieburn, Centennial Road, Bowral NSW 2576, Australia",Bowral,NSW,+61248628000,-34.467863,150.403669,https://www.entertainment.com.au/offer-details/95cf01b8-c17d-46ab-bada-7278b05623b0
5057e42d-2c1b-4c11-b716-68b298e5891c,Fine Dining,Italian,OTTO Sydney,Up to $65,Enjoy 25% off,25% off the TOTAL BILL,https://ottoristorante.com.au/sydney/,"As the Italians say, ""Vive Bene Mangia Bene"" – to live well is to eat well – and in Sydney, OTTO is the perfect location for both. At the forefront of Modern Italian cuisine, OTTO reinvents the flavours of Italy with roots firmly placed in the classics, accompanied by warm and friendly service, al fresco dining, and trademark waterside views. Located on the Finger Wharf at Woolloomooloo, OTTO is designed for any occasion. Award-winning Head Chef Richard Ptacnik's seasonal menu is fresh, delicious, and produce-driven–from perfectly al dente saffron linguine, to local seafood on the wood-fire grill. OTTO is the quintessential Sydney dining experience and has remained a local favourite for over 20 years. When you eat at OTTO, you are truly living la dolce vita.","• Valid for Dine-In
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day.Christmas Eve and New Year's Eve. All other Entertainment Offers are valid at all times.","Area 8, 6 Cowper Wharf Road, Woolloomooloo NSW 2011, Australia",Woolloomooloo,NSW,+61293687488,-33.8683,151.22,https://www.entertainment.com.au/offer-details/5057e42d-2c1b-4c11-b716-68b298e5891c
473bc2a7-78b6-44d6-8e59-19270ce5e763,Fine Dining,Contemporary,Katers Restaurant,Up to $50,Enjoy 25% off,25% off the TOTAL BILL,https://www.katers.com.au/,"A charming country setting – a grand manor house, reminiscent of a bygone era, with open log fires, Bentwood chairs, and wood panelled windows, create an elegant ambience looking out over the well-kept gardens. Their chef is passionate about local produce, and utilising their own kitchen garden vegetables, herbs, and flowers. The menu is created by using old, and new techniques, resulting in beautifully balanced flavours, presented with a touch of modern flair.","• Valid for Dine-In
• This offer may also be used when dining alone
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.","Kater Road, Sutton Forest NSW 2577, Australia",Sutton Forest,NSW,+61248603102,-34.565706,150.34367,https://www.entertainment.com.au/offer-details/473bc2a7-78b6-44d6-8e59-19270ce5e763
3b3a3329-71b5-4f0c-b669-40714ec20964,Fine Dining,Contemporary,Atrium Restaurant & Bar,Up to $35,"Buy one, get one free",One complimentary MAIN COURSE when another MAIN COURSE of equal or greater value is purchased,https://atriumrestaurantandbar.com.au/,"You are invited to discover a unique dining experience at the Atrium Restaurant & Bar at the Pavilion on Northbourne, Canberra's only restaurant and bar set in a beautiful tropical atrium. Serving both Australian and international cuisine, the Atrium Restaurant & Bar is committed to providing diners with a memorable experience. Savour a delicious meal from the creative menu, enjoy a glass of wine or a cocktail from the bar, and delight in the tranquil garden surrounds.","• or when dining alone one MAIN COURSE at 50% off the REGULAR PRICE
• Valid for Dine-In
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.","242 Northbourne Avenue, Dickson ACT 2602, Australia",Dickson,ACT,+61262476888,-35.25899,149.133203,https://www.entertainment.com.au/offer-details/3b3a3329-71b5-4f0c-b669-40714ec20964
91be143a-7ce6-4df4-80a8-6d79dcadbd43,Fine Dining,Italian,Belluci's,Up to $40,Enjoy 25% off,25% off the TOTAL BILL,https://www.bellucis.com.au/,"Belluci's demonstrates a new concept, a new food philosophy – the dawn of a new era in Canberra dining. Having been established more than 20 years ago, Belluci's have fast become an iconic name in Canberra. To bring you the finest dishes, they've gone back to their traditional Italian roots, creating simple, rustic food. The comfortable surrounds, outstanding food and excellent service provide a memorable dining experience. Open 7 days for lunch and dinner.","• Valid for Dine-In
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.","Corner of Franklin and Furneaux Street, Manuka ACT 2603, Australia",Manuka,ACT,+61262397424,-35.319572,149.132452,https://www.entertainment.com.au/offer-details/91be143a-7ce6-4df4-80a8-6d79dcadbd43
56702bbd-0037-4b09-b5b4-29e0cd19ed83,Fine Dining,Contemporary,Belluci's Manuka eGift Card,14% off,Enjoy 14% off,14% off Entice Dining Redemption Code,https://entice.giftarestaurant.com/,"Belluci's demonstrates a new concept, a new food philosophy – the dawn of a new era in Canberra dining. Having been established more than 20 years ago, Belluci’s fast became an iconic name in Canberra.

To bring you the finest dishes, we’ve gone back to traditional Italian routes, creating simple, rustic food. You can expect dining experiences of the highest quality at every Belluci’s restaurant, with each location donning a unique charm and character, from film noir memorabilia to classic black and white photos of our families in Europe. Belluci's Manuka is located at 4 irving St, Manuka","• Gift card may take up to 24hrs to arrive
• The Entice Dining eGift Card may not be used directly at any restaurants.
• Entice Dining eGift Cards are valid for 6 months from date of purchase
• Gift A Restaurant Pty Ltd is a distributor of restaurant gift card products including the Entice Dining Gift Card products.
• Gift Cards distributed by Gift A Restaurant Pty Ltd are non-refundable, cannot be treated as cash and cannot be replaced if lost or stolen.
• Entice Dining Gift Cards distributed by Gift A Restaurant Pty Ltd expire after issue as stated in accordance with the Law. Entice Dining Gift Cards distributed by Gift A Restaurant Pty Ltd can only be redeemed on the Entice Dining website (http://entice.giftarestaurant.com/) as outlined within the customer redemption instructions.
• When an Entice Dining Gift Card distributed by Gift a Restaurant Pty Ltd is redeemed online for a restaurant Gift Card, Gift A Restaurant Pty Ltd issued restaurant Gift Cards may only be used for purchases at the specified venue and cannot be returned or exchanged for cash.
• Gift A Restaurant Pty Ltd issued restaurant Gift Cards may not be re-sold or bartered for cash.
• Gift A Restaurant Pty Ltd reserve the right to change any of the terms contained in these Terms and Conditions at any time where the change is required.
• By purchasing, redeeming or attempting to redeem a Gift A Restaurant Pty Ltd Gift Card, you: accept and agree to be bound by these Terms and Conditions; and acknowledge that you have read and understood our Privacy Policy (https://giftarestaurant.com/privacy-policy/).
• You may be required to produce proof of identification at the time of redeeming your Gift Card. If you are unable to provide identification the staff at the venue where you are attempting to redeem your gift card have the right to not accept the Gift Card as payment until you are able to do so.
• Further Terms and Conditions at https://giftarestaurant.com/terms-of-online-sale/
• Offer valid for repeat use
• Can purchase up to $2,500 in eGift Cards per transaction
• May purchase up to $10,000 per Entertainment Membership
• In the event that your nominated venue closes, Gift A Restaurant Pty Ltd can exchange the gift card for another venue. Please email them directly at contactus@giftarestaurant.com","Cnr Franklin & Furneaux Street, Manuka ACT 2603, Australia",Manuka,ACT,,-35.31941446437929,149.13250222597338,https://www.entertainment.com.au/offer-details/56702bbd-0037-4b09-b5b4-29e0cd19ed83
f0659e42-82ec-44e5-a429-3d53e583b9a2,Fine Dining,Contemporary,Black Fire Restaurant eGift Card,14% off,Enjoy 14% off,14% off Entice Dining Redemption Code,https://entice.giftarestaurant.com/,"Black Fire, ""Feugo Nero”, is an award winning, fiercely individualistic restaurant, that delivers Mediterranean inspired cuisine with a focus on Spanish cuisine. Imaginative dishes are presented in a unique style and the passion, and dedication that Black Fire have for their fare, is evident in each and every plate. Meats, seafood and vegetables are rustically cooked through the use of the open fire roast, wood fire oven and charcoal grill, resulting in dishes that are wonderfully unique in flavour. You can taste the authenticity. As soon as you walk in you cannot help but succumb to the Spanish vibe that is created, match the atmosphere with a glass of Spanish Tempranillo or a glass of the House Sangria, then you really will feel like you are in Spain. Sensational food, flawless service, just 10 minutes from Canberra’s CBD Blackfire Restaurant is located at 45/38 Mort st, Braddon, ACT.","• Gift card may take up to 24hrs to arrive
• The Entice Dining eGift Card may not be used directly at any restaurants.
• Entice Dining eGift Cards are valid for 6 months from date of purchase
• Gift A Restaurant Pty Ltd is a distributor of restaurant gift card products including the Entice Dining Gift Card products.
• Gift Cards distributed by Gift A Restaurant Pty Ltd are non-refundable, cannot be treated as cash and cannot be replaced if lost or stolen.
• Entice Dining Gift Cards distributed by Gift A Restaurant Pty Ltd expire after issue as stated in accordance with the Law. Entice Dining Gift Cards distributed by Gift A Restaurant Pty Ltd can only be redeemed on the Entice Dining website (http://entice.giftarestaurant.com/) as outlined within the customer redemption instructions.
• When an Entice Dining Gift Card distributed by Gift a Restaurant Pty Ltd is redeemed online for a restaurant Gift Card, Gift A Restaurant Pty Ltd issued restaurant Gift Cards may only be used for purchases at the specified venue and cannot be returned or exchanged for cash.
• Gift A Restaurant Pty Ltd issued restaurant Gift Cards may not be re-sold or bartered for cash.
• Gift A Restaurant Pty Ltd reserve the right to change any of the terms contained in these Terms and Conditions at any time where the change is required.
• By purchasing, redeeming or attempting to redeem a Gift A Restaurant Pty Ltd Gift Card, you: accept and agree to be bound by these Terms and Conditions; and acknowledge that you have read and understood our Privacy Policy (https://giftarestaurant.com/privacy-policy/).
• You may be required to produce proof of identification at the time of redeeming your Gift Card. If you are unable to provide identification the staff at the venue where you are attempting to redeem your gift card have the right to not accept the Gift Card as payment until you are able to do so.
• Further Terms and Conditions at https://giftarestaurant.com/terms-of-online-sale/
• Offer valid for repeat use
• Can purchase up to $2,500 in eGift Cards per transaction
• May purchase up to $10,000 per Entertainment Membership
• In the event that your nominated venue closes, Gift A Restaurant Pty Ltd can exchange the gift card for another venue. Please email them directly at contactus@giftarestaurant.com","45/38 Mort Street, Braddon ACT 2612, Australia",Braddon,ACT,,-35.272840790030415,149.13174796750462,https://www.entertainment.com.au/offer-details/f0659e42-82ec-44e5-a429-3d53e583b9a2
0fc2022b-f90e-49b5-a4e3-cb80a586407f,Fine Dining,Contemporary,Blu Ginger Indian Cuisine,Up to $25,Enjoy 25% off,25% off the TOTAL BILL,https://www.bluginger.com.au/,"Blu Ginger is a popular addition to Canberra's Indian dining scene. As sister restaurant to the well known Blu Ginger McMahon's Point in Sydney, the apple has not fallen far from the tree, with fantastic food and a modern yet welcoming atmosphere. The menu features dishes influenced from all regions of the chef's home country. Located in the heart of the city, just off Bunda Street, Blu Ginger is the perfect place to begin a night out on the town or for your next corporate occasion. Open for lunch and dinner 7 days. Reservations are recommended.","• Valid for Dine-In
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.","AT02, 5 Genge Street, Canberra City ACT 2601, Australia",Canberra City,ACT,+61262472228,-35.277354,149.131916,https://www.entertainment.com.au/offer-details/0fc2022b-f90e-49b5-a4e3-cb80a586407f
d87bc01a-b74b-4745-828f-5cc7f4493ac1,Fine Dining,Contemporary,Burrito Bar Tuggeranong eGift Card,14% off,Enjoy 14% off,14% off Entice Dining Redemption Code,https://entice.giftarestaurant.com/,"Inspired from the streets of San Francisco, where amazing blends of traditional Mexican street foods came to mix; where art, religion and food combine. With a wide variety of flavours and colours, the new wave of street-style Mexican foods is here to stay.

This ranges from quick, tasty takeaway all the way up to generous share proportions to dine in and enjoy with a group of friends. Our meals are perfectly complimented by a Beer, Margarita or Tequila. It’s easy to eat and be social.

Our mission is to provide a casual dining atmosphere which is fun with delicious food and variety of beverages for groups of friends and family to gather and enjoy.","• Gift card may take up to 24hrs to arrive
• The Entice Dining eGift Card may not be used directly at any restaurants.
• Entice Dining eGift Cards are valid for 6 months from date of purchase
• Gift A Restaurant Pty Ltd is a distributor of restaurant gift card products including the Entice Dining Gift Card products.
• Gift Cards distributed by Gift A Restaurant Pty Ltd are non-refundable, cannot be treated as cash and cannot be replaced if lost or stolen.
• Entice Dining Gift Cards distributed by Gift A Restaurant Pty Ltd expire after issue as stated in accordance with the Law. Entice Dining Gift Cards distributed by Gift A Restaurant Pty Ltd can only be redeemed on the Entice Dining website (http://entice.giftarestaurant.com/) as outlined within the customer redemption instructions.
• When an Entice Dining Gift Card distributed by Gift a Restaurant Pty Ltd is redeemed online for a restaurant Gift Card, Gift A Restaurant Pty Ltd issued restaurant Gift Cards may only be used for purchases at the specified venue and cannot be returned or exchanged for cash.
• Gift A Restaurant Pty Ltd issued restaurant Gift Cards may not be re-sold or bartered for cash.
• Gift A Restaurant Pty Ltd reserve the right to change any of the terms contained in these Terms and Conditions at any time where the change is required.
• By purchasing, redeeming or attempting to redeem a Gift A Restaurant Pty Ltd Gift Card, you: accept and agree to be bound by these Terms and Conditions; and acknowledge that you have read and understood our Privacy Policy (https://giftarestaurant.com/privacy-policy/).
• You may be required to produce proof of identification at the time of redeeming your Gift Card. If you are unable to provide identification the staff at the venue where you are attempting to redeem your gift card have the right to not accept the Gift Card as payment until you are able to do so.
• Further Terms and Conditions at https://giftarestaurant.com/terms-of-online-sale/
• Offer valid for repeat use
• Can purchase up to $2,500 in eGift Cards per transaction
• May purchase up to $10,000 per Entertainment Membership
• In the event that your nominated venue closes, Gift A Restaurant Pty Ltd can exchange the gift card for another venue. Please email them directly at contactus@giftarestaurant.com","15b South Point Shopping Centre, Anketell &, Reed St N, Tuggeranong ACT 2900, Australia",Tuggeranong,ACT,,-35.41643002564858,149.0679713846603,https://www.entertainment.com.au/offer-details/d87bc01a-b74b-4745-828f-5cc7f4493ac1
