uuid,category,sub_category,name,title,subtitle,summary,website,merchant_editorial,rules,address,city,state,phone,latitude,longitude,detail_url
8ffa5d07-c93f-49bd-ae03-97da5a2cc4ab,Informal Dining and Takeaway,Takeaway,Donut King,One regular hot dog,"Buy one, get one free",One complimentary REGULAR HOT DOG when another REGULAR HOT DOG of equal or greater value is purchased,https://www.donutking.com.au/,,• Valid at all participating Australian locations (excluding Express Stores where product may not be available),"Shop K605 Tuggeranong Hyperdome, Anketell Street, Greenway ACT 2900, Australia",Greenway,ACT,,-33.8514044,151.1546835,https://www.entertainment.com.au/offer-details/8ffa5d07-c93f-49bd-ae03-97da5a2cc4ab
11e8d1f9-4bf6-48a1-b6c5-278727728b0c,Informal Dining and Takeaway,Takeaway,Donut King,One six pack of cinnamon donuts,"Buy one, get one free",One complimentary SIX PACK OF CINNAMON DONUTS when another SIX PACK OF CINNAMON DONUTS of equal or greater value is purchased,https://www.donutking.com.au/,,• Valid at all participating Australian locations,"Shop K605 Tuggeranong Hyperdome, Anketell Street, Greenway ACT 2900, Australia",Greenway,ACT,,-33.8514044,151.1546835,https://www.entertainment.com.au/offer-details/11e8d1f9-4bf6-48a1-b6c5-278727728b0c
0274ada2-074d-460d-8dba-887021fce17f,Informal Dining and Takeaway,Takeaway,Donut King,One regular hot beverage,"Buy one, get one free",One complimentary REGULAR HOT BEVERAGE when another REGULAR HOT BEVERAGE of equal or greater value is purchased,https://www.donutking.com.au/,,• Valid at all participating Australian locations,"Shop K605 Tuggeranong Hyperdome, Anketell Street, Greenway ACT 2900, Australia",Greenway,ACT,,-33.8514044,151.1546835,https://www.entertainment.com.au/offer-details/0274ada2-074d-460d-8dba-887021fce17f
f9eb04a2-9b1c-4372-b1b4-07f6bc59b2f0,Informal Dining and Takeaway,Takeaway,Ben & Jerry's,One hand packed pint,"Buy one, get one free",One COMPLIMENTARY HAND PACKED PINT when another HAND PACKED PINT of equal or greater value is purchased,https://www.benandjerry.com.au/,"With over 20 ""legendairy"" ice cream flavours to choose from, such as Choc Chip Cookie Dough, Strawberry Cheesecake, and New York Super Fudge Chunk! Also offering shakes, sundaes, baked goods, and delectable ice cream cakes. Visit one of the Ben & Jerry's scoop shops in Australia for the dessert equivalent of your dream summer holiday.","• Surfers Paradise location is excluded from this offer
• Available at participating Ben and Jerry's Scoop shops only, including Hoyts locations","Hoyts Cinema, Westfield Shopping Centre , Bradley Street, Phillip ACT 2606, Australia",Phillip,ACT,+61262235310,-35.34697,149.087,https://www.entertainment.com.au/offer-details/f9eb04a2-9b1c-4372-b1b4-07f6bc59b2f0
0dd88e69-835c-4111-a8b2-f6b51ae1e5f1,Informal Dining and Takeaway,Takeaway,Ben & Jerry's,One double scoop choc dipped waffle cone,"Buy one, get one free",One COMPLIMENTARY DOUBLE SCOOP CHOC DIPPED WAFFLE CONE when another DOUBLE SCOOP CHOC DIPPED WAFFLE CONE of equal or greater value is purchased,https://www.benandjerry.com.au/,"With over 20 ""legendairy"" ice cream flavours to choose from, such as Choc Chip Cookie Dough, Strawberry Cheesecake, and New York Super Fudge Chunk! Also offering shakes, sundaes, baked goods, and delectable ice cream cakes. Visit one of the Ben & Jerry's scoop shops in Australia for the dessert equivalent of your dream summer holiday.","• Surfers Paradise location is excluded from this offer
• Available at participating Ben and Jerry's Scoop shops only, including Hoyts locations","Hoyts Cinema, Westfield Shopping Centre , Bradley Street, Phillip ACT 2606, Australia",Phillip,ACT,+61262235310,-35.34697,149.087,https://www.entertainment.com.au/offer-details/0dd88e69-835c-4111-a8b2-f6b51ae1e5f1
eba4e9cc-ab6d-4c7f-b022-58ea15ebf607,Informal Dining and Takeaway,Takeaway,The Cheesecake Shop AU,Up to $10,Enjoy 25% off,25% off the TOTAL BILL,https://www.cheesecake.com.au/,"Famous for their delicious range of cheesecakes, mudcakes, tortes and desserts, that are perfect for any occasion. Whether it is a quarter for a daily treat, dessert for the family or a special celebration cake for that important milestone, The Cheesecake Shop can help. Baked in-store, made with love, open 7 days. Visit www.cheesecake.com.au/find-bakery for your nearest bakery.","• Offer is not available for vegan cakes, gluten free cakes and pre-order cakes
• Offer is redeemable in-store only and is not redeemable on The Cheesecake Shop website
• Not to be used with any other offer
• Offer not available for use on public holidays/optional days as per Entertainment Rules of Use","Shop 3, 304-306 Camden Valley Way, Narellan NSW 2567, Australia",Narellan,NSW,,-34.039712,150.737038,https://www.entertainment.com.au/offer-details/eba4e9cc-ab6d-4c7f-b022-58ea15ebf607
a627d95c-06fa-4183-985a-c6c37ba0a7d7,Informal Dining and Takeaway,Takeaway,San Churro,Up to $20,"Buy one, get one free",One complimentary Small Churros when another Small Churros of equal or greater value is purchased,https://www.sanchurro.com/,"San Churro is Australia's favourite chocolate café. Like the chocolaterias of Spain, San Churro is a place where friends can come together to share, celebrate and indulge! Enjoy Churros (Spanish doughnuts) made fresh-to-order, served with couverture chocolate, or decadent desserts, premium chocolate shakes, traditional Spanish hot chocolate, and more.","• Buy One Get One Free Offer applies to full priced Small Churros For One, valid to redeem at any San Churro location for entertainment group customers.
• 100% discount is applied to the second Small Churros For One purchased within the same transaction.
• Extras charged at additional cost.
• Not to be used in conjunction with any other offer or discount. Offer available in-store at the counter only, offer not available for delivery orders.","23-25 East Row, Canberra City ACT 2601, Australia",Canberra City,ACT,+61251043950,-35.27915700491124,149.1303022689662,https://www.entertainment.com.au/offer-details/a627d95c-06fa-4183-985a-c6c37ba0a7d7
6e23abe8-c94d-44f7-89d8-9a6792ec8f91,Informal Dining and Takeaway,Cafe,Coolabah Tree Cafe,One coffee,"Buy one, get one free",One complimentary COFFEE when another COFFEE of equal or greater value is purchased,https://www.ctcafe.com.au/,Coolabah Tree Café offers a huge range of healthy burgers and delicious Barista made coffee. Visit our restaurant today with your friends & family for amazing fast food.,• (Valid for dine-in and takeaway),"1713 Yass Valley Way, Yass NSW 2582, Australia",Yass,NSW,,-34.80644845318591,148.88282583324568,https://www.entertainment.com.au/offer-details/6e23abe8-c94d-44f7-89d8-9a6792ec8f91
ad6fa489-3672-4c0d-b08e-da8aed0bb11e,Informal Dining and Takeaway,Mexican,Mochachos - Kingston,One one double burger,"Buy one, get one free",One complimentary DOUBLE BURGER when another DOUBLE BURGER of equal or greater value is purchased,https://www.mochachos.com/,,,"Eyre Street Market Shopping Centre, 34 Eyre Street, Kingston ACT 2604, Australia",Kingston,ACT,+61261280743,-35.316386329324956,149.14242991302396,https://www.entertainment.com.au/offer-details/ad6fa489-3672-4c0d-b08e-da8aed0bb11e
03bfe793-922a-46be-812c-e21a6b8bc90c,Informal Dining and Takeaway,Mexican,Mochachos - Kingston,Up to $20,Enjoy 25% off,25% off the TOTAL BILL,https://www.mochachos.com/,,,"Eyre Street Market Shopping Centre, 34 Eyre Street, Kingston ACT 2604, Australia",Kingston,ACT,+61261280743,-35.316386329324956,149.14242991302396,https://www.entertainment.com.au/offer-details/03bfe793-922a-46be-812c-e21a6b8bc90c
6e74ad55-4aab-4256-bf0e-786460ad05c1,Informal Dining and Takeaway,Takeaway,Goodberry's,One small concrete,"Buy one, get one free",One complimentary SMALL CONCRETE when another SMALL CONCRETE of equal or greater value is purchased,https://www.goodberrys.com.au/,"Canberra's original frozen custard, made fresh – the way ice cream used to be! Famous for delicious frozen custard concretes, and for an additional cost, you can develop your own flavour combination. There are hundreds of possibilities, so let your imagination run free! There is also a large range of juices, low fat smoothies, gourmet coffee, fantastic hot dogs, or scrumptious nachos to choose from. Sunday to Thursday 11am to 10pm, Friday and Saturday 11am to 11pm.",• One voucher per person per day,"4/25 Lathlain Street, Belconnen ACT 2617, Australia",Belconnen,ACT,+61262511961,-35.241411,149.063876,https://www.entertainment.com.au/offer-details/6e74ad55-4aab-4256-bf0e-786460ad05c1
f102ef30-f94d-492c-9d98-18196ffc9ab1,Informal Dining and Takeaway,Takeaway,Lava Espresso Bar,One regular hot beverage,"Buy one, get one free",One complimentary REGULAR HOT BEVERAGE when another REGULAR HOT BEVERAGE of equal or greater value is purchased,https://m.facebook.com/Lava.Espresso.Bars,,,"1/38 Townshend Street, Phillip ACT 2606, Australia",Phillip,ACT,,-35.35285335154102,149.0881195179045,https://www.entertainment.com.au/offer-details/f102ef30-f94d-492c-9d98-18196ffc9ab1
cac1f3f4-68fc-4f4c-bbb1-e5b46c8a9859,Informal Dining and Takeaway,Takeaway,Stripey Sundae,One ice cream,"Buy one, get one free",One complimentary ICE CREAM when another ICE CREAM of equal or great value is purchased,https://www.stripeysundae.au/,,,"11 O'Hanlon Place, Nicholls ACT 2913, Australia",Nicholls,ACT,,-35.191944,149.085078,https://www.entertainment.com.au/offer-details/cac1f3f4-68fc-4f4c-bbb1-e5b46c8a9859
