uuid,category,sub_category,name,title,subtitle,summary,website,merchant_editorial,rules,address,city,state,phone,latitude,longitude,detail_url
4007bc52-6fe0-49af-91dc-92e1e676fb93,Fine Dining,Contemporary,Altitude Restaurant,Up to $50,Enjoy 25% off,25% off the TOTAL BILL,https://www.36levelsabove.com.au/,"Altitude is taking the dining experience to new heights. Nowhere else in Sydney will you find such an award-winning fine dining establishment hovering at the very top of a hotel, high above Sydney's glittering jewels. It is one of a select group of Sydney restaurants with a 3 Hat Rating in French restaurant guide Gault & Millau, and has the highest possible 3 Goblet wine list rating from Gourmet Traveller Wine magazine. Recent winner of Best Listing of Australian Wine at the 2016 Wine List of the Year Awards. For special occasions, the private dining room literally 'floats' 36 levels above the harbour, and accommodates up to 18 guests.","• Valid for Dine-In
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.","Shangri-La Hotel, Sydney, Level 36, 176 Cumberland Street, The Rocks NSW 2000, Australia",The Rocks,NSW,+61292506123,-33.861378,151.206399,https://www.entertainment.com.au/offer-details/4007bc52-6fe0-49af-91dc-92e1e676fb93
5057e42d-2c1b-4c11-b716-68b298e5891c,Fine Dining,Italian,OTTO Sydney,Up to $65,Enjoy 25% off,25% off the TOTAL BILL,https://ottoristorante.com.au/sydney/,"As the Italians say, ""Vive Bene Mangia Bene"" – to live well is to eat well – and in Sydney, OTTO is the perfect location for both. At the forefront of Modern Italian cuisine, OTTO reinvents the flavours of Italy with roots firmly placed in the classics, accompanied by warm and friendly service, al fresco dining, and trademark waterside views. Located on the Finger Wharf at Woolloomooloo, OTTO is designed for any occasion. Award-winning Head Chef Richard Ptacnik's seasonal menu is fresh, delicious, and produce-driven–from perfectly al dente saffron linguine, to local seafood on the wood-fire grill. OTTO is the quintessential Sydney dining experience and has remained a local favourite for over 20 years. When you eat at OTTO, you are truly living la dolce vita.","• Valid for Dine-In
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day.Christmas Eve and New Year's Eve. All other Entertainment Offers are valid at all times.","Area 8, 6 Cowper Wharf Road, Woolloomooloo NSW 2011, Australia",Woolloomooloo,NSW,+61293687488,-33.8683,151.22,https://www.entertainment.com.au/offer-details/5057e42d-2c1b-4c11-b716-68b298e5891c
db207b71-8022-455e-b75b-a6d9d34bc682,Fine Dining,Contemporary,Ormeggio at The Spit,Up to $45,Enjoy 25% off,25% off the TOTAL BILL,https://www.ormeggio.com.au/,"Ormeggio at The Spit, located at D’Albora Marina, is a buzzy Italian seafood restaurant and cocktail bar in a spectacular waterside setting, overlooking Middle Harbour and Pearl Bay. With a gorgeous a la carte menu to choose from, along with a great value sharing menu also available, there are dining options for everyone. Come with a group! Come for date night! Ormeggio 2.0 has reinvented itself for its 11th year anniversary.","• This offer may also be used when dining alone
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.","D'Albora Marinas The Spit, Spit Road (located on the left side by The Spit Bridge, heading towards Manly), Mosman NSW 2088, Australia",Mosman,NSW,+61299694088,-33.802973,151.245686,https://www.entertainment.com.au/offer-details/db207b71-8022-455e-b75b-a6d9d34bc682
daac7547-83e9-4413-98fe-473fb62af69f,Fine Dining,Contemporary,Pony Lounge and Dining,Up to $50,Enjoy 25% off,25% off the TOTAL BILL,https://www.ponydiningtherocks.com/,"A mainstay of the historic Rocks area, and one of the pioneers of the open kitchen, starring an Argentinean wood-fire grill. Expect an emphasis on wood-fire-grilled Australian meats and seafood, with plenty of interesting vegetable-based dishes for non-carnivores, complemented by a carefully chosen selection of wines, and a cheeky cocktail list. A versatile space suitable for anything from intimate business lunches, large group celebrations, or dining with new friends on the communal table on Pony's deck.","• This offer may also be used when dining alone
• Valid for Dine-In
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.","14-15 The Rocks Centre, The Rocks NSW 2000, Australia",The Rocks,NSW,+61292527797,-33.85891,151.208457,https://www.entertainment.com.au/offer-details/daac7547-83e9-4413-98fe-473fb62af69f
4f8a04c0-05ea-4bfe-9ca2-f23fb7ea629a,Fine Dining,Contemporary,Pilu at Freshwater,Up to $60,Enjoy 25% off,25% off the TOTAL BILL,https://pilu.com.au/,"Pilu at Freshwater – a SMH Two Chef Hat Winner – specialising in Sardinian cuisine this restaurant set in a beautiful, refurbished Federation building, with uninterrupted views of Freshwater Beach. Celebrating more than 10 years on the beach at Freshwater, Pilu at Freshwater is a quintessential Sydney dining experience, and a beloved institution in Sydney food circles. With chef Giovanni Pilu at the helm, the restaurant is renowned for its authentic, contemporary, regional Italian cuisine, its accomplished service, and its stellar wine list. The beautifully refurbished dining rooms, and stunning gardens, can accommodate all types of functions. lunch and dinner Wednesday to Saturday, and for lunch on Sunday","• This offer may be used when dining alone
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.","""On the Beach"", Moore Road, Freshwater NSW 2096, Australia",Freshwater,NSW,+61299383331,-33.781216,151.288691,https://www.entertainment.com.au/offer-details/4f8a04c0-05ea-4bfe-9ca2-f23fb7ea629a
4a8b7697-6216-4923-8da4-3c6164296d68,Fine Dining,Contemporary,Acqualina Italian and Seafood,Up to $50,Enjoy 25% off,25% off the TOTAL BILL,https://acqualina.com.au/,"Welcome to Acqualina!

We are passionate about creating and serving traditional, authentic and delicious Italian & Mediterranean Seafood Cuisine.

From delicious fresh mussels for entree, and our generous Seafood Platters,

to traditional Wood-Fired Pizza, there’s something to suit all tastes.

Our chic dining space is modern and comfortable and our staff are here to make you feel at home!

So come and pay us a visit here at Acqualina restaurant in Glen Alpine

We can’t wait to serve you!","• Valid for Dine-In
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.","Shop 1, 137 Heritage Way, Glen Alpine NSW 2560, Australia",Glen Alpine,NSW,+61246085200,-34.0861829181314,150.78722232991515,https://www.entertainment.com.au/offer-details/4a8b7697-6216-4923-8da4-3c6164296d68
2c70644c-4d57-4b3f-aec1-08321ce027a0,Fine Dining,Contemporary,nel. Restaurant,Up to $60,Enjoy 25% off,25% off the TOTAL BILL,https://www.nelrestaurant.com.au/,"Spearheading the nel. kitchen is award-winning chef Nelly Robinson. Celebrated for his contemporary interpretations of Modern Australian dishes, he is inspired by past experience in Michelin-starred venues in the UK. nel. has been awarded #79 best restaurant in Australia in the ""Australian Financial Awards"", and Nelly has been placed #228 in the top 300 chefs of the world by ""World Chef Awards"". Each menu demonstrates Nelly's innovation, yet retains a homely quality – an essential visit. Menu changes every 6 – 8 weeks.","• Valid for Dine-In
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.","75 Wentworth Avenue, Sydney NSW 2000, Australia",Sydney,NSW,+61292122206,-33.879349,151.209492,https://www.entertainment.com.au/offer-details/2c70644c-4d57-4b3f-aec1-08321ce027a0
0b18fb6e-48ac-462e-b654-4862802f3e68,Fine Dining,Contemporary,Nel Restaurant eGift Card,14% off,Enjoy 14% off,14% off Entice Dining Redemption Code,https://entice.giftarestaurant.com/,"At Nel, we like to keep things interesting. Set in a bunker-esque environment in Surry Hills Sydney, Nel offers a relaxed, intimate and entertaining atmosphere. There are no white table cloths, just top notch service with a wine list to match! The only choice guests need to make is what they’ll like to drink, Chef Nelly and his stellar team will handle the rest. Join Nelly and the team for an experience like no other. Nel Restaurant is located at 75 Wentworth Ave, Sydney, NSW.","• Gift card may take up to 24hrs to arrive
• The Entice Dining eGift Card may not be used directly at any restaurants.
• Entice Dining eGift Cards are valid for 6 months from date of purchase
• Gift A Restaurant Pty Ltd is a distributor of restaurant gift card products including the Entice Dining Gift Card products.
• Gift Cards distributed by Gift A Restaurant Pty Ltd are non-refundable, cannot be treated as cash and cannot be replaced if lost or stolen.
• Entice Dining Gift Cards distributed by Gift A Restaurant Pty Ltd expire after issue as stated in accordance with the Law. Entice Dining Gift Cards distributed by Gift A Restaurant Pty Ltd can only be redeemed on the Entice Dining website (http://entice.giftarestaurant.com/) as outlined within the customer redemption instructions.
• When an Entice Dining Gift Card distributed by Gift a Restaurant Pty Ltd is redeemed online for a restaurant Gift Card, Gift A Restaurant Pty Ltd issued restaurant Gift Cards may only be used for purchases at the specified venue and cannot be returned or exchanged for cash.
• Gift A Restaurant Pty Ltd issued restaurant Gift Cards may not be re-sold or bartered for cash.
• Gift A Restaurant Pty Ltd reserve the right to change any of the terms contained in these Terms and Conditions at any time where the change is required.
• By purchasing, redeeming or attempting to redeem a Gift A Restaurant Pty Ltd Gift Card, you: accept and agree to be bound by these Terms and Conditions; and acknowledge that you have read and understood our Privacy Policy (https://giftarestaurant.com/privacy-policy/).
• You may be required to produce proof of identification at the time of redeeming your Gift Card. If you are unable to provide identification the staff at the venue where you are attempting to redeem your gift card have the right to not accept the Gift Card as payment until you are able to do so.
• Further Terms and Conditions at https://giftarestaurant.com/terms-of-online-sale/
• Offer valid for repeat use
• Can purchase up to $2,500 in eGift Cards per transaction
• May purchase up to $10,000 per Entertainment Membership
• In the event that your nominated venue closes, Gift A Restaurant Pty Ltd can exchange the gift card for another venue. Please email them directly at contactus@giftarestaurant.com","75 Wentworth Avenue, Sydney NSW 2000, Australia",Sydney,NSW,,-33.879392928876165,151.2093682,https://www.entertainment.com.au/offer-details/0b18fb6e-48ac-462e-b654-4862802f3e68
84ed7fe8-6371-497f-8bbd-aca8a9814698,Fine Dining,Contemporary,Public Dining Room,Up to $50,Enjoy 25% off,25% off the TOTAL BILL,https://www.publicdiningroom.com.au,"Public Dining Room offers sweeping views from its boardwalk towards Manly and North Head. Mediterranean influences bring Public Dining Room's contemporary beachside menu, featuring produce selected from independent farmers throughout Australia, sustainable fish, and heirloom varieties of vegetables, to life. Public Dining Room's light-filled, timeless interiors have been designed to complement its stunning location at Balmoral Beach. Open for lunch from Monday to Sunday, for dinner from Monday to Saturday, and for breakfast on weekends. ?Fully licensed.","• Valid for Dine-In
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.","2A The Esplanade, Mosman NSW 2088, Australia",Mosman,NSW,+61299684880,-33.827757,151.252591,https://www.entertainment.com.au/offer-details/84ed7fe8-6371-497f-8bbd-aca8a9814698
57e38a76-64d0-41e3-ba2b-2e0341c5d04a,Fine Dining,Contemporary,Boiler House Restaurant at The Hydro Majestic,Up to $50,Enjoy 25% off,25% off the TOTAL BILL,https://www.hydromajestic.com.au/dining/the-boiler-house,"Located at The Hydro Majestic, one of Australia’s most iconic historical hotels. The Boiler House Restaurant offers casual all-day dining with magnificent views overlooking the Megalong Valley. The all-day menu features traditional pizza, pasta and Australian cuisine showcasing regional produce from the Blue Mountains.
We welcome you to a relaxed atmosphere with delicious food and breathtaking sunset views over the Megalong Valley. Our evening menu showcases a focus on locally sourced beers, spirits, and wines - we’ve partnered with local suppliers to create unique rotating beverage nights, allowing our guests to discover and enjoy the best of the region’s craft offerings. Indulge in our signature Boilerhouse pizzas and hearty pasta dishes, made with the freshest ingredients. Come and experience an unforgettable evening with amazing food, drinks, and views, right here at the Boilerhouse Restaurant.","• Valid for Dine-In
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.","52/88 Great Western Highway, Medlow Bath NSW 2780, Australia",Medlow Bath,NSW,+61247826885,-33.677221513786506,150.2814362413886,https://www.entertainment.com.au/offer-details/57e38a76-64d0-41e3-ba2b-2e0341c5d04a
