uuid,category,sub_category,name,title,subtitle,summary,website,merchant_editorial,rules,address,city,state,phone,latitude,longitude,detail_url
11e8d1f9-4bf6-48a1-b6c5-278727728b0c,Informal Dining and Takeaway,Takeaway,Donut King,One six pack of cinnamon donuts,"Buy one, get one free",One complimentary SIX PACK OF CINNAMON DONUTS when another SIX PACK OF CINNAMON DONUTS of equal or greater value is purchased,https://www.donutking.com.au/,,• Valid at all participating Australian locations,"Kiosk LG1-FCK 204 Top Ryde City, Corner Blaxland Road & Devlin Street, Ryde NSW 2112, Australia",Ryde,NSW,,-33.889913,151.190575,https://www.entertainment.com.au/offer-details/11e8d1f9-4bf6-48a1-b6c5-278727728b0c
0274ada2-074d-460d-8dba-887021fce17f,Informal Dining and Takeaway,Takeaway,Donut King,One regular hot beverage,"Buy one, get one free",One complimentary REGULAR HOT BEVERAGE when another REGULAR HOT BEVERAGE of equal or greater value is purchased,https://www.donutking.com.au/,,• Valid at all participating Australian locations,"Kiosk LG1-FCK 204 Top Ryde City, Corner Blaxland Road & Devlin Street, Ryde NSW 2112, Australia",Ryde,NSW,,-33.889913,151.190575,https://www.entertainment.com.au/offer-details/0274ada2-074d-460d-8dba-887021fce17f
8ffa5d07-c93f-49bd-ae03-97da5a2cc4ab,Informal Dining and Takeaway,Takeaway,Donut King,One regular hot dog,"Buy one, get one free",One complimentary REGULAR HOT DOG when another REGULAR HOT DOG of equal or greater value is purchased,https://www.donutking.com.au/,,• Valid at all participating Australian locations (excluding Express Stores where product may not be available),"Kiosk LG1-FCK 204 Top Ryde City, Corner Blaxland Road & Devlin Street, Ryde NSW 2112, Australia",Ryde,NSW,,-33.889913,151.190575,https://www.entertainment.com.au/offer-details/8ffa5d07-c93f-49bd-ae03-97da5a2cc4ab
7007ae52-79b8-4ee7-93f3-ec6a900392a3,Informal Dining and Takeaway,Takeaway,Krispy Kreme,One bagel,"Buy one, get one free",One complimentary BAGEL when another BAGEL of equal or greater value is purchased,www.krispykreme.com.au,"Krispy Kreme Australia is proud to be the first country outside of the USA to make the iconic Original Glazed® doughnut.  Krispy Kreme doughnuts are made fresh daily and are perfect for treating yourself or sharing  at celebrations like birthday’s, parties or sporting events.","• Valid at all current and future locations
• Available on App Only","Shop A0001. The Galeries, 500 George Street, Sydney NSW 2000, Australia",Sydney,NSW,,-33.87209676211596,151.206737814064,https://www.entertainment.com.au/offer-details/7007ae52-79b8-4ee7-93f3-ec6a900392a3
80d8ccaa-71a0-4c1d-b84b-c37c2c9d01de,Informal Dining and Takeaway,Takeaway,Krispy Kreme,One coffee,"Buy one, get one free",One complimentary COFFEE when another COFFEE of equal or greater value is purchased,www.krispykreme.com.au,"Krispy Kreme Australia is proud to be the first country outside of the USA to make the iconic Original Glazed® doughnut.  Krispy Kreme doughnuts are made fresh daily and are perfect for treating yourself or sharing  at celebrations like birthday’s, parties or sporting events.","• Valid at all current and future locations
• Available on App Only","Shop A0001. The Galeries, 500 George Street, Sydney NSW 2000, Australia",Sydney,NSW,,-33.87209676211596,151.206737814064,https://www.entertainment.com.au/offer-details/80d8ccaa-71a0-4c1d-b84b-c37c2c9d01de
1c077d01-b234-4d6e-b9fa-129382002801,Informal Dining and Takeaway,Takeaway,Krispy Kreme,One dozen original glazed doughnuts,"Buy one, get one free",One complimentary DOZEN ORIGINAL GLAZED DOUGHNUTS when another DOZEN ORIGINAL GLAZED DOUGHNUTS of equal or greater value is purchased,www.krispykreme.com.au,"Krispy Kreme Australia is proud to be the first country outside of the USA to make the iconic Original Glazed® doughnut.  Krispy Kreme doughnuts are made fresh daily and are perfect for treating yourself or sharing  at celebrations like birthday’s, parties or sporting events.","• Valid at all current and future locations
• Available on App Only","Shop A0001. The Galeries, 500 George Street, Sydney NSW 2000, Australia",Sydney,NSW,,-33.87209676211596,151.206737814064,https://www.entertainment.com.au/offer-details/1c077d01-b234-4d6e-b9fa-129382002801
235f1e60-a57c-4d73-bea4-edc1a041a13b,Informal Dining and Takeaway,Takeaway,Cold Rock Ice Creamery,One regular ice cream,"Buy one, get one free","Buy One Regular Size ice cream cup/cone, Get One Regular Size ice cream cup/cone Free (equal or lesser value).",https://www.coldrock.com.au/,"Treat yourself to Australia’s coolest frozen treats! With over 30,000 combos to choose from, the options are endless. From ice cream cakes and shakes to cups, cones and take-home tubs, you can choose your favourite flavours and Mix-Ins to create your own personalised combo!","• Valid IN-STORE ONLY
• Mix Ins not included
• Valid at all current and future locations
• Excludes Mobile Van and Cold Rock Express locations
• For store locations please visit www.coldrock.com.au","50 Perouse Road, Randwick NSW 2031, Australia",Randwick,NSW,,-33.920352,151.242453,https://www.entertainment.com.au/offer-details/235f1e60-a57c-4d73-bea4-edc1a041a13b
24628651-bee0-4e63-8bdf-92eb4a33197d,Informal Dining and Takeaway,Takeaway,Cold Rock Ice Creamery,Up to $10,Enjoy $10 off,$10 off the REGULAR PRICE OF ANY COLD ROCK CAKE PURCHASE OF $60 OR MORE,https://www.coldrock.com.au/,"Treat yourself to Australia’s coolest frozen treats! With over 30,000 combos to choose from, the options are endless. From ice cream cakes and shakes to cups, cones and take-home tubs, you can choose your favourite flavours and Mix-Ins to create your own personalised combo!","• Valid IN-STORE ONLY
• Valid at all current and future locations
• For store locations please visit www.coldrock.com.au
• Excludes Mobile Van and Cold Rock Express locations","50 Perouse Road, Randwick NSW 2031, Australia",Randwick,NSW,,-33.920352,151.242453,https://www.entertainment.com.au/offer-details/24628651-bee0-4e63-8bdf-92eb4a33197d
0dd88e69-835c-4111-a8b2-f6b51ae1e5f1,Informal Dining and Takeaway,Takeaway,Ben & Jerry's,One double scoop choc dipped waffle cone,"Buy one, get one free",One COMPLIMENTARY DOUBLE SCOOP CHOC DIPPED WAFFLE CONE when another DOUBLE SCOOP CHOC DIPPED WAFFLE CONE of equal or greater value is purchased,https://www.benandjerry.com.au/,"With over 20 ""legendairy"" ice cream flavours to choose from, such as Choc Chip Cookie Dough, Strawberry Cheesecake, and New York Super Fudge Chunk! Also offering shakes, sundaes, baked goods, and delectable ice cream cakes. Visit one of the Ben & Jerry's scoop shops in Australia for the dessert equivalent of your dream summer holiday.","• Surfers Paradise location is excluded from this offer
• Available at participating Ben and Jerry's Scoop shops only, including Hoyts locations","Hoyts Broadway, Level 2 Broadway Shopping Centre, Corner of Bay Street and Broadway, Broadway NSW 2007, Australia",Broadway,NSW,+61290033824,-33.882875,151.194586,https://www.entertainment.com.au/offer-details/0dd88e69-835c-4111-a8b2-f6b51ae1e5f1
f9eb04a2-9b1c-4372-b1b4-07f6bc59b2f0,Informal Dining and Takeaway,Takeaway,Ben & Jerry's,One hand packed pint,"Buy one, get one free",One COMPLIMENTARY HAND PACKED PINT when another HAND PACKED PINT of equal or greater value is purchased,https://www.benandjerry.com.au/,"With over 20 ""legendairy"" ice cream flavours to choose from, such as Choc Chip Cookie Dough, Strawberry Cheesecake, and New York Super Fudge Chunk! Also offering shakes, sundaes, baked goods, and delectable ice cream cakes. Visit one of the Ben & Jerry's scoop shops in Australia for the dessert equivalent of your dream summer holiday.","• Surfers Paradise location is excluded from this offer
• Available at participating Ben and Jerry's Scoop shops only, including Hoyts locations","Hoyts Broadway, Level 2 Broadway Shopping Centre, Corner of Bay Street and Broadway, Broadway NSW 2007, Australia",Broadway,NSW,+61290033824,-33.882875,151.194586,https://www.entertainment.com.au/offer-details/f9eb04a2-9b1c-4372-b1b4-07f6bc59b2f0
eba4e9cc-ab6d-4c7f-b022-58ea15ebf607,Informal Dining and Takeaway,Takeaway,The Cheesecake Shop AU,Up to $10,Enjoy 25% off,25% off the TOTAL BILL,https://www.cheesecake.com.au/,"Famous for their delicious range of cheesecakes, mudcakes, tortes and desserts, that are perfect for any occasion. Whether it is a quarter for a daily treat, dessert for the family or a special celebration cake for that important milestone, The Cheesecake Shop can help. Baked in-store, made with love, open 7 days. Visit www.cheesecake.com.au/find-bakery for your nearest bakery.","• Offer is not available for vegan cakes, gluten free cakes and pre-order cakes
• Offer is redeemable in-store only and is not redeemable on The Cheesecake Shop website
• Not to be used with any other offer
• Offer not available for use on public holidays/optional days as per Entertainment Rules of Use","283 Penshurst Street, Willoughby NSW 2068, Australia",Willoughby,NSW,,-33.79431,151.196543,https://www.entertainment.com.au/offer-details/eba4e9cc-ab6d-4c7f-b022-58ea15ebf607
a627d95c-06fa-4183-985a-c6c37ba0a7d7,Informal Dining and Takeaway,Takeaway,San Churro,Up to $20,"Buy one, get one free",One complimentary Small Churros when another Small Churros of equal or greater value is purchased,https://www.sanchurro.com/,"San Churro is Australia's favourite chocolate café. Like the chocolaterias of Spain, San Churro is a place where friends can come together to share, celebrate and indulge! Enjoy Churros (Spanish doughnuts) made fresh-to-order, served with couverture chocolate, or decadent desserts, premium chocolate shakes, traditional Spanish hot chocolate, and more.","• Buy One Get One Free Offer applies to full priced Small Churros For One, valid to redeem at any San Churro location for entertainment group customers.
• 100% discount is applied to the second Small Churros For One purchased within the same transaction.
• Extras charged at additional cost.
• Not to be used in conjunction with any other offer or discount. Offer available in-store at the counter only, offer not available for delivery orders.","47 Glebe Point Road, Glebe NSW 2037, Australia",Glebe,NSW,+61296920119,-33.88324,151.191631,https://www.entertainment.com.au/offer-details/a627d95c-06fa-4183-985a-c6c37ba0a7d7
7a6123b4-7f19-4111-94f7-fbc14773bc28,Informal Dining and Takeaway,Takeaway,Baskin-Robbins,One 1 scoop waffle cone,"Buy one, get one free",One 1 SCOOP WAFFLE CONE when another 1 SCOOP WAFFLE CONE of equal or greater value is purchased,https://www.baskinrobbins.com.au/,,,"Lot 2, Quay Grand, 61-63 Macquarie Street, Sydney NSW 2000, Australia",Sydney,NSW,,-33.860852,151.212902,https://www.entertainment.com.au/offer-details/7a6123b4-7f19-4111-94f7-fbc14773bc28
48563c52-abbe-4a77-9052-f7014954e509,Informal Dining and Takeaway,Takeaway,Honest Chicken Newport,Up to $20,Enjoy 25% off,25% off the TOTAL BILL,https://app.myposzero.com.au/store/view/776,,,"380  Barrenjoey Road, Newport NSW 2106, Australia",Newport,NSW,+61299993333,-33.654377880403196,151.32136011107752,https://www.entertainment.com.au/offer-details/48563c52-abbe-4a77-9052-f7014954e509
cb0e897d-3601-42e5-a885-e3a8ec628642,Informal Dining and Takeaway,Takeaway,Honest Chicken Newport,Up to $15,Enjoy 25% off,25% off the TOTAL BILL,https://app.myposzero.com.au/store/view/776,,,"380  Barrenjoey Road, Newport NSW 2106, Australia",Newport,NSW,+61299993333,-33.654377880403196,151.32136011107752,https://www.entertainment.com.au/offer-details/cb0e897d-3601-42e5-a885-e3a8ec628642
dfaede91-54f4-41c8-9cb6-44a38b8905a4,Informal Dining and Takeaway,Takeaway,Honest Chicken Newport,Up to $10,Enjoy 25% off,25% off the TOTAL BILL,https://app.myposzero.com.au/store/view/776,,,"380  Barrenjoey Road, Newport NSW 2106, Australia",Newport,NSW,+61299993333,-33.654377880403196,151.32136011107752,https://www.entertainment.com.au/offer-details/dfaede91-54f4-41c8-9cb6-44a38b8905a4
1fef3591-9ea5-4c59-b111-e55dd02bc0d8,Informal Dining and Takeaway,Contemporary,RidgeView,One beverage,"Buy one, get one free",One complimentary BEVERAGE when another BEVERAGE of equal or greater value is purchased,https://www.ridgeview.com.au ,,,"273 Sweetwater Road, Pokolbin NSW 2320, Australia",Pokolbin,NSW,+61265747332,-32.69843025010605,151.2867545771348,https://www.entertainment.com.au/offer-details/1fef3591-9ea5-4c59-b111-e55dd02bc0d8
622c9221-aec0-4432-8f60-1770b730cf07,Informal Dining and Takeaway,Takeaway,Royal Copenhagen,One ice cream cone,"Buy one, get one free",One complimentary ICE CREAM CONE when another ICE CREAM CONE of equal or greater value is purchased,www.rcicecream.com.au,Freshly made premium ice cream in their original baked waffle cone. Free choc-dipping of your cone. Free cream and toppings.,"• Valid at QLD, NSW and SA stores only.","Circular Quay Shop C1, Promenade West, Circular Quay NSW 2000, Australia",Circular Quay,NSW,,-33.861418,151.211121,https://www.entertainment.com.au/offer-details/622c9221-aec0-4432-8f60-1770b730cf07
c1ee5a00-ea1b-47bb-a95b-9d13fe64584f,Informal Dining and Takeaway,Dessert,Yo Way Frozen Yogurt,Up to $20,"Buy one, get one free",One complimentary FROZEN YOGURT when another FROZEN YOGURT of equal or greater value is purchased,https://yoway.com.au/,,,"1 Anderson Street, Chatswood NSW 2057, Australia",Chatswood,NSW,+61395797493,-33.796646396556476,151.18442080379418,https://www.entertainment.com.au/offer-details/c1ee5a00-ea1b-47bb-a95b-9d13fe64584f
