uuid,category,sub_category,name,title,subtitle,summary,website,merchant_editorial,rules,address,city,state,phone,latitude,longitude,detail_url
de859538-4b66-4c5d-a41d-326d6b6a7847,Attraction and Activities,Box Office,AFL,One MCG AFL reserve admission,"Buy one, get one free",One complimentary MCG AFL RESERVE ADMISSION when another MCG AFL RESERVE ADMISSION of equal or greater value is purchased. Please see below and click View Rules & Restrictions to reveal how to utilise this offer.,https://www.afl.com.au/,"Voucher may be utilised on match day at the MCG only and cannot be upgraded to reserved seating. AFL Reserve admission tickets entitle the patron to sit in any of the general admission areas located in the AFL Reserve on the day/night of the match. General admission areas are available on a first-in basis and entry is subject to capacity of the AFL reserve. To view available general admission areas, visit the news section of membership.afl.com.au from midday on the Friday of the round you are wishing to attend.","• Subject to availability and entry is not guaranteed.
• Access to the Toyota AFL Premiership Season only. Excludes fully ticketed games and finals.
• For availability please email aflticketing@afl.com.au. To redeem, please present this voucher with CREDIT CARD PAYMENT (for the non-complimentary ticket) at the ticketing window at MCG Gate 6 on match days.
• Voucher cannot be used to upgrade to a reserved seat or purchase tickets in advance of match day. All details below must be completed prior to presentation of the voucher in order to redeem this offer.
• Not valid with any other offer. For enquiries, please email aflticketing@afl.com.au","MCG, Gate 6, Melbourne VIC 3000, Australia",Melbourne,VIC,,-37.818904,144.982231,https://www.entertainment.com.au/offer-details/de859538-4b66-4c5d-a41d-326d6b6a7847
18c5ff4b-a37b-441d-8405-20d350263ae8,Attraction and Activities,Cinema,"Event Cinemas, BCC Cinemas & Village Cinemas",Special,Access special e-Vouchers,Access SPECIAL EVOUCHERS online,https://www.eventcinemas.com.au/,Experience the biggest blockbuster movies in Australia's number one cinemas with great offers available all year round.,"• eVoucher must be used before specified expiry date
• Both Adult and Child eSaver eVouchers are not valid after 5pm on Saturdays
• Family Pass eVouchers are valid for G and PG sessions only
• Gold Class Single Admission eVoucher Is Not valid for use from 5pm Thursdays, Fridays and Saturdays
• Gold Class Double and Gold Class Single Admission is Not valid for use in ACT
• All eVouchers are Not valid for use at Moonlight Cinemas or Skyline Drive In
• All eVouchers are only valid for original sessions, please refer to cinema Full Terms and Conditions
• This eVoucher is not valid for NFT sessions (No free ticket) and special events
• eVouchers cannot be used at Village Bendigo, Rosebud, Sorrento, Warragul and Warrnambool VIC Locations
• Fees apply. A 1.25% credit card surcharge fee will apply
• Online booking fees apply. Surcharges apply for V-Max and 3D sessions
• Restrictions do apply. Please refer to cinema Full Terms and Conditions when purchasing","Westfield Bondi Junction, Level 7&8, 500  Oxford Street, Bondi Junction NSW 1355, Australia",Bondi Junction,NSW,,-33.891502,151.250256,https://www.entertainment.com.au/offer-details/18c5ff4b-a37b-441d-8405-20d350263ae8
d70846ff-aedb-4e27-b640-a087d2b55d22,Attraction and Activities,Cinema,IMAX Melbourne,One admission,"Buy one, get one free",One complimentary ADMISSION when another ADMISSION of equal or greater value is purchased,https://imaxmelbourne.com.au/,"Immerse yourself in the ultimate movie-going experience on the world's largest screen. IMAX Melbourne showcases a variety of movies, from 3D documentaries to the very latest Hollywood blockbusters. Cinema information and session times available on their website: imaxmelbourne.com.au or facebook.com/imaxmelbourne","• Offer redeemable at box office only
• Not valid for films marked NFT, special events or IMAX premium blue seating. Valid for two tickets to the same session when purchased in one transaction","Melbourne Museum, Rathdowne Street, Carlton South VIC 3053, Australia",Carlton South,VIC,+61396635454,-37.803789,144.97086,https://www.entertainment.com.au/offer-details/d70846ff-aedb-4e27-b640-a087d2b55d22
1ff6a1d4-4dc9-49a2-8066-440a6e3bd918,Attraction and Activities,Family Activities,Luna Park Melbourne,25% off,Enjoy 25% off,25% off the REGULAR PRICE for an UNLIMITED RIDE TICKET for up to four people,https://www.lunapark.com.au/,"Features 18 rides and attractions including old favourites – the world famous Scenic Railway, the beautifully restored Carousel and the spooky Ghost Train – as well as high speed thrill rides. Located in the heart of cosmopolitan St Kilda, a day at Melbourne’s Luna Park is the perfect family outing. Also available for exclusive and semi-exclusive hire, group bookings and functions. Perfect for your child’s next birthday party in the Luna Park party tram. Contact the park for opening hours.","• Excludes special ticketed events
• Offer can only be redeemed on Luna Park website and not at Ticket box
• Press redeem button to be re-directed to booking page with offer applied
• Members must present their app on arrival to onsite staff
• Not to be used in conjunction with any other offer
• Excludes all Victorian Public Holidays
• Not available for special events such as Luna Dark, Luna Love, Easter Hunts, etc","18 Lower Esplanade, St Kilda VIC 3182, Australia",St Kilda,VIC,+61395255033,-37.868689,144.976095,https://www.entertainment.com.au/offer-details/1ff6a1d4-4dc9-49a2-8066-440a6e3bd918
ec478b65-8f1c-4837-b495-829d645f7117,Attraction and Activities,Family Activities,SEA LIFE Melbourne Aquarium,30% off,Enjoy 30% off,30% off a 1-DAY PURCHASE ADVANCE PERIOD for Weekdays*,,"Come on a journey of amazing discovery through SEA LIFE Melbourne Aquarium. Discover a mesmerising range of marine and freshwater creatures including jellyfish, one of Australia’s largest saltwater crocodiles, hundreds of fish species and more! Along your journey, you’ll encounter some of the world’s most incredible animals and immerse yourself in an underwater paradise through state-of-the-art experiences in beautifully themed habitats. Journey beneath the surface of Melbourne’s iconic Port Phillip Bay to our Bay of Rays where you can gaze at the graceful Fiddler rays and other residents like the Port Jackson shark. Get your hands wet at the Interactive Discovery Rockpools and explore some of the extraordinary, squishy creatures in our Ocean Invaders exhibit. Relax on the steps of our window into the underwater world at the immersive Shipwreck Theatre and encounter some of the Aquarium’s largest marine creatures. Dive into Night on the Reef, an underwater wonderland showcasing the ocean’s natural bioluminescence. Come face-to-face with Pinjarra, one of Australia’s largest saltwater crocodiles in the Crocodile Lair before heading to the Penguin Playground where you can chill out and marvel at our mischievous king and gentoo penguins in action.","• Offer not valid during School Holidays
• Discount rates may be subject to change at any time
• Timeslots – Offer may be unavailable or restricted at certain times of the day when an attraction may be experiencing high demand.
• Weekends - Offer will be available at weekends during the validity period, but promotional tickets will have limited availability, which may vary by attraction.
• Public Holidays – Offer excludes public holidays that occur during the validity period, which may vary by state.","Corner King and Flinders Streets, Melbourne VIC 3000, Australia",Melbourne,VIC,1800026576,-37.8202416,144.9575932,https://www.entertainment.com.au/offer-details/ec478b65-8f1c-4837-b495-829d645f7117
60899aa8-9617-42e1-a0c3-2bf872b22531,Attraction and Activities,Family Activities,LEGOLAND® Discovery Centre Melbourne,30% off,Enjoy 30% off,30% off a 1-DAY PURCHASE ADVANCE PERIOD for Weekdays*,https://www.legolanddiscoverycentre.com/melbourne/?utm_source=gmb&utm_medium=organic&utm_campaign=yext&utm_content=10,"LEGOLAND® Discovery Centre Melbourne: Australia’s Ultimate Indoor LEGO® Playground!

Experience 12 awesome family play zones including LEGO® City Soft play area, 4D cinema and the Creative Workshop. Journey through the kingdom to save our LEGO Princess on the Kingdom Quest ride and cast a magic spell on the Merlin’s Apprentice ride. Splash into our Underwater Quest zone as a deep-sea diver or explore MINILAND Melbourne as a Minifigure!  There is no limit to your imagination, you can be whoever you want to be at LEGOLAND Discovery Centre Melbourne!","• Offer not valid during School Holidays
• Discount rates may be subject to change at any time
• Timeslots – Offer may be unavailable or restricted at certain times of the day when an attraction may be experiencing high demand.
• Weekends - Offer will be available at weekends during the validity period, but promotional tickets will have limited availability, which may vary by attraction.
• Public Holidays – Offer excludes public holidays that occur during the validity period, which may vary by state.","Level 2, 1341 Dandenong Road, Chadstone VIC 3148, Australia",Chadstone,VIC,1800803297,-37.886154,145.082982,https://www.entertainment.com.au/offer-details/60899aa8-9617-42e1-a0c3-2bf872b22531
431088dc-9692-4c51-9487-33c1d7c7b749,Attraction and Activities,Cruises and boating ,Melbourne River Cruises,One sightseeing cruise,"Buy one, get one free",One complimentary SIGHTSEEING CRUISE when another SIGHTSEEING CRUISE of equal or greater value is purchased,https://www.melbcruises.com.au/,Yarra Sightseeing Cruises – Explore our scenic river gardens or the port and docklands. City to Williamstown Ferry – Cruise from Southgate to the charming and historic Williamstown. Open daily. For enquiries telephone: (03) 8610 2600.,"• Or for those who prefer, 20% off a FAMILY TICKET","Melbourne River Cruises Booth, Berth 2 Southbank Promenade, Southbank VIC 3006, Australia",Southbank,VIC,,-37.8198,144.966574,https://www.entertainment.com.au/offer-details/431088dc-9692-4c51-9487-33c1d7c7b749
c995e0ad-0f11-4dd2-9dbc-26a87fb3dcd6,Attraction and Activities,Family Activities,Holey Moley Golf Club,Up to $100,Enjoy 30% off,30% off MINI GOLF for up to 4 people,https://www.holeymoley.com.au/,"We’re a mini golf course and bar that turns traditional putt putt into a multi-sensory labyrinth of unique holes inspired by everything from your everyday to the fun of your childhood faves. It’s nice, it’s nostalgic, it’s ‘80s, it’s ‘90s. It’s the craziest round of mini golf you’ve ever played. We are not in even a tiny way affiliated with any of the creators of popular culture that some of our holes may, or may not remind you of. And with drinks, cocktails and tunes on offer at our full service bar, The Caddyshack will take care of all your off-the-green needs. It’s Australia’s best mini golf course. Par none.","• Online booking is required. Please visit the Holey Moley website to book before visiting the venue.
• The promo code can only be redeemed online, it cannot be redeemed on the spot for walk-ins.
• Valid at all current and future locations as per participant's website.
• This offer applies to Activities only, not F&amp;B or retail.
• This offer may not be used in conjunction with any other promotions.","82-94 Darlinghurst Road, Darlinghurst NSW 2010, Australia",Darlinghurst,NSW,,-33.874844905147825,151.22260282623418,https://www.entertainment.com.au/offer-details/c995e0ad-0f11-4dd2-9dbc-26a87fb3dcd6
cc7b2ff7-16d3-4887-894c-295a041a202c,Attraction and Activities,Cinema,Village Cinemas Australia Pty Ltd,Special Rate,Special rate,Exclusive discount movie tickets at amazing prices,https://villagecinemas.com.au,"Movies are the cornerstone of cultural moments. From iconic movie lines to unforgettable characters, pop culture is shaped by film. Cinema doesn't just reflect the times - it creates moments that stick with us, shaping trends and sparkling conversations for generations.",• Restrictions for Adult and Child eVouchers do apply. Please refer to https://shop.villagecinemas.com.au to read more.,"Level 9, 650 Chapel Street, South Yarra VIC 3141, Australia",South Yarra,VIC,+6111300555400,-37.83845517451148,144.99615321005288,https://www.entertainment.com.au/offer-details/cc7b2ff7-16d3-4887-894c-295a041a202c
2b38c6bd-c1d6-4e85-adbe-64096ef512f6,Attraction and Activities,Cinema,HOYTS Australia,Special,Exclusive prices,Exclusive Hoyts e-Voucher prices.,https://www.hoyts.com.au/,Join HOYTS Rewards and be rewarded for watching movies. Join now at hoyts.com.au or in cinema. Terms and conditions and fees apply.,"• All eVouchers must be used before specified expiry date
• Adult and Child eVouchers can be used for any Standard Session (except on Saturday and Sundays from 2pm onwards, and on Public Holidays) at HOYTS Cinemas in Australia. Not valid in South Australia
• Adult eVoucher South Australia SA can be used for any Standard Session (except on Saturday and Sundays from 2pm onwards, and on Public Holidays) at HOYTS Cinemas in South Australia ONLY
• Child eVoucher is valid for child aged 15 years and under
• Fees apply.  A 1.25% credit card surcharge fee will apply
• Subject to availability. Booking fees will apply
• All eVouchers are valid for any D-BOX, 3D, Samsung Onyx, Lounge and/or Xtremescreen movie session with an upgrade fee, which will be applied at time of redemption
• All eVouchers are not valid for NFT sessions (No free ticket) and special events
• Restrictions do apply. Please see Full Terms and Conditions at HOYTS.com.au",,,,,,,https://www.entertainment.com.au/offer-details/2b38c6bd-c1d6-4e85-adbe-64096ef512f6
