uuid,category,sub_category,name,title,subtitle,summary,website,merchant_editorial,rules,address,city,state,phone,latitude,longitude,detail_url
522dc3da-50f4-4478-bae7-8a39fe97cfcf,Cafe and Family Dining,Contemporary,Transit Rooftop Bar,Up to $30,Enjoy 25% off,25% off the TOTAL BILL,https://transitrooftopbar.com.au/,"Transit Rooftop Bar is located on level 2 of the iconic Transport Hotel, with heated outdoor terraces, unparalleled views and exquisite food from Taxi Kitchen. Transit is the ideal venue to start or finish an evening. While away a crisp night or linger and enjoy wonderful hospitality, live music and contemporary cocktails.","• This offer may also be used when dining alone
• Valid for Dine-In
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.","Federation Square, Level 2, Transport Hotel, Melbourne VIC 3000, Australia",Melbourne,VIC,+61396548808,-37.818475,144.968473,https://www.entertainment.com.au/offer-details/522dc3da-50f4-4478-bae7-8a39fe97cfcf
a2b57104-e0e1-4922-88cd-0f35c01e2cb0,Cafe and Family Dining,Contemporary,The Bank on Collins,Up to $30,Enjoy 25% off,25% off the TOTAL BILL,https://thebankoncollins.au/,"The Bank on Collins brings affordable luxury to the precinct. Featuring a 17-metre bronze bar-top, 18 copper beer taps, 3 gold wine taps, a private dining room, and cocktail area. Experience a sophisticated menu, with the assurance of outstanding value for money – you can bank on that!","• Valid for Dine-In
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.","394 Collins Street, Melbourne VIC 3000, Australia",Melbourne,VIC,+61390703980,-37.816825,144.961276,https://www.entertainment.com.au/offer-details/a2b57104-e0e1-4922-88cd-0f35c01e2cb0
70c42636-7e8d-4e19-8b20-7ebcc153b8fb,Cafe and Family Dining,Cafe,Time Out,Up to $30,Enjoy 25% off,25% off the TOTAL BILL,https://www.timeoutfedsquare.com.au/,"""Time Out café – the perfect spot to grab a bite to eat, relax over coffee or catch up with friends for after-work drinks. Extensive share plates menu, a gourmet twist to classic sandwiches and Modern Australian mains. ""All-day breakfast menu"" until 3pm. Group bookings and functions available!""","• Valid for Dine-In
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.","Fed Square, 2 Swanston Street, Melbourne VIC 3000, Australia",Melbourne,VIC,+61396713855,-37.817506627488584,144.96834372147688,https://www.entertainment.com.au/offer-details/70c42636-7e8d-4e19-8b20-7ebcc153b8fb
32a1ab0c-a637-4079-aa3f-8fe1dae4ab1a,Cafe and Family Dining,Casual,TGI Fridays,Up to $30,Enjoy 25% off,25% off the TOTAL BILL,https://www.tgifridays.com.au/,"Born in New York in 1965, TGI Fridays has become the country's favourite American bar and grill. Tuck into flame-grilled signature ribs, juicy handcrafted burgers and all your other favourites in a premium yet relaxed atmosphere. A restaurant that the whole family can enjoy, TGI Fridays has a Stars ‘n’ Stripes menu perfect for the little ones. Famous for their Long Island Iced Tea, Pink Punk Martini and Ultimate cocktails, you can enjoy an extensive range of cocktails from a carefully curated menu, as well as Happy Hour every day.","• Valid for Dine-In
• Offer is not valid in conjunction with any other offer, including and not limited to lunch deal, kids eat free or MyFridays rewards. Please check with store for details.
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.
• Surfers Paradise location excluded from offer.","Eastland Shopping Centre, 171-175 Maroondah Highway, Ringwood VIC 3134, Australia",Ringwood,VIC,+61370022977,-37.81235622770431,145.23040745581085,https://www.entertainment.com.au/offer-details/32a1ab0c-a637-4079-aa3f-8fe1dae4ab1a
65f473fe-610b-43db-b325-90dd032727aa,Cafe and Family Dining,Italian,Vapiano,Up to $50,Enjoy 25% off,25% off the TOTAL BILL,https://vapiano.com.au/,"Since Italian migrants first landed in this country they have embraced the tasty deliciousness of pizza, pasta and fresh salads with open arms (and tingling tastebuds). Vapiano takes traditional Italian recipes and brings them to life using Aussie know-how and only the best Australian produce (preferably sourced within 150 kilometres of each restaurant). They think of it as being a little Italian, a lot Australian. You'll just think of it as delicioso.","• Valid for Dine-In
• This offer may also be used when dining alone
• Not valid in conjunction with any other offers or promotions
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.","Bourke Street Mall, Level 1/271 Bourke St, Melbourne VIC 3000, Australia",Melbourne,VIC,+61390870396,-37.813738806302304,144.96443797270788,https://www.entertainment.com.au/offer-details/65f473fe-610b-43db-b325-90dd032727aa
f9fec5b0-6499-49c1-99f1-a497434535f7,Cafe and Family Dining,Contemporary,Second Home,Up to $25,Enjoy 25% off,25% off the TOTAL BILL,https://www.secondhomeeltham.com.au/,"Bright and airy café set within a stunning architecturally designed 'Alistair Knox' warehouse. Bookings are accepted and recommended from Monday to Friday, with a walk-in only seating style on weekends and public holidays. Open 7 days from 8am to 4pm, fully licensed.","• Valid for Dine-In
• This offer may also be used when dining alone
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.","21 Brougham Street, Eltham VIC 3095, Australia",Eltham,VIC,+61394395362,-37.721535,145.139054,https://www.entertainment.com.au/offer-details/f9fec5b0-6499-49c1-99f1-a497434535f7
a67c1f32-cce4-4e88-abcc-07df920e3c5e,Cafe and Family Dining,Cafe,Friends of Mine,Up to $25,Enjoy 25% off,25% off the TOTAL BILL,https://www.friendsofmine.com.au/,"Friends of Mine is an ecclectic café designed to provide you with amazing food and delicious coffee. At Friends of Mine, they believe that brunch is the most important meal of the day, so gather your friends, pop open some bubbly, and enjoy a lazy afternoon at Friends.","• This offer may also be used when dining alone
• Valid for dine-in and takeaway
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.","506 Swan Street, Richmond VIC 3121, Australia",Richmond,VIC,+61394287516,-37.826938,145.009228,https://www.entertainment.com.au/offer-details/a67c1f32-cce4-4e88-abcc-07df920e3c5e
6abd763e-7f2c-4713-b37c-ccb07920364f,Cafe and Family Dining,Casual,Pancake Parlour,Up to $35,Enjoy 25% off,25% off the TOTAL BILL,https://www.pancakeparlour.com.au/,"A Melbourne family business, famous for their delicious sweet and savoury pancakes and crêpes. Kitchen is open until late, and never closes at Highpoint, Doncaster and Malvern East.","• This offer may also be used when dining alone
• Valid for Dine-In
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.","Eastland Shopping Centre, Level 3, next to cinemas 171-175 Maroondah Highway, Ringwood VIC 3134, Australia",Ringwood,VIC,,-37.814737,145.22958,https://www.entertainment.com.au/offer-details/6abd763e-7f2c-4713-b37c-ccb07920364f
e71d35f2-ddf0-4558-83e8-6ae853a0e333,Cafe and Family Dining,Thai,Blossom Thai,Up to $30,Enjoy 25% off,25% off the TOTAL BILL,https://blossomthai.com.au/#!dl=759&n=AboutUs,"Delicious authentic middle Thai-influenced dishes to share in this sleek, modern interior. Very friendly service, and conveniently located across the road from the Como Centre – South Yarra. Large selection of wines, French Champagne, imported beers and spirits available. Family-friendly and wheelchair access.","• This offer may also be used when dining alone
• Valid for Dine-In
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.","36 Cunningham Street, South Yarra VIC 3141, Australia",South Yarra,VIC,,-37.83995730770379,144.99694416779016,https://www.entertainment.com.au/offer-details/e71d35f2-ddf0-4558-83e8-6ae853a0e333
5d960942-c08c-4c48-ae6a-825e9c099d0f,Cafe and Family Dining,European,La Camera Southgate,Up to $30,Enjoy 25% off,25% off the TOTAL BILL,https://www.lacamerasouthgate.com/,"Cool, casual, sensational food... and great value. The menu is predominantly Italian, with an array of sumptuous daily specials, taking influences from all over the world. La Camera Southgate is fully licensed, with a comprehensive wine list. Enjoy Melbourne's amazing city skyline indoors, or out on the balconies.","• Valid for Dine-In
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.","Mid Level - Southgate, Southbank VIC 3006, Australia",Southbank,VIC,+61396993600,-37.820321,144.96604,https://www.entertainment.com.au/offer-details/5d960942-c08c-4c48-ae6a-825e9c099d0f
