uuid,category,sub_category,name,title,subtitle,summary,website,merchant_editorial,rules,address,city,state,phone,latitude,longitude,detail_url
a10db1c1-4cfd-463b-891e-a50d313fea94,Fine Dining,Contemporary,Cumulus Inc.,Up to $50,Enjoy 25% off,25% off the TOTAL BILL,https://www.cumulusinc.com.au/,"In 2008, when Cumulus Inc. swung open its doors on Flinders Lane, we gave the city something it hadn’t seen before - high quality, casual, all-day dining, and share-plate style food: two features now synonymous with Melbourne’s dining scene.

Today the venue continues as a busy social hub offering a seasonal menu that celebrates the very best Victorian produce, and great wines from here and around the world.","• Valid for Dine-In
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.","45 Flinders Lane, Melbourne VIC 3000, Australia",Melbourne,VIC,+61396501445,-37.814663137470696,144.9730853454432,https://www.entertainment.com.au/offer-details/a10db1c1-4cfd-463b-891e-a50d313fea94
430e8f85-98ba-4999-982b-05e747d6f23e,Fine Dining,Contemporary,Taxi Kitchen,Up to $50,Enjoy 25% off,25% off the TOTAL BILL,https://transporthotel.com.au/taxi-kitchen/,"Taxi Kitchen, located in the heart of Melbourne, is the jewel in Federation Square's crown. This relaxed, yet smart restaurant and bar boasts unparalleled views of the CBD, Southbank, St Paul's Cathedral and the Yarra River. Tony Twitchett's menu is rustic yet refined, focusing on share dishes with a European-Asian influence, which is perfect to enjoy at any time of the day or night. The bold and punchy, yet sophisticated fit-out makes Taxi an ideal place for special occasions, pre-theatre dining, or simply pop in for a drink and nibble while shopping. PS – the sunset there is quite spectacular and is not to be missed!","• This offer may also be used when dining alone
• Valid for Dine-In
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.","Flinders Street &, Swanston St, Melbourne VIC 3000, Australia",Melbourne,VIC,+61396548808,-37.817548,144.968033,https://www.entertainment.com.au/offer-details/430e8f85-98ba-4999-982b-05e747d6f23e
06718118-ffe1-40eb-8e7b-e0490db4aa13,Fine Dining,Italian,cafe e cucina,Up to $50,Enjoy 25% off,25% off the TOTAL BILL,https://www.caffeecucina.com.au/,"Since 1988, Cafe e Cucina has been a Melbourne institution - an authentic slice of Italy in South Yarra. Intimate tables, moody lights, and flawless service are part of its secret. Fresh bread, premium olive oil, and an exceptional wine list set the stage for authentic flavors and warm hospitality. Step inside and you’re in Italy—thick accents, genuine dishes, and timeless tradition. For decades, Cafe e Cucina has stayed true to their mission: great food, attentive service, and consistency. Your little piece of Italy, in Melbourne","• Valid for Dine-In
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.","581 Chapel Street, South Yarra VIC 3141, Australia",South Yarra,VIC,+61398274139,-37.84004433373142,144.99535925675656,https://www.entertainment.com.au/offer-details/06718118-ffe1-40eb-8e7b-e0490db4aa13
77b9abe8-321f-45eb-bc6f-48c1fa03b466,Fine Dining,Asian,The George on Collins,Up to $100,Enjoy 25% off,25% off the TOTAL BILL,https://www.thegeorgeoncollins.com.au/,"Located in the heart of Melbourne’s CBD in the heritage Georges Building, you will experience a fun, upmarket dining environment while you share plates from the best of The George on Collins Head Chef.
The George on Collins cuisine is a modern Asian-inspired restaurant, with each dish contrasting flavours of hot, sweet, sour and salty, resulting in a balance of textures, flavours and aromas. You may opt for small plates to share with a tipple or if you’re feeling extra hungry, opt for one of our carefully curated banquet menus.","• Valid for Dine-In
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.","162-168 Collins Street, Melbourne VIC 3000, Australia",Melbourne,VIC,+61396637226,-37.814400084084845,144.96788263701697,https://www.entertainment.com.au/offer-details/77b9abe8-321f-45eb-bc6f-48c1fa03b466
2346f961-6d79-4049-b4e5-b256ffc77d69,Fine Dining,Contemporary,Cutler,Up to $50,Enjoy 25% off,25% off the TOTAL BILL,https://www.cutlerandco.com.au/,"Andrew McConnell opened Cutler & Co. in 2009 in a former metal works factory in Fitzroy, Melbourne’s first suburb.  Behind a glass façade that has reflected the changes around it for over thirteen years, Cutler & Co. has seen its own evolution.

Our ethos – refined, simple, hospitable dining – has not changed in that time but our essence comes from that evolution, from reflecting and embracing neighbourhood and city, and the changing nature of the way people like to eat.","• Valid for Dine-In
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.","55-57  Gertrude Street, Fitzroy VIC 3065, Australia",Fitzroy,VIC,+61394194888,-37.805458471796186,144.97590116093724,https://www.entertainment.com.au/offer-details/2346f961-6d79-4049-b4e5-b256ffc77d69
514db06e-8640-4945-bbfa-fb548b120fd3,Fine Dining,Contemporary,Friends of Fire,Up to $50,Enjoy 25% off,25% off the TOTAL BILL,https://friendsoffire.com.au/,"Located in the heart of Docklands, we blend restaurant-quality dining, a vibrant bar scene, and laid-back pub energy to create the perfect spot for lunch breaks, after-work catchups, and easy, delicious dinners.
From daily happy hours and our $28 express lunch to weeknight steak and curry specials, there’s always something worth dropping in for. Heading to a game or gig? Our footy-friendly menu and exclusive Skip-the-Line access to Marvel Stadium make pre-game feeds and post-match celebrations a breeze.
Big flavour, cold beer, good vibes — that’s Friends of Fire.","• Valid for Dine-In
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.","Marvel Stadium Square Gate 3, Level 1, 740 Bourke Street, Docklands VIC 3008, Australia",Docklands,VIC,+61383768008,-37.81740403858644,144.94847760555314,https://www.entertainment.com.au/offer-details/514db06e-8640-4945-bbfa-fb548b120fd3
15894146-5ea2-4cd6-827d-01d1e77689f0,Fine Dining,Steak,A Hereford Beefstouw Melbourne,Up to $50,Enjoy 25% off,25% off the TOTAL BILL,https://beefstouw.com/restaurants/melbourne-australien,"A Hereford Beefstouw is all about quality steak and great wines, but art and design is just as inherent in the concept as what we put on our plates and pour in our glasses. We have a long tradition of working with renowned artists and designers, continuously improving the aesthetic experience that is part of a visit to our restaurants.","• Valid for Dine-In
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.","22 Duckboard Place, Melbourne VIC 3000, Australia",Melbourne,VIC,+61396548297,-37.815592310363435,144.97132578374234,https://www.entertainment.com.au/offer-details/15894146-5ea2-4cd6-827d-01d1e77689f0
09bf69fa-64ce-4175-a871-9c26d265b7f3,Fine Dining,Pubdining,Springrock Public Bar,Up to $50,Enjoy 25% off,25% off the TOTAL BILL,https://www.springrock.com.au/,"At Springrock, we take pub food to the next level—serving up some of the best counter meals in Melbourne CBD. Under the expert guidance of Head Chef Jarrod Di Blasi (ex Izakaya Den, Ezard), our menu redefines classic pub favourites with premium ingredients and meticulous craftsmanship. Enjoy our famous chicken parma, savour a perfectly cooked Riverina Black Angus porterhouse, or bite into our house-ground cheeseburger, made fresh daily with brisket trim from Fancy Hank’s. This is Melbourne’s best pub food, done exceptionally well. Visit us for next-level counter meals, craft drinks, and an unforgettable dining experience.","• Valid for Dine-In
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.","87 Bourke Street, Melbourne VIC 3000, Australia",Melbourne,VIC,+61394532882,-37.8120324691751,144.97101741360203,https://www.entertainment.com.au/offer-details/09bf69fa-64ce-4175-a871-9c26d265b7f3
17033ad7-9411-46f7-8374-a60e9936b750,Fine Dining,Contemporary,Seamstress Restaurant and Bar,Up to $50,Enjoy 25% off,25% off the TOTAL BILL,https://www.seamstress.com.au/,"Climb up the rickety timber stairs to the dining room, and escape the hustle and bustle of the city below. Seamstress takes a fresh approach, merging traditional pan-Asian ingredients with modern cooking techniques. The menu is all about shared dining, enjoyed in a lively, but casual, social setting. Trek further up the stairs to discover the multi award-winning cocktail bar, inspired by the clubs of yesteryear, with a soundtrack of jazz and blues, soft lighting and friendly, knowledgeable waiter service. Open Monday to Friday for lunch, and Monday to Saturday for dinner.","• Valid for Dine-In
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.","113 Lonsdale Street, Melbourne VIC 3000, Australia",Melbourne,VIC,+61396636363,-37.810542,144.968993,https://www.entertainment.com.au/offer-details/17033ad7-9411-46f7-8374-a60e9936b750
084c808a-01e3-4ec7-aa27-75dcd8cf745a,Fine Dining,Indian,ISH Restaurant,Up to $50,Enjoy 25% off,25% off the TOTAL BILL,,"Since November 2018, Fitzroy’s Gertrude Street has been home to ISH, a lively, inventive Indian restaurant. Serving up contemporary Indian cuisine, the restaurant’s ethos is rooted in the liminal: its inspirations both traditional and modern, its flavours both familiar and surprising, its spirit both global and local. It serves to represent, through food, the dynamism that so defines modern-day India. ISH is Indian-ish, yes, but also Australian; modern-ish, yes, but also classic. In short, it delivers what can only be described as ‘unexpected India.’","• Valid for Dine-In
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.","199 Gertrude Street, Fitzroy VIC 3165, Australia",Fitzroy,VIC,+61426509699,-37.80582078811302,144.98125272532417,https://www.entertainment.com.au/offer-details/084c808a-01e3-4ec7-aa27-75dcd8cf745a
