uuid,category,sub_category,name,title,subtitle,summary,website,merchant_editorial,rules,address,city,state,phone,latitude,longitude,detail_url
c09bd370-2bf9-4bbe-98b6-5ab1ba7bc688,Retail and Local Services,Automotive,Star Car Wash,Up to $50,Enjoy $50 off,$50 off FULL DETAIL,https://www.starcarwash.com.au/,,,"Eastland Shopping Centre, Shop LG01, 171-175 Maroondah Highway, Ringwood VIC 3134, Australia",Ringwood,VIC,+61297007420,-37.812784,145.228878,https://www.entertainment.com.au/offer-details/c09bd370-2bf9-4bbe-98b6-5ab1ba7bc688
2e76982a-a09d-41b5-9ca9-5efca61ccc3a,Retail and Local Services,Automotive,Star Car Wash,Up to $25,Enjoy $25 off,$25 off INTERIOR DETAIL,https://www.starcarwash.com.au/,,,"Eastland Shopping Centre, Shop LG01, 171-175 Maroondah Highway, Ringwood VIC 3134, Australia",Ringwood,VIC,+61297007420,-37.812784,145.228878,https://www.entertainment.com.au/offer-details/2e76982a-a09d-41b5-9ca9-5efca61ccc3a
0cadc29a-89a9-4f66-91ca-d92221e3b99a,Retail and Local Services,Automotive,Star Car Wash,Up to $10,Enjoy $10 off,$10 off POLISH,https://www.starcarwash.com.au/,,,"Eastland Shopping Centre, Shop LG01, 171-175 Maroondah Highway, Ringwood VIC 3134, Australia",Ringwood,VIC,+61297007420,-37.812784,145.228878,https://www.entertainment.com.au/offer-details/0cadc29a-89a9-4f66-91ca-d92221e3b99a
4f91ec90-86f4-4ee8-820a-0aec12476cf0,Retail and Local Services,Automotive,Star Car Wash,Up to $10,Enjoy $10 off,$10 off PLATINUM,https://www.starcarwash.com.au/,,,"Eastland Shopping Centre, Shop LG01, 171-175 Maroondah Highway, Ringwood VIC 3134, Australia",Ringwood,VIC,+61297007420,-37.812784,145.228878,https://www.entertainment.com.au/offer-details/4f91ec90-86f4-4ee8-820a-0aec12476cf0
c1a85fdf-cfaf-4030-aee5-80a1ea779131,Retail and Local Services,Automotive,Midas,Up to $50,Enjoy $50 off,$50 off a MAJOR SERVICE (Offer must be presented at the time of booking),https://www.midas.com.au/,"Midas is a trusted Australian household name with over 40 years’ experience in the Australian automotive services industry. The Midas brand is synonymous with high-quality, trust and attention to customer needs. We offer down-to-earth pricing, with no ‘ifs’ or ‘buts’. We want you to know where you stand by clearly outlining your service options and enabling you to pay for your service over time. We manage one of the country’s largest networks of auto service centres, and we are committed to expanding our services whenever we can, in the aim to create a better and more transparent offering for our customers.","• Parts and fluids must be purchased from Midas
• Not to be used in conjunction with any other offer","133 Chapple Street, Wodonga VIC 3689, Australia",Wodonga,VIC,+61260246977,-36.13474286056791,146.9037365963058,https://www.entertainment.com.au/offer-details/c1a85fdf-cfaf-4030-aee5-80a1ea779131
d3ff7d6e-5a5d-4116-a68c-c285730d9aab,Retail and Local Services,Automotive,Midas,Up to $25,Enjoy $25 off,$25 off a LOGBOOK SERVICE (Offer must be presented at the time of booking),https://www.midas.com.au/,"Midas is a trusted Australian household name with over 40 years’ experience in the Australian automotive services industry. The Midas brand is synonymous with high-quality, trust and attention to customer needs. We offer down-to-earth pricing, with no ‘ifs’ or ‘buts’. We want you to know where you stand by clearly outlining your service options and enabling you to pay for your service over time. We manage one of the country’s largest networks of auto service centres, and we are committed to expanding our services whenever we can, in the aim to create a better and more transparent offering for our customers.","• Parts and fluids must be purchased from Midas
• Not to be used in conjunction with any other offer","133 Chapple Street, Wodonga VIC 3689, Australia",Wodonga,VIC,+61260246977,-36.13474286056791,146.9037365963058,https://www.entertainment.com.au/offer-details/d3ff7d6e-5a5d-4116-a68c-c285730d9aab
730f739b-2bb9-4cf6-bf58-4c3bcd41ccdc,Retail and Local Services,Automotive,Midas,Up to $25,Enjoy $25 off,$25 off a BRAKE REPLACEMENT (Offer must be present at the time of booking),https://www.midas.com.au/,"Midas is a trusted Australian household name with over 40 years’ experience in the Australian automotive services industry. The Midas brand is synonymous with high-quality, trust and attention to customer needs. We offer down-to-earth pricing, with no ‘ifs’ or ‘buts’. We want you to know where you stand by clearly outlining your service options and enabling you to pay for your service over time. We manage one of the country’s largest networks of auto service centres, and we are committed to expanding our services whenever we can, in the aim to create a better and more transparent offering for our customers.","• Parts and fluids must be purchased from Midas
• Not to be used in conjunction with any other offer","133 Chapple Street, Wodonga VIC 3689, Australia",Wodonga,VIC,+61260246977,-36.13474286056791,146.9037365963058,https://www.entertainment.com.au/offer-details/730f739b-2bb9-4cf6-bf58-4c3bcd41ccdc
821a57ee-e299-497b-9c9e-b7e1476e884c,Retail and Local Services,Sports and Fitness,Curves,Free,One complimentary week,"One complimentary Week, In-Club or Online.",https://curves.com.au/,"Curves helps women to get healthier and stronger with their unique fitness solution. The 30-minute Body Basic Circuits work every major muscle group through a proven program of strength training, cardio and stretching. Curves helps members preserve muscle mass, regardless of age, as well as develop strong muscles, which provide support for bones and joints. Membership also includes fun, fast and effective workouts, safe equipment designed for women, total body workouts, and a Curves coach to teach and motivate. ""Live Stronger Together with Curves"".","• Valid for 7 consecutive days, at the same location
• Limit one fitness membership per person at participating locations only
• Not valid with any other offer
• No cash value and new members only
• First visit discount may be offered in exchange for a 7-day trial.
• If you do not cancel within the first 7 days, monthly charge will be applied thereafter.
• Cannot be combined with other offers. For full terms and cancellations go to our Terms of Service","14 Collins Place, Kilsyth VIC 3137, Australia",Kilsyth,VIC,+61397256060,-37.802489,145.316394,https://www.entertainment.com.au/offer-details/821a57ee-e299-497b-9c9e-b7e1476e884c
3076e235-c8a3-4b00-bc78-3957a4eac599,Retail and Local Services,Pet Services,Urban Woof,Up to $100,Enjoy 20% off,20% off PET TOYS.,https://urbanwoof.com.au/,Urban Woof was established with a clear vision: To provide the latest trends for the fashionable Aussie pooches while offering exceptional quality & customer service.,"• Not valid with any other merchant discount offers, sale items or gift cards.","226 Bay Street, Port Melbourne VIC 3207, Australia",Port Melbourne,VIC,+61403801626,-37.83853656069613,144.9426799978739,https://www.entertainment.com.au/offer-details/3076e235-c8a3-4b00-bc78-3957a4eac599
a9b145a5-8b38-4d30-b142-f1c9c5bd74f5,Retail and Local Services,Pet Services,Urban Woof,Up to $100,Enjoy 20% off,20% off PET FEEDERS.,https://urbanwoof.com.au/,Urban Woof was established with a clear vision: To provide the latest trends for the fashionable Aussie pooches while offering exceptional quality & customer service.,"• Not valid with any other merchant discount offers, sale items or gift cards.","226 Bay Street, Port Melbourne VIC 3207, Australia",Port Melbourne,VIC,+61403801626,-37.83853656069613,144.9426799978739,https://www.entertainment.com.au/offer-details/a9b145a5-8b38-4d30-b142-f1c9c5bd74f5
