uuid,category,sub_category,name,title,subtitle,summary,website,merchant_editorial,rules,address,city,state,phone,latitude,longitude,detail_url
c09bd370-2bf9-4bbe-98b6-5ab1ba7bc688,Retail and Local Services,Automotive,Star Car Wash,Up to $50,Enjoy $50 off,$50 off FULL DETAIL,https://www.starcarwash.com.au/,,,"Council Carpark, 13 Cross Street, Double Bay NSW 1360, Australia",Double Bay,NSW,+61293275990,-33.8768638,151.2444595,https://www.entertainment.com.au/offer-details/c09bd370-2bf9-4bbe-98b6-5ab1ba7bc688
2e76982a-a09d-41b5-9ca9-5efca61ccc3a,Retail and Local Services,Automotive,Star Car Wash,Up to $25,Enjoy $25 off,$25 off INTERIOR DETAIL,https://www.starcarwash.com.au/,,,"Council Carpark, 13 Cross Street, Double Bay NSW 1360, Australia",Double Bay,NSW,+61293275990,-33.8768638,151.2444595,https://www.entertainment.com.au/offer-details/2e76982a-a09d-41b5-9ca9-5efca61ccc3a
0cadc29a-89a9-4f66-91ca-d92221e3b99a,Retail and Local Services,Automotive,Star Car Wash,Up to $10,Enjoy $10 off,$10 off POLISH,https://www.starcarwash.com.au/,,,"Council Carpark, 13 Cross Street, Double Bay NSW 1360, Australia",Double Bay,NSW,+61293275990,-33.8768638,151.2444595,https://www.entertainment.com.au/offer-details/0cadc29a-89a9-4f66-91ca-d92221e3b99a
4f91ec90-86f4-4ee8-820a-0aec12476cf0,Retail and Local Services,Automotive,Star Car Wash,Up to $10,Enjoy $10 off,$10 off PLATINUM,https://www.starcarwash.com.au/,,,"Council Carpark, 13 Cross Street, Double Bay NSW 1360, Australia",Double Bay,NSW,+61293275990,-33.8768638,151.2444595,https://www.entertainment.com.au/offer-details/4f91ec90-86f4-4ee8-820a-0aec12476cf0
c1a85fdf-cfaf-4030-aee5-80a1ea779131,Retail and Local Services,Automotive,Midas,Up to $50,Enjoy $50 off,$50 off a MAJOR SERVICE (Offer must be presented at the time of booking),https://www.midas.com.au/,"Midas is a trusted Australian household name with over 40 years’ experience in the Australian automotive services industry. The Midas brand is synonymous with high-quality, trust and attention to customer needs. We offer down-to-earth pricing, with no ‘ifs’ or ‘buts’. We want you to know where you stand by clearly outlining your service options and enabling you to pay for your service over time. We manage one of the country’s largest networks of auto service centres, and we are committed to expanding our services whenever we can, in the aim to create a better and more transparent offering for our customers.","• Parts and fluids must be purchased from Midas
• Not to be used in conjunction with any other offer","92 Oxford Street, Woollahra NSW 2025, Australia",Woollahra,NSW,136432,-33.889789,151.235542,https://www.entertainment.com.au/offer-details/c1a85fdf-cfaf-4030-aee5-80a1ea779131
d3ff7d6e-5a5d-4116-a68c-c285730d9aab,Retail and Local Services,Automotive,Midas,Up to $25,Enjoy $25 off,$25 off a LOGBOOK SERVICE (Offer must be presented at the time of booking),https://www.midas.com.au/,"Midas is a trusted Australian household name with over 40 years’ experience in the Australian automotive services industry. The Midas brand is synonymous with high-quality, trust and attention to customer needs. We offer down-to-earth pricing, with no ‘ifs’ or ‘buts’. We want you to know where you stand by clearly outlining your service options and enabling you to pay for your service over time. We manage one of the country’s largest networks of auto service centres, and we are committed to expanding our services whenever we can, in the aim to create a better and more transparent offering for our customers.","• Parts and fluids must be purchased from Midas
• Not to be used in conjunction with any other offer","92 Oxford Street, Woollahra NSW 2025, Australia",Woollahra,NSW,136432,-33.889789,151.235542,https://www.entertainment.com.au/offer-details/d3ff7d6e-5a5d-4116-a68c-c285730d9aab
730f739b-2bb9-4cf6-bf58-4c3bcd41ccdc,Retail and Local Services,Automotive,Midas,Up to $25,Enjoy $25 off,$25 off a BRAKE REPLACEMENT (Offer must be present at the time of booking),https://www.midas.com.au/,"Midas is a trusted Australian household name with over 40 years’ experience in the Australian automotive services industry. The Midas brand is synonymous with high-quality, trust and attention to customer needs. We offer down-to-earth pricing, with no ‘ifs’ or ‘buts’. We want you to know where you stand by clearly outlining your service options and enabling you to pay for your service over time. We manage one of the country’s largest networks of auto service centres, and we are committed to expanding our services whenever we can, in the aim to create a better and more transparent offering for our customers.","• Parts and fluids must be purchased from Midas
• Not to be used in conjunction with any other offer","92 Oxford Street, Woollahra NSW 2025, Australia",Woollahra,NSW,136432,-33.889789,151.235542,https://www.entertainment.com.au/offer-details/730f739b-2bb9-4cf6-bf58-4c3bcd41ccdc
821a57ee-e299-497b-9c9e-b7e1476e884c,Retail and Local Services,Sports and Fitness,Curves,Free,One complimentary week,"One complimentary Week, In-Club or Online.",https://curves.com.au/,"Curves helps women to get healthier and stronger with their unique fitness solution. The 30-minute Body Basic Circuits work every major muscle group through a proven program of strength training, cardio and stretching. Curves helps members preserve muscle mass, regardless of age, as well as develop strong muscles, which provide support for bones and joints. Membership also includes fun, fast and effective workouts, safe equipment designed for women, total body workouts, and a Curves coach to teach and motivate. ""Live Stronger Together with Curves"".","• Valid for 7 consecutive days, at the same location
• Limit one fitness membership per person at participating locations only
• Not valid with any other offer
• No cash value and new members only
• First visit discount may be offered in exchange for a 7-day trial.
• If you do not cancel within the first 7 days, monthly charge will be applied thereafter.
• Cannot be combined with other offers. For full terms and cancellations go to our Terms of Service","40 Willoughby Road, Crows Nest NSW 1582, Australia",Crows Nest,NSW,+61294376837,-33.82646801888574,151.20061762659955,https://www.entertainment.com.au/offer-details/821a57ee-e299-497b-9c9e-b7e1476e884c
1f780bfc-fafb-4334-a936-ace55be8a5ac,Retail and Local Services,Automotive,Snap Car Wash,Special Rate,Special rate,$10 off the PLATINUM WASH,https://snapcarwash.com.au/,"Choose Snap Car Wash for superior vehicle care. Located conveniently in shopping center parking lots, we offer premier washing, cleaning, and detailing services while you shop. We use high-quality products to ensure top-tier care for every vehicle. Our range of services, from quick washes to comprehensive detailing, caters to various needs and budgets. Opt for Snap Car Wash for efficient, quality service tailored to your lifestyle.","• Please mention this offer when booking
• Not valid with any other offer","P1 Below Coles Level, 1 Anderson Street, Chatswood NSW 2067, Australia",Chatswood,NSW,,-33.7981390100447,151.18411328997337,https://www.entertainment.com.au/offer-details/1f780bfc-fafb-4334-a936-ace55be8a5ac
48920fc9-e009-4ff2-b8d0-3ddbcc9ac166,Retail and Local Services,Automotive,Snap Car Wash,Special Rate,Special rate,$15 off the SNAP POLISH,https://snapcarwash.com.au/,"Choose Snap Car Wash for superior vehicle care. Located conveniently in shopping center parking lots, we offer premier washing, cleaning, and detailing services while you shop. We use high-quality products to ensure top-tier care for every vehicle. Our range of services, from quick washes to comprehensive detailing, caters to various needs and budgets. Opt for Snap Car Wash for efficient, quality service tailored to your lifestyle.","• Please mention this offer when booking
• Not valid with any other offer","P1 Below Coles Level, 1 Anderson Street, Chatswood NSW 2067, Australia",Chatswood,NSW,,-33.7981390100447,151.18411328997337,https://www.entertainment.com.au/offer-details/48920fc9-e009-4ff2-b8d0-3ddbcc9ac166
5c67cba6-da4e-46f2-b6e7-0db99280f6ea,Retail and Local Services,Automotive,Snap Car Wash,Special Rate,Special rate,$25 off the INTERIOR DETAIL,https://snapcarwash.com.au/,"Choose Snap Car Wash for superior vehicle care. Located conveniently in shopping center parking lots, we offer premier washing, cleaning, and detailing services while you shop. We use high-quality products to ensure top-tier care for every vehicle. Our range of services, from quick washes to comprehensive detailing, caters to various needs and budgets. Opt for Snap Car Wash for efficient, quality service tailored to your lifestyle.","• Please mention this offer when booking
• Not valid with any other offer","P1 Below Coles Level, 1 Anderson Street, Chatswood NSW 2067, Australia",Chatswood,NSW,,-33.7981390100447,151.18411328997337,https://www.entertainment.com.au/offer-details/5c67cba6-da4e-46f2-b6e7-0db99280f6ea
