uuid,category,sub_category,name,title,subtitle,summary,website,merchant_editorial,rules,address,city,state,phone,latitude,longitude,detail_url
18c5ff4b-a37b-441d-8405-20d350263ae8,Attraction and Activities,Cinema,"Event Cinemas, BCC Cinemas & Village Cinemas",Special,Access special e-Vouchers,Access SPECIAL EVOUCHERS online,https://www.eventcinemas.com.au/,Experience the biggest blockbuster movies in Australia's number one cinemas with great offers available all year round.,"• eVoucher must be used before specified expiry date
• Both Adult and Child eSaver eVouchers are not valid after 5pm on Saturdays
• Family Pass eVouchers are valid for G and PG sessions only
• Gold Class Single Admission eVoucher Is Not valid for use from 5pm Thursdays, Fridays and Saturdays
• Gold Class Double and Gold Class Single Admission is Not valid for use in ACT
• All eVouchers are Not valid for use at Moonlight Cinemas or Skyline Drive In
• All eVouchers are only valid for original sessions, please refer to cinema Full Terms and Conditions
• This eVoucher is not valid for NFT sessions (No free ticket) and special events
• eVouchers cannot be used at Village Bendigo, Rosebud, Sorrento, Warragul and Warrnambool VIC Locations
• Fees apply. A 1.25% credit card surcharge fee will apply
• Online booking fees apply. Surcharges apply for V-Max and 3D sessions
• Restrictions do apply. Please refer to cinema Full Terms and Conditions when purchasing","Westfield Bondi Junction, Level 7&8, 500  Oxford Street, Bondi Junction NSW 1355, Australia",Bondi Junction,NSW,,-33.891502,151.250256,https://www.entertainment.com.au/offer-details/18c5ff4b-a37b-441d-8405-20d350263ae8
2b38c6bd-c1d6-4e85-adbe-64096ef512f6,Attraction and Activities,Cinema,HOYTS Australia,Special,Exclusive prices,Exclusive Hoyts e-Voucher prices.,https://www.hoyts.com.au/,Join HOYTS Rewards and be rewarded for watching movies. Join now at hoyts.com.au or in cinema. Terms and conditions and fees apply.,"• All eVouchers must be used before specified expiry date
• Adult and Child eVouchers can be used for any Standard Session (except on Saturday and Sundays from 2pm onwards, and on Public Holidays) at HOYTS Cinemas in Australia. Not valid in South Australia
• Adult eVoucher South Australia SA can be used for any Standard Session (except on Saturday and Sundays from 2pm onwards, and on Public Holidays) at HOYTS Cinemas in South Australia ONLY
• Child eVoucher is valid for child aged 15 years and under
• Fees apply.  A 1.25% credit card surcharge fee will apply
• Subject to availability. Booking fees will apply
• All eVouchers are valid for any D-BOX, 3D, Samsung Onyx, Lounge and/or Xtremescreen movie session with an upgrade fee, which will be applied at time of redemption
• All eVouchers are not valid for NFT sessions (No free ticket) and special events
• Restrictions do apply. Please see Full Terms and Conditions at HOYTS.com.au",,,,,,,https://www.entertainment.com.au/offer-details/2b38c6bd-c1d6-4e85-adbe-64096ef512f6
33853a8a-eb08-4319-9b68-84f2df350d57,Attraction and Activities,Cinema,Palace Nova Cinemas,Special,Special price,Valid for TWO TICKETS for $28,www.palacenova.com.au,"Experience Palace Nova Cinemas in two exclusive locations; Adelaide's vibrant Eastend in the City and the newly opened location on Prospect Road. Showcasing world class cinema, high-quality mainstream, arthouse, independent, foreign language. and documentary films. Enjoy a cheeky glass of wine or a cool beer in any of their fully licensed cinemas, as well as movie snacks, barista coffee, locally sourced cheese, and delicious antipasto platters.","• Not valid on discount days, with any other discounts, festivals, or special events","3 Cinema Place (off 250 Rundle Street), Adelaide SA 5000, Australia",Adelaide,SA,,-34.922052,138.609388,https://www.entertainment.com.au/offer-details/33853a8a-eb08-4319-9b68-84f2df350d57
0da601eb-5055-46dc-8657-37fcab71092f,Attraction and Activities,Family Activities,Adelaide Zoo,25% off,Enjoy 25% off,25% off the regular price of any ADULT or CHILD ADMISSION for up to FOUR PEOPLE,https://www.zoossa.com.au/,"Discover the wild within at Adelaide Zoo in the heart of Adelaide’s CBD.  See 250 species from across Australia and around the world, from towering giraffes, gigantic Komodo Dragons and endangered Sumatran Tigers to bouncing wallabies, swinging monkeys and tiny insects. Plus meet Australasia’s only Giant Pandas!  Meet the animal keepers at daily keeper talks, and feel the flap of feathers in the Free Flight Bird Show while you enjoy the lush botanic gardens of the zoo. Grab a coffee or lunch at one of the onsite cafes, and you can even upgrade your visit and get within a whisker with a special Animal Experience.
Open every day from 9.30am – 5pm
PLEASE NOTE - This voucher must be redeemed while you are at the admission counter at Adelaide Zoo with Zoo staff.  Please do not redeem the voucher prior to your arrival or it may not be honoured.","• PLEASE NOTE: This voucher must be redeemed while you are at the admission counter at Adelaide Zoo with Zoo staff. Please do not redeem the voucher prior to your arrival or it may not be honoured
• Please contact Zoos South Australia on 08 8267 3255 or email bookings@zoossa.com.au to redeem your offer
• Not valid with family ticket purchase","Adelaide Zoo, Frome Road, Adelaide SA 5000, Australia",Adelaide,SA,+61882673255,-34.912892,138.606949,https://www.entertainment.com.au/offer-details/0da601eb-5055-46dc-8657-37fcab71092f
0fda4bbc-8bd1-43c7-9a37-6f95f90bce1d,Attraction and Activities,Family Activities,Monarto Safari Park,25% off,Enjoy 25% off,25% off any ADULT or CHILD ADMISSION for up to FOUR PEOPLE,https://www.zoossa.com.au,"The wild is calling at Monarto Safari Park, the largest safari experience outside of Africa.   Monarto Safari Park is home to more than 500 exotic and Australian native animals, including many of Africa’s most impressive animals such as White Rhinos, lions, giraffe, meerkats and chimps.
You can view the fascinating animals by exploring the 12 kms of walking trails or by hopping on the Zu-loop shuttle bus for a guided tour of the park. To make the most of your visit, make sure you hop off at the viewing platforms, book an up-close Animal Experience or enjoy a keeper presentation
Open every day from 9.30am to 5pm (last Zu-loop shuttle bus departs at 3pm)
PLEASE NOTE - This voucher must be redeemed while you are at the admission counter at Monarto Safari Park with Safari Park staff.  Please do not redeem the voucher prior to your arrival or it may not be honoured.","• PLEASE NOTE - This voucher must be redeemed while you are at the admission counter at Monarto Safari Park with Safari Park staff. Please do not redeem the voucher prior to your arrival or it may not be honoured.
• Not valid with family ticket purchase
• Please contact Zoos South Australia on 08 8267 3255 or email bookings@zoossa.com.au to redeem your offer","Old Princes Highway, Monarto South SA 5254, Australia",Monarto South,SA,+61885344100,-35.118523,139.139066,https://www.entertainment.com.au/offer-details/0fda4bbc-8bd1-43c7-9a37-6f95f90bce1d
03b8aafa-d893-473e-8107-55ce7987ddb9,Attraction and Activities,Family Activities,Cleland Wildlife Park,25% off,Enjoy 25% off,25% off the regular price of any ADULT or CHILD ADMISSION for up to FOUR PEOPLE,https://www.environment.sa.gov.au/clelandwildlife/Home,,,"365 Mt Lofty Summit Road, Crafers SA 5152, Australia",Crafers,SA,+61883392444,-34.971775,138.711412,https://www.entertainment.com.au/offer-details/03b8aafa-d893-473e-8107-55ce7987ddb9
c995e0ad-0f11-4dd2-9dbc-26a87fb3dcd6,Attraction and Activities,Family Activities,Holey Moley Golf Club,Up to $100,Enjoy 30% off,30% off MINI GOLF for up to 4 people,https://www.holeymoley.com.au/,"We’re a mini golf course and bar that turns traditional putt putt into a multi-sensory labyrinth of unique holes inspired by everything from your everyday to the fun of your childhood faves. It’s nice, it’s nostalgic, it’s ‘80s, it’s ‘90s. It’s the craziest round of mini golf you’ve ever played. We are not in even a tiny way affiliated with any of the creators of popular culture that some of our holes may, or may not remind you of. And with drinks, cocktails and tunes on offer at our full service bar, The Caddyshack will take care of all your off-the-green needs. It’s Australia’s best mini golf course. Par none.","• Online booking is required. Please visit the Holey Moley website to book before visiting the venue.
• The promo code can only be redeemed online, it cannot be redeemed on the spot for walk-ins.
• Valid at all current and future locations as per participant's website.
• This offer applies to Activities only, not F&amp;B or retail.
• This offer may not be used in conjunction with any other promotions.","77–91 Rundle Mall, Adelaide SA 5000, Australia",Adelaide,SA,,-34.92252651269297,138.6015189640236,https://www.entertainment.com.au/offer-details/c995e0ad-0f11-4dd2-9dbc-26a87fb3dcd6
f2d821a4-12b7-4de1-816e-a7171ab8a85b,Attraction and Activities,Family Activities,Archie Brothers Cirque Electriq,Up to $100,Enjoy 30% off,30% off the TOTAL  BILL for up to 4 people,https://www.archiebrothers.com.au/,"It’s dazzling, it’s delightful, it’s a spectacle for the (all) ages! Archie Brothers Cirque Electriq is a real prize for your eyes — a kaleidoscopic circus of cocktails, arcade and ticket games that give old fun a new life! Take a minute (or 10) to marvel and grin … then get ready to dive on in.","• Online booking is required. Please visit the Archie Brothers website to book before visiting the venue.
• The promo code can only be redeemed online, it cannot be redeemed on the spot for walk-ins.
• This offer applies to Activities only, not F&amp;B or retail.
• This offer may not be used in conjunction with any other promotions.","Rundle Place, 77–91 Rundle Mall, Adelaide SA 5000, Australia",Adelaide,SA,+61272567891,-34.92330351966722,138.60274132511574,https://www.entertainment.com.au/offer-details/f2d821a4-12b7-4de1-816e-a7171ab8a85b
c80dd3a8-d6d6-4fa1-be58-7117f7e64728,Attraction and Activities,Family Activities,Hijinx Hotel,Up to $100,Enjoy 30% off,30% off the TOTAL  BILL for up to 4 people,https://booking.hijinxhotel.com.au/suburbs,"Hijinx Hotel is an immersive interactive game experience housed within the theme, wonder and theatre of a quirky New York style hotel where the rooms are reimagined into quick play, challenge rooms. Leave the suitcases at home - these are rooms where you play, not stay. Each of the hotel wings is home to highly fun & experiential, game-afied rooms made up of 5 different collaborative games. Hijinx is perfect for the young and the young at heart, for groups, on a date or just out with a mate.","• Online booking is required. Please visit the Hijinx Hotel website to book before visiting the venue.
• The promo code can only be redeemed online, it cannot be redeemed on the spot for walk-ins.
• Valid at all current and future locations as per participant's website.
• This offer applies to Activities only, not F&amp;B or retail.
• This offer may not be used in conjunction with any other promotions.","77-91 Rundle Mall, Adelaide SA 5000, Australia",Adelaide,SA,1300727833,-34.92332551160308,138.60277351246262,https://www.entertainment.com.au/offer-details/c80dd3a8-d6d6-4fa1-be58-7117f7e64728
5107bd26-406e-419a-a3f6-0ba81bf47761,Attraction and Activities,Family Activities,Strike Bowling and Laser Tag,Up to $100,Enjoy 30% off,30% off the TOTAL  BILL for up to 4 people,https://www.strikebowling.com.au/,"We’re not your average tenpin bowling alley. From bowling to laser tag and karaoke to escape rooms, we’ve got the fun covered for everyone. Throw our fully-equipped cocktail bar, gourmet kitchen offerings and parade of party packages into the equation and we’re your one-stop shop for the ultimate entertainment experience. We’re fun. With the works.","• Online booking is required. Please visit the Strike website to book before visiting the venue.
• The promo code can only be redeemed online, it cannot be redeemed on the spot for walk-ins.
• Press redeem/book now button to be re-directed to booking page and use Redemption Code given.
• This offer applies to Activities only, not F&amp;B or retail.
• This offer may not be used in conjunction with any other promotions.","Rundle Place, Level 1, 77-91 Rundle Mall, Adelaide SA 5000, Australia",Adelaide,SA,,-34.92321978019422,138.6026254939551,https://www.entertainment.com.au/offer-details/5107bd26-406e-419a-a3f6-0ba81bf47761
