uuid,category,sub_category,name,title,subtitle,summary,website,merchant_editorial,rules,address,city,state,phone,latitude,longitude,detail_url
783333dd-a73f-41e3-9073-dd48938b9b87,Cafe and Family Dining,Pubdining,Goodwood Park Hotel,Up to $50,Enjoy 25% off,25% off the TOTAL BILL,https://www.thegoody.com.au,"Great beer garden, perfect to watch the game or catch up with friends. Enjoy excellent restaurant-quality meals at pub prices, in the newly refurbished bistro. Extensive menu caters for all ages and tastes. Great bar for quick, tasty meals and an ideal place to meet friends for a drink. Friendly staff and lots of fun. Thirsty Camel Bottle Shop for an extensive wine selection.","• This offer may also be used when dining alone
• Valid for Dine-In
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.","75 Goodwood Road, Goodwood SA 5034, Australia",Goodwood,SA,+61882729185,-34.948455,138.589618,https://www.entertainment.com.au/offer-details/783333dd-a73f-41e3-9073-dd48938b9b87
137aa128-0ae1-4e53-82af-d3d2e57f2242,Cafe and Family Dining,Pubdining,Largs Pier Hotel,Up to $40,Enjoy 25% off,25% off the TOTAL BILL,https://largspierhotel.com.au/,"Spectacular views of the beach, and the historic Largs Bay Jetty, make this the perfect location to relax and unwind. Impressive menu selection, with extensive beer and wine list, offers something for everyone. This State and National AHA Award-winning hotel is sure to impress. Bookings recommended.","• Valid for Dine-In
• Not Valid with any other offer/discount
• Only valid on full-priced items
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.","198 Esplanade, Largs Bay SA 5016, Australia",Largs Bay,SA,+61884495666,-34.825607,138.486527,https://www.entertainment.com.au/offer-details/137aa128-0ae1-4e53-82af-d3d2e57f2242
cbdfd5fa-bd4c-4ade-a377-f889f495e7cb,Cafe and Family Dining,Pubdining,Modbury Plaza Hotel,Up to $30,Enjoy 25% off,25% off the TOTAL BILL,https://www.modburyplazahotel.com.au/,"Located opposite Tea Tree Plaza. Modern dining room with an extensive à la carte menu. Covered alfresco function area available. Friendly staff and excellent service. Wood oven pizzas available. All-day dining, 7 days from 11.30am to 9pm. Bookings now available through the website.","• This offer may also be used when dining alone
• Valid for Dine-In
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.","989 North East Road, Modbury SA 5092, Australia",Modbury,SA,+61882642244,-34.830973,138.688087,https://www.entertainment.com.au/offer-details/cbdfd5fa-bd4c-4ade-a377-f889f495e7cb
5110399b-b480-4f40-a60b-28c0f4d82f1c,Cafe and Family Dining,European,The Strand Cafe and Restaurant Glenelg,Up to $30,Enjoy 25% off,25% off the TOTAL BILL,https://cafestrand.com.au/,"Having earned multiple accolades through the years the cafe continues to inspire with a creative specials list and a Mediterranean menu that caters to all tastes making us one of the best places to eat in Glenelg. Whether it’s for breakfast, lunch or dinner or just sweets and coffee we will always make you feel comfortable & do our upmost to ensure that your experience at the Strand is always of a high standard.","• Valid for dine-in only
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.","Shop 3, 108 Jetty Road, Glenelg SA 5045, Australia",Glenelg,SA,+61883769222,-34.98019361006071,138.51637517106104,https://www.entertainment.com.au/offer-details/5110399b-b480-4f40-a60b-28c0f4d82f1c
32a1ab0c-a637-4079-aa3f-8fe1dae4ab1a,Cafe and Family Dining,Casual,TGI Fridays,Up to $30,Enjoy 25% off,25% off the TOTAL BILL,https://www.tgifridays.com.au/,"Born in New York in 1965, TGI Fridays has become the country's favourite American bar and grill. Tuck into flame-grilled signature ribs, juicy handcrafted burgers and all your other favourites in a premium yet relaxed atmosphere. A restaurant that the whole family can enjoy, TGI Fridays has a Stars ‘n’ Stripes menu perfect for the little ones. Famous for their Long Island Iced Tea, Pink Punk Martini and Ultimate cocktails, you can enjoy an extensive range of cocktails from a carefully curated menu, as well as Happy Hour every day.","• Valid for Dine-In
• Offer is not valid in conjunction with any other offer, including and not limited to lunch deal, kids eat free or MyFridays rewards. Please check with store for details.
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.
• Surfers Paradise location excluded from offer.","Westfield Tea Tree Plaza, North East Road, Modbury SA 5092, Australia",Modbury,SA,+61895544440,-34.83140936055409,138.68937612690232,https://www.entertainment.com.au/offer-details/32a1ab0c-a637-4079-aa3f-8fe1dae4ab1a
78b62178-1cc7-489f-8571-f97eaf00db4f,Cafe and Family Dining,Cafe,Cafe Brunelli Rundle Street,Up to $30,Enjoy 25% off,25% off the TOTAL BILL,https://cafebrunellis.com.au/,"Brunelli came to Adelaide in 2008 bringing with it the fresh simplicity of wood-oven pizzas to in house dining. This authenticity led to success with the people of Adelaide appreciating the passion of Cafe Brunelli for innovative dishes and memorable dining experiences. Over time, the founders of Café Brunelli have established a network of restaurants however have never forgotten their humble beginnings. We are proudly South Australian.","• Valid for Dine-In
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.","187 Rundle Street, Adelaide SA 5000, Australia",Adelaide,SA,+61882232221,-34.922487286313995,138.60675127619302,https://www.entertainment.com.au/offer-details/78b62178-1cc7-489f-8571-f97eaf00db4f
4ed543d6-18b7-486e-9120-7371d1f54cad,Cafe and Family Dining,Italian,Caffe Buongiorno,Up to $25,Enjoy 25% off,25% off the TOTAL BILL,https://www.buongiornomitcham.com.au/,,"• Valid for Dine-In
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.","212 Belair Road, Hawthorn SA 5062, Australia",Hawthorn,SA,+61882728877,-34.97478577218496,138.60881867178264,https://www.entertainment.com.au/offer-details/4ed543d6-18b7-486e-9120-7371d1f54cad
aae0313a-31bc-4c6b-8b34-d7ff9c753781,Cafe and Family Dining,International,Milky Lane,Up to $25,Enjoy 25% off,25% off the TOTAL BILL,https://milkylane.co/,"Milky Lane is Adelaide’s coolest destination for juicy burgers, indulgent deserts and tasty cocktails.  Each of the perfectly structured burgers are an indulgent explosion of joy! The mouth watering deserts transport you to tastebud utopia, the ultimate experience and can be paired with tantalising cocktails.
Come for the great food and drinks, stay for the cool atmosphere, funky beats and graffiti artwork.
Milky Lane is the perfect spot you have been searching for.","• Valid for Dine-In
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.","272 Rundle Street, Adelaide SA 5000, Australia",Adelaide,SA,+61430399272,-34.922261355342826,138.60956090512923,https://www.entertainment.com.au/offer-details/aae0313a-31bc-4c6b-8b34-d7ff9c753781
222d5997-11b5-4637-982c-9fb2b41b59d5,Cafe and Family Dining,Seafood,House Of Fish Seafood Restaurant,Up to $25,Enjoy 25% off,25% off the TOTAL BILL,https://fortlargseateryandmarkets.com.au/,"Come and experience the service , drink and food at House of Fish, Specializing in fresh seafood daily at the Fort Largs Eatery. You will not be disappointed. Great Service and Value for money.","• Valid for dine-in only
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.","5 Strathfield Terrace, Taperoo SA 5017, Australia",Taperoo,SA,+61417194498,-34.81177789083873,138.4952136415608,https://www.entertainment.com.au/offer-details/222d5997-11b5-4637-982c-9fb2b41b59d5
e37a2adb-fb03-4651-93ad-ac08f5f147cd,Cafe and Family Dining,Pubdining,The Glenelg Club,Up to $30,Enjoy 25% off,25% off the TOTAL BILL,https://theglenelgclub.com.au/,"The Glenelg Club, located at the Glenelg Football Club, has something for everyone. The refurbished bistro is a great place to catch up with friends for lunch, or bring the family for a great dinner in a family-friendly and relaxing atmosphere. Fantastic outdoor dining overlooking the picturesque Glenelg Oval. The Glenelg Club offers modern facilities, easy parking and oval accessibility, with function spaces available.","• This offer may also be used when dining alone
• Valid for Dine-In
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.","Glenelg Oval, Brighton Road, Glenelg SA 5045, Australia",Glenelg,SA,+61882945333,-34.983486,138.520795,https://www.entertainment.com.au/offer-details/e37a2adb-fb03-4651-93ad-ac08f5f147cd
