uuid,category,sub_category,name,title,subtitle,summary,website,merchant_editorial,rules,address,city,state,phone,latitude,longitude,detail_url
56715547-ec63-4594-9d5d-3cde9a999bc4,Fine Dining,Contemporary,Liap Liap,"Up to Rp100,000","Buy one, get one free",One complimentary MAIN COURSE when another MAIN COURSE of equal or greater value is purchased,https://www.liapliap.com/,"Liap Liap means the crackling fl ame of charcoal embers. An inspired blend of colourful, eastern fl avours and refi ned craftsmanship created by the culinary team results in a bold and alluring style found only at Liap Liap. They spare no effort to ensure the fi nest seasonal produce presents a delightful culinary experience for diners. Dine in the Monkey Forest, Ubud's modern Indonesian grill restaurant like no other.","• Valid for Dine-In
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.","JI Monkey Forest, Ubud Bali 80571, Indonesia",Ubud,Bali,+623619080800,-8.513850810049211,115.26055409993029,https://www.entertainment.com.au/offer-details/56715547-ec63-4594-9d5d-3cde9a999bc4
95d0f56d-efaa-4b92-9726-3d0e73de4b07,Fine Dining,Contemporary,Barbacoa,"Up to Rp200,000",Enjoy 25% off,25% off the TOTAL BILL,https://barbacoa-bali.com/,"Open from 12 midday to 12 midnight for lunch, tapas or dinner, Barbacoa is located on Jalan Petitenget, Kerobokan. Barbacoa is dedicated to barbecue, wood fi re, charcoal and loads of smoke. The loft-style dining area, overlooking the restaurant, opens out onto a private terrace with views of the rice paddies.","• Valid for Dine-In
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.","JL. Petitenget, Kerobokan Bali 80361, Indonesia",Kerobokan,Bali,+62361739233,-8.67204411354991,115.16289102443427,https://www.entertainment.com.au/offer-details/95d0f56d-efaa-4b92-9726-3d0e73de4b07
08fb6a5b-9144-4b9a-aa95-6d696d7e251d,Fine Dining,Asian,Shima Teppanyaki,"Up to Rp214,000",Enjoy 25% off,25% off the TOTAL BILL,https://www.shimateppanyaki.com/,"Dining at Shima Teppanyaki is a culinary theatrical event, delivering authentic Japanese Teppanyaki from the fi nest and freshest ingredients, prepared on large iron plates directly in front of your eyes. Their experienced chefs have mastered the art of performance, showcasing their skills, moves and tricks to deliver mouth-watering food, cooked to perfection. Ideal for large groups and small parties, with a menu of premium Australian Wagyu beef, locally caught fi sh delivered fresh daily and local vegetables served alongside an extensive list of imported wines and delicious cocktails.","• Valid for Dine-In
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.","No. 5e Ji. Petitenget, Kerobokan Bali 80361, Indonesia",Kerobokan,Bali,+62361738582,-8.672029129586791,115.16431269629258,https://www.entertainment.com.au/offer-details/08fb6a5b-9144-4b9a-aa95-6d696d7e251d
f4e979ec-7fee-46bb-807c-4ea49970cc2b,Fine Dining,Contemporary,Copper Kitchen & Bar,"Up to Rp200,000",Enjoy 25% off,25% off the TOTAL BILL,https://www.copperubud.com/,"Copper Kitchen & Bar serves food for and from the soul. Food that embraces the depth of culinary traditions, and the skill and élan of the contemporary kitchen, focusing on a farm-to-plate philosophy to provide an authentic, inspired blend of the fl avours that have drawn people to Ubud for years. Open 7 days, see website for more information.","• Valid for Dine-In
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.","JI. Bisma, Ubud Bali 80571, Indonesia",Ubud,Bali,+623614792888,-8.511516632173773,115.2582288037344,https://www.entertainment.com.au/offer-details/f4e979ec-7fee-46bb-807c-4ea49970cc2b
62806b3a-6a01-4695-ab52-1346045a7118,Fine Dining,Asian,Ginger Moon,"Up to Rp200,000",Enjoy 25% off,25% off the TOTAL BILL,https://gingermoonbali.com/,"Ginger Moon is a modern eatery inspired by the people of Bali and Indonesia. Located in Seminyak, Ginger Moon is the heart of the ""Eat Street"" dining scene. This warm and welcoming restaurant pride themselves on their ""it's a sharing thing"" motto. Open for lunch and dinner 11.30am to 11pm 7 days.","• Valid for Dine-In
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.","7 Jl. Kayu Aya,Seminyak Kuta, Kerobokan Kelod, Kec. Kuta Utara, Kabupaten Badung, Seminyak Bali 80361, Indonesia",Seminyak,Bali,+62361734533,-8.68402,115.159633,https://www.entertainment.com.au/offer-details/62806b3a-6a01-4695-ab52-1346045a7118
af8364f3-7d44-4d51-9929-c0919dfef21a,Fine Dining,Asian,Jackson Lily's by Ginger Moon,"Up to Rp200,000",Enjoy 25% off,25% off the TOTAL BILL,https://jacksonlilys.com/,"Jackson Lily's by Ginger Moon is an exciting Asian Bistro and an integral part of Bali’s dining scene. Do not expect a copy and paste of the iconic big sister Ginger Moon Canteen. Instead think all day breakfast, amazing grills – seafoods & meats, meter-long pizzas, as well as an array of clever vegetarian dishes and an exciting drink menus. Jackson Lily’s by Ginger Moon has its own unique vibe, and whether it's enjoying the live theatre created in one of Bali’s most beautiful open kitchens or dining under the stars and giant palms on the second-floor balcony, Jackson Lily's by Ginger Moon is a 'must do' quintessential Bali experience.","• Valid for Dine-In
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.","No. 2 Ji Raya, Seminyak Bali 80361, Indonesia",Seminyak,Bali,+623614740121,-8.688360668854438,115.16759431534163,https://www.entertainment.com.au/offer-details/af8364f3-7d44-4d51-9929-c0919dfef21a
5c6063cc-0fc4-4591-b779-6278c1e88cff,Fine Dining,Contemporary,Ling Ling's,"Up to Rp200,000",Enjoy 25% off,25% off the TOTAL BILL,https://linglingsbali.com/,"Located in the heart of Seminyak, Ling Ling's offers contemporary Asian fusion cuisine, basing their core ideals on Japanese and Korean styles. Striving for customer satisfaction, with their endless supply of Asian tapas, to their most delectable drinks menu. Ling-Ling's is open everyday from 11am-12am (until 1am on Friday & Saturday) to satisfy your hunger for an exquisite meal, a heavenly refreshment, tunes for the soul, or just a fun night out with friends.","• Valid for Dine-In
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.","12B JI Petitenget, Kerobokan, Kelod, Kuta Utara, Kabupaten, Badung Bali 80361, Indonesia",Badung,Bali,+6281916417867,-8.67344714440704,115.15736178465838,https://www.entertainment.com.au/offer-details/5c6063cc-0fc4-4591-b779-6278c1e88cff
09b729f0-17ae-49e8-9b75-e9157dace2a6,Fine Dining,Contemporary,MoonLite Kitchen and Bar,"Up to Rp200,000",Enjoy 25% off,25% off the TOTAL BILL,https://www.moonlitebali.com/,"Indulge in unique rooftop culinary experiences with an evolving mood. Relax at this Bali restaurant's trendy bar lounge with an extensive selection of traditional, classic and modern beverages, including seductive cocktails and a well-stocked wine list. A lusty menu, cooked in the Seminyak restaurant open kitchen, presents the enchanting fl avours of modern Asian cuisine, to be savoured in the Balinese-inspired dining room or on the open-air deck with panoramic Indian Ocean views. Chill out to nightly live music from 7pm to 10pm.","• Valid for Dine-In
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.","Anantara Seminyak Resort, JL Abimanyu (Dhyana Pura), Seminyak Bali 80361, Indonesia",Seminyak,Bali,+62361737773,-8.692745,115.158805,https://www.entertainment.com.au/offer-details/09b729f0-17ae-49e8-9b75-e9157dace2a6
035fc5d4-5f08-4811-b96b-a5f7e3d9001a,Fine Dining,Indian,Natti's Restaurant Bali,"Up to Rp200,000",Enjoy 25% off,25% off the TOTAL BILL,https://nattisrestaurant.com/,"Natti’s Indian Specialty Restaurant in Ubud stands out as one of the finest Indian dining spots in Ubud.

While it may not be the most accessible place to reach, it’s worth the journey as it tends to be less crowded than other eateries.

No need to stress about advance bookings most of the time. The fantastic food at Natti’s, though with slightly smaller portions, is a real treat.

Don’t miss out on their paneer tikka, dal makhani, pani puri, malai kofta, gobi manchurian, and more! Every dish is a culinary delight that will satisfy your taste buds.

Indians visiting Bali will find the best Indian restaurant and love it here!","• Valid for Dine-In
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.","Kenran Resort, Jalan Raya Kenderan, Kenderan, Ubud Bali 80552, Indonesia",Ubud,Bali,+628223611-1010,-8.473738123585113,115.28551318189211,https://www.entertainment.com.au/offer-details/035fc5d4-5f08-4811-b96b-a5f7e3d9001a
8fa90ff7-b99b-4989-b609-026ff7b1395f,Fine Dining,Contemporary,NOAA Asian Bistro,"Up to Rp200,000",Enjoy 25% off,25% off the TOTAL BILL,https://noaa.live/,"Step beyond the ordinary and into a world of vibrant flavours at NOAA, Seminyak’s premier Pan-Asian haven. This stylish restaurant transcends the boundaries of a simple meal, offering a captivating social and creative space where indulgence meets exploration. Nestled in the heart of Bali’s Seminyak area, NOAA is your gateway to a world of exquisite tastes. An all-day dining experience presents a symphony of masterfully interwoven Pan- Asian flavours with the essence of Asia’s finest ingredients. Embark on a culinary adventure with a thoughtfully curated menu, where every dish is a masterpiece. Complement your journey with a selection of meticulously chosen beverages, designed to elevate your dining experience to new heights of luxury.
NOAA awaits. Indulge in the unexpected.","• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.
• Valid for Dine-In","No.2000X, JI, Petitenget Kerobokan Kelod, Kuta Utara, Badung Regency, Seminyak Bali 80361, Indonesia",Seminyak,Bali,,-8.676970594761942,115.15422266815379,https://www.entertainment.com.au/offer-details/8fa90ff7-b99b-4989-b609-026ff7b1395f
