uuid,category,sub_category,name,title,subtitle,summary,website,merchant_editorial,rules,address,city,state,phone,latitude,longitude,detail_url
8ffa5d07-c93f-49bd-ae03-97da5a2cc4ab,Informal Dining and Takeaway,Takeaway,Donut King,One regular hot dog,"Buy one, get one free",One complimentary REGULAR HOT DOG when another REGULAR HOT DOG of equal or greater value is purchased,https://www.donutking.com.au/,,• Valid at all participating Australian locations (excluding Express Stores where product may not be available),"Kiosk 18 Westfield Tea Tree Plaza, 976 Northeast Road, Modbury SA 5092, Australia",Modbury,SA,,-34.831665,138.691728,https://www.entertainment.com.au/offer-details/8ffa5d07-c93f-49bd-ae03-97da5a2cc4ab
0274ada2-074d-460d-8dba-887021fce17f,Informal Dining and Takeaway,Takeaway,Donut King,One regular hot beverage,"Buy one, get one free",One complimentary REGULAR HOT BEVERAGE when another REGULAR HOT BEVERAGE of equal or greater value is purchased,https://www.donutking.com.au/,,• Valid at all participating Australian locations,"Kiosk 18 Westfield Tea Tree Plaza, 976 Northeast Road, Modbury SA 5092, Australia",Modbury,SA,,-34.831665,138.691728,https://www.entertainment.com.au/offer-details/0274ada2-074d-460d-8dba-887021fce17f
11e8d1f9-4bf6-48a1-b6c5-278727728b0c,Informal Dining and Takeaway,Takeaway,Donut King,One six pack of cinnamon donuts,"Buy one, get one free",One complimentary SIX PACK OF CINNAMON DONUTS when another SIX PACK OF CINNAMON DONUTS of equal or greater value is purchased,https://www.donutking.com.au/,,• Valid at all participating Australian locations,"Kiosk 18 Westfield Tea Tree Plaza, 976 Northeast Road, Modbury SA 5092, Australia",Modbury,SA,,-34.831665,138.691728,https://www.entertainment.com.au/offer-details/11e8d1f9-4bf6-48a1-b6c5-278727728b0c
12cfafec-66d2-4511-841b-d25e5c7e45b9,Informal Dining and Takeaway,Cafe,Cibo Waymouth Street,Up to $20,Enjoy 25% off,25% off the TOTAL BILL,https://www.ciboespresso.com.au/,,,"32 Waymouth Street, Adelaide SA 5000, Australia",Adelaide,SA,+61882122283,-34.92574926556686,138.59840959145293,https://www.entertainment.com.au/offer-details/12cfafec-66d2-4511-841b-d25e5c7e45b9
235f1e60-a57c-4d73-bea4-edc1a041a13b,Informal Dining and Takeaway,Takeaway,Cold Rock Ice Creamery,One regular ice cream,"Buy one, get one free","Buy One Regular Size ice cream cup/cone, Get One Regular Size ice cream cup/cone Free (equal or lesser value).",https://www.coldrock.com.au/,"Treat yourself to Australia’s coolest frozen treats! With over 30,000 combos to choose from, the options are endless. From ice cream cakes and shakes to cups, cones and take-home tubs, you can choose your favourite flavours and Mix-Ins to create your own personalised combo!","• Valid IN-STORE ONLY
• Mix Ins not included
• Valid at all current and future locations
• Excludes Mobile Van and Cold Rock Express locations
• For store locations please visit www.coldrock.com.au","228 The Parade, Norwood SA 5067, Australia",Norwood,SA,,-34.921045,138.638583,https://www.entertainment.com.au/offer-details/235f1e60-a57c-4d73-bea4-edc1a041a13b
24628651-bee0-4e63-8bdf-92eb4a33197d,Informal Dining and Takeaway,Takeaway,Cold Rock Ice Creamery,Up to $10,Enjoy $10 off,$10 off the REGULAR PRICE OF ANY COLD ROCK CAKE PURCHASE OF $60 OR MORE,https://www.coldrock.com.au/,"Treat yourself to Australia’s coolest frozen treats! With over 30,000 combos to choose from, the options are endless. From ice cream cakes and shakes to cups, cones and take-home tubs, you can choose your favourite flavours and Mix-Ins to create your own personalised combo!","• Valid IN-STORE ONLY
• Valid at all current and future locations
• For store locations please visit www.coldrock.com.au
• Excludes Mobile Van and Cold Rock Express locations","228 The Parade, Norwood SA 5067, Australia",Norwood,SA,,-34.921045,138.638583,https://www.entertainment.com.au/offer-details/24628651-bee0-4e63-8bdf-92eb4a33197d
f9eb04a2-9b1c-4372-b1b4-07f6bc59b2f0,Informal Dining and Takeaway,Takeaway,Ben & Jerry's,One hand packed pint,"Buy one, get one free",One COMPLIMENTARY HAND PACKED PINT when another HAND PACKED PINT of equal or greater value is purchased,https://www.benandjerry.com.au/,"With over 20 ""legendairy"" ice cream flavours to choose from, such as Choc Chip Cookie Dough, Strawberry Cheesecake, and New York Super Fudge Chunk! Also offering shakes, sundaes, baked goods, and delectable ice cream cakes. Visit one of the Ben & Jerry's scoop shops in Australia for the dessert equivalent of your dream summer holiday.","• Surfers Paradise location is excluded from this offer
• Available at participating Ben and Jerry's Scoop shops only, including Hoyts locations","Hoyts Cinema, 185 The Parade, Norwood SA 5067, Australia",Norwood,SA,+61884271701,-34.920634,138.636947,https://www.entertainment.com.au/offer-details/f9eb04a2-9b1c-4372-b1b4-07f6bc59b2f0
0dd88e69-835c-4111-a8b2-f6b51ae1e5f1,Informal Dining and Takeaway,Takeaway,Ben & Jerry's,One double scoop choc dipped waffle cone,"Buy one, get one free",One COMPLIMENTARY DOUBLE SCOOP CHOC DIPPED WAFFLE CONE when another DOUBLE SCOOP CHOC DIPPED WAFFLE CONE of equal or greater value is purchased,https://www.benandjerry.com.au/,"With over 20 ""legendairy"" ice cream flavours to choose from, such as Choc Chip Cookie Dough, Strawberry Cheesecake, and New York Super Fudge Chunk! Also offering shakes, sundaes, baked goods, and delectable ice cream cakes. Visit one of the Ben & Jerry's scoop shops in Australia for the dessert equivalent of your dream summer holiday.","• Surfers Paradise location is excluded from this offer
• Available at participating Ben and Jerry's Scoop shops only, including Hoyts locations","Hoyts Cinema, 185 The Parade, Norwood SA 5067, Australia",Norwood,SA,+61884271701,-34.920634,138.636947,https://www.entertainment.com.au/offer-details/0dd88e69-835c-4111-a8b2-f6b51ae1e5f1
e7d115b6-c285-4dbc-a0e5-7211cc42ffed,Informal Dining and Takeaway,Italian,Frankies Pizza,Up to $25,Enjoy 25% off,25% off the TOTAL BILL,https://www.frankiepizza.com.au/,,,"Shop 7, 283 - 285  Unley Road, Malvern SA 5061, Australia",Malvern,SA,+61424298218,-34.95833441260195,138.6086644431483,https://www.entertainment.com.au/offer-details/e7d115b6-c285-4dbc-a0e5-7211cc42ffed
3abd4c8b-7611-47bf-9608-43bdde02c9fc,Informal Dining and Takeaway,Takeaway,Lord Of The Fries,One big burger or hot dog,"Buy one, get one free",One complimentary BIG BURGER OR HOT DOG when another BIG BURGER OR HOT DOG of equal or greater value is purchased.,https://www.lordofthefries.com.au/,"Lord of the Fries is an alternative, ethical fast food restaurant; serving fries, burgers and hot dogs which are good for people, animals and the earth. Dedicated to using only the best ingredients, their iconic fries are made from fresh, 100% Aussie potatoes, and are topped with delicious internationally-inspired sauces. The fries go through an extensive three-stage cooking process to make them tastier, without using chemicals and powders. Four types of fries to choose from; Classic, Chunky, Shoestring or Sweet Potato. Lord of the Fries is open 7 days until late!","• For store locations please visit www.lordofthefries.com.au
• Valid at all current and future locations","23 Hindley Street, Adelaide SA 5000, Australia",Adelaide,SA,,-34.923313,138.598537,https://www.entertainment.com.au/offer-details/3abd4c8b-7611-47bf-9608-43bdde02c9fc
