uuid,category,sub_category,name,title,subtitle,summary,website,merchant_editorial,rules,address,city,state,phone,latitude,longitude,detail_url
a3e65480-e511-4742-b7c5-635b401a1fd2,Cafe and Family Dining,Mexican,Burrito Bar,Up to $25,Enjoy 25% off,25% off the TOTAL BILL,https://theburritobar.com.au/,"The freshest Mexican food around. Burritos, tacos, nachos, quesadillas, salads, sides and great desserts available. Choose from chicken, beef, pork, steak, fish and vegetarian varieties. Fully licensed, enjoy a margarita or Mexican beer with your meal. Dine-in or takeaway.",• Not to be used in conjunction with any other offers/specials,"48 Victoria Street, Warwick QLD 4370, Australia",Warwick,QLD,+61473088263,-28.21050779274904,152.03627908413566,https://www.entertainment.com.au/offer-details/a3e65480-e511-4742-b7c5-635b401a1fd2
702a958a-1131-49cf-a26e-d644637717f3,Cafe and Family Dining,Japanese,Okami Japanese Restaurant,35% off,Enjoy 35% off,35% off the exclusive ENTERTAINMENT GRAND PLATTER 15-COURSE SET MENU FOR TWO,https://www.okamirestaurant.com.au/,"OKAMI Japanese Restaurant is a pioneer in bringing Japanese family cuisine into Australia. Every dish at OKAMI is freshly made to order from the menu. Combined with the cozy atmosphere, this makes OKAMI an essentially family and group gathering friendly venue.","• Offer Valid for OKAMI ENTERTAINMENT GRAND PLATTER 15-COURSE SET MENU FOR TWO ($120 Value)
• Okami x Entertainment: Grand Platter for Two! (Valued at $120, yours for just $78!)
• Indulge in a 15-course Japanese feast with our exclusive Entertainment Grand Platter, specially curated for Entertainment Members.
• Prepare your taste buds for
• A taste of Japan to start: Miso Soup x 2, Edamame, Vege Gyoza, Prawn Gyoza, Agedashi Tofu: Crispy tofu in a savory broth.
• Next, delight in: Sushi and Sashimi Platter: A fresh and flavourful selection, Beef Carpaccio: Thinly sliced beef with a delicate flavour, Chicken Karaage: Crispy juicy fried chicken, Vegetable Spring Rolls: Golden-fried and packed with veggies, Vege Kakiage: A medley of tempura-fried vegetables, Potato Croquette: Creamy and crispy potato perfection.
• For your main course (choose one): Steak with Teriyaki / Miso Sauce OR Teriyaki Chicken
• Optional sides: Steamed Vegetables OR Stir Fry Vegetable with garlic sauce
• Optional sides (choose one): Fried Rice OR Fried Beef Udon
• Drinks (choose one): Pot of Okami House Sake OR Any two drinks (Mocktails, beers, soft drinks)
• Sweet endings: Two delectable desserts.
• Booking is essential! Call or book online
• Please note: Not valid for All-You-Can-Eat or on public holidays.
• Valid Entertainment Membership must be presented.","18 Fitzgerald Avenue, Springwood QLD 4127, Australia",Springwood,QLD,,-27.613129921037828,153.12638448062006,https://www.entertainment.com.au/offer-details/702a958a-1131-49cf-a26e-d644637717f3
d3b920c6-afaf-4770-a673-33860f6bc2e3,Cafe and Family Dining,Japanese,Okami Japanese Restaurant,Up to $30,Enjoy 25% off,25% off the A La Carte Menu Only. Up to $30.00 value,https://www.okamirestaurant.com.au/,"OKAMI Japanese Restaurant is a pioneer in bringing Japanese family cuisine into Australia. Every dish at OKAMI is freshly made to order from the menu. Combined with the cozy atmosphere, this makes OKAMI an essentially family and group gathering friendly venue.","• Offer Not Valid for ALL YOU CAN EAT MENU.
• Not valid on public holidays
• Bookings essential. Call or Book Online","18 Fitzgerald Avenue, Springwood QLD 4127, Australia",Springwood,QLD,,-27.613129921037828,153.12638448062006,https://www.entertainment.com.au/offer-details/d3b920c6-afaf-4770-a673-33860f6bc2e3
52f705a4-f919-4d87-988d-e4bf81d64dcb,Cafe and Family Dining,Japanese,Sushi Hub,One sushi roll,"Buy one, get one free",One complimentary SUSHI ROLL when another SUSHI ROLL of equal or greater value is purchased (Single Use Offer ONLY),https://sushihub.com.au/,"Over 70 varieties to choose from, including the popular soft shell crab roll. They use free-range chicken, Tasmanian salmon and healthy brown rice in their sushi. Sushi Hub aims to deliver a perfect sushi experience to all customers, committed to providing the freshest, healthiest and most delicious sushi. Perfect food on the run, fresh sushi every day. Open 7 days.","• Single Use Only
• Valid at all current and future locations
• Valid for Dine-In
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.","Shop G126, Australia Fair Shopping Centre, 42 Marine Parade, Southport QLD 4215, Australia",Southport,QLD,+61735175108,-27.968675107876013,153.41556984457927,https://www.entertainment.com.au/offer-details/52f705a4-f919-4d87-988d-e4bf81d64dcb
32a1ab0c-a637-4079-aa3f-8fe1dae4ab1a,Cafe and Family Dining,Casual,TGI Fridays,Up to $30,Enjoy 25% off,25% off the TOTAL BILL,https://www.tgifridays.com.au/,"Born in New York in 1965, TGI Fridays has become the country's favourite American bar and grill. Tuck into flame-grilled signature ribs, juicy handcrafted burgers and all your other favourites in a premium yet relaxed atmosphere. A restaurant that the whole family can enjoy, TGI Fridays has a Stars ‘n’ Stripes menu perfect for the little ones. Famous for their Long Island Iced Tea, Pink Punk Martini and Ultimate cocktails, you can enjoy an extensive range of cocktails from a carefully curated menu, as well as Happy Hour every day.","• Valid for Dine-In
• Offer is not valid in conjunction with any other offer, including and not limited to lunch deal, kids eat free or MyFridays rewards. Please check with store for details.
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.
• Surfers Paradise location excluded from offer.","GD 154-155, Sunshine Plaza, 154-164 Horton Parade, Maroochydore QLD 4558, Australia",Maroochydore,QLD,+61731883165,-26.655158417428243,153.0883585267305,https://www.entertainment.com.au/offer-details/32a1ab0c-a637-4079-aa3f-8fe1dae4ab1a
65f473fe-610b-43db-b325-90dd032727aa,Cafe and Family Dining,Italian,Vapiano,Up to $50,Enjoy 25% off,25% off the TOTAL BILL,https://vapiano.com.au/,"Since Italian migrants first landed in this country they have embraced the tasty deliciousness of pizza, pasta and fresh salads with open arms (and tingling tastebuds). Vapiano takes traditional Italian recipes and brings them to life using Aussie know-how and only the best Australian produce (preferably sourced within 150 kilometres of each restaurant). They think of it as being a little Italian, a lot Australian. You'll just think of it as delicioso.","• Valid for Dine-In
• This offer may also be used when dining alone
• Not valid in conjunction with any other offers or promotions
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.","Soul Retail, 8 Cavill Avenue, Surfers Paradise QLD 4217, Australia",Surfers Paradise,QLD,+61755388967,-28.00225,153.430366,https://www.entertainment.com.au/offer-details/65f473fe-610b-43db-b325-90dd032727aa
383507d3-4432-4f19-af91-08489fa3feb6,Cafe and Family Dining,Pubdining,The Roadhouse at The Hills of Rivermakers,Up to $60,Enjoy 25% off,25% off the TOTAL BILL,https://thehillsbrisbane.com.au/eat-drink/roadhouse/,"Step into our warm and inviting venue The Roadhouse, where every visit feels like a delicious escape. From classic pub favourites to hearty, crowd-pleasing dishes, our menu is designed to satisfy. Whether you’re after a relaxed riverside nibble or a cosy spot indoors, there’s a place here for every mood. Come hungry, come curious, and discover how we bring people together through good food, great coffee, and genuine hospitality.","• Not to be used with any other 3rd Party offers
• Valid for Dine-In
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.","82 Colmslie Road, Morningside QLD 4170, Australia",Morningside,QLD,+61734210166,-27.451015918362252,153.08832056802004,https://www.entertainment.com.au/offer-details/383507d3-4432-4f19-af91-08489fa3feb6
a6970e9e-06af-4377-88f9-5fa7ae0b103b,Cafe and Family Dining,Cafe,Atlas Kaffe,One coffee,"Buy one, get one free",One complimentary COFFEE when another COFFEE of equal or greater value is purchased,,"Atlas Kaffe is a friendly café open to the public. We serve quality specialized coffee using local sources for milks and beans. If you don't drink coffee, that's also ok because we serve Quality Teas (not pricey), non caffeinated drinks, cold healthy juices and more. It is connected to Mac Family Chiropractic in Bridgeman Downs. We provide a friendly atmosphere with music, outdoor and indoor seating, a therapy dog Tessa and just plane good vibes. Please come and bring family and friends and join us.","• Valid for Dine-In
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.","5 Canopus Street, Bridgeman Downs QLD 4035, Australia",Bridgeman Downs,QLD,+61418577722,-27.364151436372232,152.99114942032344,https://www.entertainment.com.au/offer-details/a6970e9e-06af-4377-88f9-5fa7ae0b103b
446c6aa3-9ecd-4f67-a404-a10305376e47,Cafe and Family Dining,Cafe,Atlas Kaffe,Up to $20,Enjoy 25% off,25% off the TOTAL BILL,,"Atlas Kaffe is a friendly café open to the public. We serve quality specialized coffee using local sources for milks and beans. If you don't drink coffee, that's also ok because we serve Quality Teas (not pricey), non caffeinated drinks, cold healthy juices and more. It is connected to Mac Family Chiropractic in Bridgeman Downs. We provide a friendly atmosphere with music, outdoor and indoor seating, a therapy dog Tessa and just plane good vibes. Please come and bring family and friends and join us.","• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.
• Valid for Dine-In","5 Canopus Street, Bridgeman Downs QLD 4035, Australia",Bridgeman Downs,QLD,+61418577722,-27.364151436372232,152.99114942032344,https://www.entertainment.com.au/offer-details/446c6aa3-9ecd-4f67-a404-a10305376e47
9ab8e872-cb8e-4433-b162-6155d261e98d,Cafe and Family Dining,Cafe,Birds and Bees Cafe,Up to $25,Enjoy 25% off,25% off the TOTAL BILL,http://fb.com/birdsandbeescafe,"Come in and relax under the large undercover balcony overlooking the treetops and enjoy amazing coffee, delicious food, sweet treats and service with a smile. Four legged family members are also very welcome.","• Valid for Dine-In
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.","1 / 1-5 Queens Road, Everton Hills QLD 4053, Australia",Everton Hills,QLD,+61731913858,-27.391277637683284,152.975224949402,https://www.entertainment.com.au/offer-details/9ab8e872-cb8e-4433-b162-6155d261e98d
