uuid,category,sub_category,name,title,subtitle,summary,website,merchant_editorial,rules,address,city,state,phone,latitude,longitude,detail_url
ff3cf72b-9973-4d0c-a49c-2d770c44748e,Fine Dining,Contemporary,Darling & Co,Up to $50,"Buy one, get one free",One complimentary MAIN COURSE when another MAIN COURSE of equal or greater value is purchased.,https://darlingpaddington.com.au/,"Darling & Co is Paddington’s favourite destination for dining, functions and events. Whether you’re in the mood for a casual catch up or an intimate dinner, our restaurant and bar is fit for any occasion. Our food and beverage menus change seasonally and feature fresh, locally sourced produce. Open Wednesday to Sunday from 11am, Darling & Co make a booking or walk in, we’d love to see you!","• Valid for Dine-In
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.","157 Given Terrace, Paddington QLD 4064, Australia",Paddington,QLD,+61737075400,-27.46201437896985,153.00858902468383,https://www.entertainment.com.au/offer-details/ff3cf72b-9973-4d0c-a49c-2d770c44748e
addf13b0-9a14-4be1-9cdf-c6006c34e8ff,Fine Dining,Asian,Fat Noodle Brisbane,Up to $30,Enjoy 25% off,25% off the TOTAL BILL,https://www.star.com.au/brisbane/eat-and-drink/casual-dining/fat-noodle,"Having launched in Treasury Brisbane over a decade ago, Fat Noodle has joined The Star Brisbane to deliver a reimagined dining experience by celebrity Chef and culinary adventurer – Luke Nguyen. Inspired by South-East Asia’s vibrant street food scene, Luke Nguyen offers his traditional family recipes which are reinterpreted through fresh Australian produce. Serving up-market dishes that Brisbane has grown to love, Fat Noodle at The Star Brisbane is home to the legendary 20-hour Fat Pho Noodles, a fiery laksa, as well as fresh new flavours. Fat Noodle is located on Level 5, within the Casino. Guests must be aged 18 years or over to enter the Casino","• Valid for Dine-In
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.","The Star Brisbane Level 5, 33 William St, Brisbane QLD 4000, Australia",Brisbane,QLD,1800700700,-27.47405467858337,153.02490455752735,https://www.entertainment.com.au/offer-details/addf13b0-9a14-4be1-9cdf-c6006c34e8ff
70a9042a-087e-4260-970a-a24d214708ab,Fine Dining,Seafood,See Restaurant,Up to $50,Enjoy 25% off,25% off the TOTAL BILL,https://seerestaurant.com.au/,"See Restaurant is located under the tower at the Wharf Mooloolaba, and with panoramic 180 degree views of the water, it is truly absolute waterfront dining. The cuisine is best described as Modern Australian, with the focus being on fresh seafood straight from the trawlers that call the harbour home. Providing the ultimate dining experience, See offers the perfect setting for a romantic evening, or dinner with friends, and also makes the perfect venue for weddings.","• Valid for Dine-In
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.","G44 / 123 Parkyn Parade, Mooloolaba QLD 4557, Australia",Mooloolaba,QLD,+61754445044,-26.683701583780913,153.1221465545021,https://www.entertainment.com.au/offer-details/70a9042a-087e-4260-970a-a24d214708ab
8f863feb-78d7-4cc1-99fc-f82acedd2dd8,Fine Dining,Japanese,Sokyo,Up to $50,Enjoy 25% off,25% off the TOTAL BILL,https://www.star.com.au/brisbane/eat-drink/signature-dining/sokyo,"Brisbane’s newest Japanese culinary experience, Sokyo, embodies the creative collision of Ritual Meets Art, bringing theatre to the entire sensory experience. The menu itself is centred on Japanese cooking techniques filtered through a modern Australian lens, anchored by the finest Queensland produce to infuse a local essence. Sokyo’s philosophy is evident in every dish and detail, delivering unexpected twists and transforming the dining experience into a performance of unforgettable moments led by Brisbane Executive Chef Alex Yu. Sokyo is located within The Star Grand Lobby, Level 2.","• Valid for Dine-In
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.","The Star Brisbane, 33 William Street, Brisbane QLD 4000, Australia",Brisbane,QLD,180088889,-27.474185716825122,153.0249384292623,https://www.entertainment.com.au/offer-details/8f863feb-78d7-4cc1-99fc-f82acedd2dd8
957f6862-5cbd-47a8-a623-46f78796d2be,Fine Dining,Italian,OTTO Brisbane,Up to $65,Enjoy 25% off,25% off the TOTAL BILL,https://ottoristorante.com.au/brisbane/southbank/,"OTTO celebrates people, place and la dolce vita. Located on the absolute riverfront at South Bank, OTTO Ristorante and OTTO Osteria bring a vibrant glamour to the Queensland dining scene.

Taking inspiration from modern Italy, Head Chef Will Cowper’s menu is fresh, seasonal and produce-driven; sourcing the finest local ingredients and letting them speak for themselves. The wine list at OTTO is inspired by a love for Italian varietals, and will capture any wine lover’s attention, with a decisive line up of classic and esoteric Italian regions and varietals.","• Valid for Dine-In
• Excluding: All official Australian Public Holidays, Good Friday, Valentine’s Day, Mother’s Day, Father’s Day, Christmas Eve, and New Year’s Eve","River Quay, Shop 1 Sidon Street, South Bank QLD 4101, Australia",South Bank,QLD,+61738352888,-27.48107506776739,153.02601720122126,https://www.entertainment.com.au/offer-details/957f6862-5cbd-47a8-a623-46f78796d2be
07a71260-10f0-4005-b180-edbf80cd68c4,Fine Dining,Contemporary,Persone by Gambaro,Up to $50,Enjoy 25% off,25% off the TOTAL BILL,https://persone.com.au/,"In Italian Persone means 'people'. Persone is the embodiment of the sweet life. A place where people want to be and be seen. A place to indulge in 'the good life'. Offering spectacular panoramic views of the Brisbane river and city skyline, exquisite Italian cuisine, and excellent service, Persone is your ultimate destination for special events, corporate functions and social gatherings. Immerse yourself in a truly spectacular Italian bar and dining experience.","• Valid for Dine-In
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.","300 George Street, Brisbane QLD 4000, Australia",Brisbane,QLD,+61735051417,-27.47028,153.022034,https://www.entertainment.com.au/offer-details/07a71260-10f0-4005-b180-edbf80cd68c4
64a59027-44e7-45fd-a9a6-def1c7b7af81,Fine Dining,Japanese,Ippin Japanese Dining,Up to $50,Enjoy 25% off,25% off the TOTAL BILL,https://www.ippin-wv.com.au/home,"IPPIN Japanese Dining, opened in April 2023, offers a contemporary take on Japanese cuisine in West End's West Village precinct. The restaurant's stylish ambience caters to both casual and romantic dining experiences. Our menu features an exquisite selection of charcoal-grilled Wagyu, toothfish, and yakitori. The beverage menu, curated by Peter Scoterme Smith, a Master of Wine, showcases a premium selection of drinks that are rare finds in the market.","• Valid for Dine-In
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.","The Garden Pavillion, West Village, Level 2/97 Boundary Street, West End QLD 4101, Australia",West End,QLD,+611800794177,-27.478151811249475,153.01214774361085,https://www.entertainment.com.au/offer-details/64a59027-44e7-45fd-a9a6-def1c7b7af81
5369edc4-b819-44a1-af13-e595146130ac,Fine Dining,Contemporary,Chu The Phat,Up to $35,Enjoy 25% off,25% off the TOTAL BILL,https://chuthephat.com.au/,"Chu the Phat is the cool and contemporary little sister to Eagle St Pier's Madame Wu. Enjoy Modern Asian cuisine in a cool, urban setting. Complementing this mouth-watering selection of classic Asian dishes, is a great range of beer, wine and spirits. Come along and enjoy this relaxed dining experience with family and friends.","• Valid for Dine-In
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.","109 Melbourne Street, South Brisbane QLD 4101, Australia",South Brisbane,QLD,+61732552075,-27.475065,153.015841,https://www.entertainment.com.au/offer-details/5369edc4-b819-44a1-af13-e595146130ac
dd0cfffd-244b-4bf6-a5e6-c3264003cb31,Fine Dining,Contemporary,Chu The Phat eGift Card,14% off,Enjoy 14% off,14% off Entice Dining Redemption Code,https://entice.giftarestaurant.com/,"Chu the Phat is a vibrant and contemporary restaurant and bar set in South Brisbane’s up-and-coming Fish Lane dining precinct. With a focus on Asian street food set to engage diners citywide, Chu the Phat draws on flavours from the hawker stalls of Hong Kong, Korea and Taiwan. The younger sibling to Brisbane favourite Madame Wu is set to debut a diverse collection of a la carte dining options, lunch specials, and group banquets in a massive multi-level venue with two kitchens, two bars and a variety of unique spaces. Chu the Phat is located at 111 Melbourne street, South Brisbane.","• Gift card may take up to 24hrs to arrive
• The Entice Dining eGift Card may not be used directly at any restaurants.
• Entice Dining eGift Cards are valid for 6 months from date of purchase
• Gift A Restaurant Pty Ltd is a distributor of restaurant gift card products including the Entice Dining Gift Card products.
• Gift Cards distributed by Gift A Restaurant Pty Ltd are non-refundable, cannot be treated as cash and cannot be replaced if lost or stolen.
• Entice Dining Gift Cards distributed by Gift A Restaurant Pty Ltd expire after issue as stated in accordance with the Law. Entice Dining Gift Cards distributed by Gift A Restaurant Pty Ltd can only be redeemed on the Entice Dining website (http://entice.giftarestaurant.com/) as outlined within the customer redemption instructions.
• When an Entice Dining Gift Card distributed by Gift a Restaurant Pty Ltd is redeemed online for a restaurant Gift Card, Gift A Restaurant Pty Ltd issued restaurant Gift Cards may only be used for purchases at the specified venue and cannot be returned or exchanged for cash.
• Gift A Restaurant Pty Ltd issued restaurant Gift Cards may not be re-sold or bartered for cash.
• Gift A Restaurant Pty Ltd reserve the right to change any of the terms contained in these Terms and Conditions at any time where the change is required.
• By purchasing, redeeming or attempting to redeem a Gift A Restaurant Pty Ltd Gift Card, you: accept and agree to be bound by these Terms and Conditions; and acknowledge that you have read and understood our Privacy Policy (https://giftarestaurant.com/privacy-policy/).
• You may be required to produce proof of identification at the time of redeeming your Gift Card. If you are unable to provide identification the staff at the venue where you are attempting to redeem your gift card have the right to not accept the Gift Card as payment until you are able to do so.
• Further Terms and Conditions at https://giftarestaurant.com/terms-of-online-sale/
• Offer valid for repeat use
• Can purchase up to $2,500 in eGift Cards per transaction
• May purchase up to $10,000 per Entertainment Membership
• In the event that your nominated venue closes, Gift A Restaurant Pty Ltd can exchange the gift card for another venue. Please email them directly at contactus@giftarestaurant.com","111 Melbourne Street, South Brisbane QLD 4101, Australia",South Brisbane,QLD,,-27.475121135885374,153.0159111094151,https://www.entertainment.com.au/offer-details/dd0cfffd-244b-4bf6-a5e6-c3264003cb31
940cc72c-cc61-4366-a7de-9aec685c893e,Fine Dining,Contemporary,The French Table,Up to $35,Enjoy 25% off,25% off the TOTAL BILL,https://thefrenchtable.simplybook.me/v2/,"Welcome to The French Table. Offering simple, elegant, modern French inspired cuisine and focussing on elegant dining that will fill you to your core with an ecstatic sensation that is a unique culinary experience. The French Table establishment is the quintessential restaurant for the distinguished palate of fine diners. A heritage built on exquisite food, excellent service and that certain feeling of fulfilment.","• This offer may also be used when dining alone
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.","16  Doig Street, Cleveland QLD 4163, Australia",Cleveland,QLD,+61732869977,-27.5279087,153.2658617,https://www.entertainment.com.au/offer-details/940cc72c-cc61-4366-a7de-9aec685c893e
