uuid,category,sub_category,name,title,subtitle,summary,website,merchant_editorial,rules,address,city,state,phone,latitude,longitude,detail_url;;
"8ffa5d07-c93f-49bd-ae03-97da5a2cc4ab,Informal Dining and Takeaway,Takeaway,Donut King,One regular hot dog,""Buy one, get one free"",One complimentary REGULAR HOT DOG when another REGULAR HOT DOG of equal or greater value is purchased,https://www.donutking.com.au/,,• Valid at all participating Australian locations (excluding Express Stores where product may not be available),""Shop 12 Rose City Shopping Centre, Grafton Street, Warwick QLD 4370, Australia"",Warwick,QLD,,-28.212298,152.027349,https://www.entertainment.com.au/offer-details/8ffa5d07-c93f-49bd-ae03-97da5a2cc4ab";;
"0274ada2-074d-460d-8dba-887021fce17f,Informal Dining and Takeaway,Takeaway,Donut King,One regular hot beverage,""Buy one, get one free"",One complimentary REGULAR HOT BEVERAGE when another REGULAR HOT BEVERAGE of equal or greater value is purchased,https://www.donutking.com.au/,,• Valid at all participating Australian locations,""Shop 12 Rose City Shopping Centre, Grafton Street, Warwick QLD 4370, Australia"",Warwick,QLD,,-28.212298,152.027349,https://www.entertainment.com.au/offer-details/0274ada2-074d-460d-8dba-887021fce17f";;
"11e8d1f9-4bf6-48a1-b6c5-278727728b0c,Informal Dining and Takeaway,Takeaway,Donut King,One six pack of cinnamon donuts,""Buy one, get one free"",One complimentary SIX PACK OF CINNAMON DONUTS when another SIX PACK OF CINNAMON DONUTS of equal or greater value is purchased,https://www.donutking.com.au/,,• Valid at all participating Australian locations,""Shop 12 Rose City Shopping Centre, Grafton Street, Warwick QLD 4370, Australia"",Warwick,QLD,,-28.212298,152.027349,https://www.entertainment.com.au/offer-details/11e8d1f9-4bf6-48a1-b6c5-278727728b0c";;
"7007ae52-79b8-4ee7-93f3-ec6a900392a3,Informal Dining and Takeaway,Takeaway,Krispy Kreme,One bagel,""Buy one, get one free"",One complimentary BAGEL when another BAGEL of equal or greater value is purchased,www.krispykreme.com.au,""Krispy Kreme Australia is proud to be the first country outside of the USA to make the iconic Original Glazed® doughnut.  Krispy Kreme doughnuts are made fresh daily and are perfect for treating yourself or sharing  at celebrations like birthday’s, parties or sporting events."",""• Valid at all current and future locations";;
"• Available on App Only"",""Pacific Fair Shopping Centre, Tenancy 50, Hooker Boulevard, Broadbeach QLD 4218, Australia"",Broadbeach,QLD,,-28.034387,153.430614,https://www.entertainment.com.au/offer-details/7007ae52-79b8-4ee7-93f3-ec6a900392a3";;
"80d8ccaa-71a0-4c1d-b84b-c37c2c9d01de,Informal Dining and Takeaway,Takeaway,Krispy Kreme,One coffee,""Buy one, get one free"",One complimentary COFFEE when another COFFEE of equal or greater value is purchased,www.krispykreme.com.au,""Krispy Kreme Australia is proud to be the first country outside of the USA to make the iconic Original Glazed® doughnut.  Krispy Kreme doughnuts are made fresh daily and are perfect for treating yourself or sharing  at celebrations like birthday’s, parties or sporting events."",""• Valid at all current and future locations";;
"• Available on App Only"",""Pacific Fair Shopping Centre, Tenancy 50, Hooker Boulevard, Broadbeach QLD 4218, Australia"",Broadbeach,QLD,,-28.034387,153.430614,https://www.entertainment.com.au/offer-details/80d8ccaa-71a0-4c1d-b84b-c37c2c9d01de";;
"1c077d01-b234-4d6e-b9fa-129382002801,Informal Dining and Takeaway,Takeaway,Krispy Kreme,One dozen original glazed doughnuts,""Buy one, get one free"",One complimentary DOZEN ORIGINAL GLAZED DOUGHNUTS when another DOZEN ORIGINAL GLAZED DOUGHNUTS of equal or greater value is purchased,www.krispykreme.com.au,""Krispy Kreme Australia is proud to be the first country outside of the USA to make the iconic Original Glazed® doughnut.  Krispy Kreme doughnuts are made fresh daily and are perfect for treating yourself or sharing  at celebrations like birthday’s, parties or sporting events."",""• Valid at all current and future locations";;
"• Available on App Only"",""Pacific Fair Shopping Centre, Tenancy 50, Hooker Boulevard, Broadbeach QLD 4218, Australia"",Broadbeach,QLD,,-28.034387,153.430614,https://www.entertainment.com.au/offer-details/1c077d01-b234-4d6e-b9fa-129382002801";;
"235f1e60-a57c-4d73-bea4-edc1a041a13b,Informal Dining and Takeaway,Takeaway,Cold Rock Ice Creamery,One regular ice cream,""Buy one, get one free"",""Buy One Regular Size ice cream cup/cone, Get One Regular Size ice cream cup/cone Free (equal or lesser value)."",https://www.coldrock.com.au/,""Treat yourself to Australia’s coolest frozen treats! With over 30,000 combos to choose from, the options are endless. From ice cream cakes and shakes to cups, cones and take-home tubs, you can choose your favourite flavours and Mix-Ins to create your own personalised combo!"",""• Valid IN-STORE ONLY";;
• Mix Ins not included;;
• Valid at all current and future locations;;
• Excludes Mobile Van and Cold Rock Express locations;;
"• For store locations please visit www.coldrock.com.au"",""Corner Ruthven and Alderley Streets, Toowoomba QLD 4350, Australia"",Toowoomba,QLD,,-27.584799,151.949244,https://www.entertainment.com.au/offer-details/235f1e60-a57c-4d73-bea4-edc1a041a13b";;
"24628651-bee0-4e63-8bdf-92eb4a33197d,Informal Dining and Takeaway,Takeaway,Cold Rock Ice Creamery,Up to $10,Enjoy $10 off,$10 off the REGULAR PRICE OF ANY COLD ROCK CAKE PURCHASE OF $60 OR MORE,https://www.coldrock.com.au/,""Treat yourself to Australia’s coolest frozen treats! With over 30,000 combos to choose from, the options are endless. From ice cream cakes and shakes to cups, cones and take-home tubs, you can choose your favourite flavours and Mix-Ins to create your own personalised combo!"",""• Valid IN-STORE ONLY";;
• Valid at all current and future locations;;
• For store locations please visit www.coldrock.com.au;;
"• Excludes Mobile Van and Cold Rock Express locations"",""Corner Ruthven and Alderley Streets, Toowoomba QLD 4350, Australia"",Toowoomba,QLD,,-27.584799,151.949244,https://www.entertainment.com.au/offer-details/24628651-bee0-4e63-8bdf-92eb4a33197d";;
