uuid,category,sub_category,name,title,subtitle,summary,website,merchant_editorial,rules,address,city,state,phone,latitude,longitude,detail_url
b9775727-5235-4de6-9e38-8fb1c3b83e2c,Attraction and Activities,Theme Park and attractions,V8 Race Experience,25% off,Enjoy 25% off,25% off 6 LAP DRIVE,https://www.fastrackv8race.com.au/,"Would you or a friend get fired up by the opportunity to actually drive a V8 Race car on a championship race track? Well here's your chance! With performance driving and hot laps on all the best championship circuits around Australia, a V8 Race experience is an awesome gift.","• or for those who prefer, 25% off 6 LAP DRIVE + 3 HOT LAP FRONT SEAT RIDE
• To redeem please call 1800 887 223","Hidden Valley Raceway, Tiger Brennan Drive, Hidden Valley NT 0822, Australia",Hidden Valley,NT,1800887223,-12.444743,130.911699,https://www.entertainment.com.au/offer-details/b9775727-5235-4de6-9e38-8fb1c3b83e2c
9ee68834-e421-4dd1-b438-a54794db8361,Attraction and Activities,Sports and Fitness,Flight Path Golf and Outdoor Recreation,30% off,Enjoy 30% off,30% off the 30 arrow ARCHERY package,https://www.fpgolfnarchery.com.au/,,,"Lot 2237 Vanderlin Drive, Berrimah NT 0828, Australia",Berrimah,NT,+61889471257,-12.425606,130.921722,https://www.entertainment.com.au/offer-details/9ee68834-e421-4dd1-b438-a54794db8361
f51122bb-0bde-4c78-ba55-a65781f14534,Attraction and Activities,Golf,Flight Path Golf and Outdoor Recreation,One tray (40 balls),"Buy one, get one free",One complimentary tray (40 BALLS) when another tray (40 BALLS) of equal or greater value is purchased,,,,"Lot 2237 Vanderlin Drive, Berrimah NT 0828, Australia",Berrimah,NT,+61889471257,-12.425606,130.921722,https://www.entertainment.com.au/offer-details/f51122bb-0bde-4c78-ba55-a65781f14534
099a1162-6d3a-4041-b4f6-2f67d40948bf,Attraction and Activities,Family Activities,Flight Path Golf and Outdoor Recreation,One round of mini golf,"Buy one, get one free",One complimentary ROUND OF MINI GOLF when another ROUND OF MINI GOLF of equal or greater value is purchased,https://www.fpgolfnarchery.com.au/,,,"Lot 2237 Vanderlin Drive, Berrimah NT 0828, Australia",Berrimah,NT,+61889471257,-12.425606,130.921722,https://www.entertainment.com.au/offer-details/099a1162-6d3a-4041-b4f6-2f67d40948bf
86fb8b6d-82a8-457d-9ed0-e38535c39610,Attraction and Activities,Family Activities,Flight Path Golf and Outdoor Recreation,One round of baseball pitches,"Buy one, get one free",One complimentary round of BASEBALL PITCHES when another round of BASEBALL PITCHES of equal or greater value is purchased,https://www.fpgolfnarchery.com.au/,,,"Lot 2237 Vanderlin Drive, Berrimah NT 0828, Australia",Berrimah,NT,+61889471257,-12.425606,130.921722,https://www.entertainment.com.au/offer-details/86fb8b6d-82a8-457d-9ed0-e38535c39610
46286de1-8fa1-484d-9579-99c5db1d2150,Attraction and Activities,Golf,Gardens Park Golf Links,One nine hole round of golf,"Buy one, get one free",One complimentary NINE HOLE ROUND of golf when another NINE HOLE ROUND of golf of equal or greater value is purchased,https://www.gardensparkgolflinks.com.au/,,,"1 Chin Quan Road, The Gardens Manukau 2105, New Zealand",The Gardens,Manukau,+61889816365,-12.448604,130.834894,https://www.entertainment.com.au/offer-details/46286de1-8fa1-484d-9579-99c5db1d2150
a2824d0b-28fe-468b-bb0c-0ff8048bb7ab,Attraction and Activities,Family Activities,Gardens Park Golf Links,One full price round of mini golf,"Buy one, get one free",One complimentary FULL PRICED ROUND OF MINI GOLF when another FULL PRICED ROUND OF MINI GOLF of equal or greater value is purchased,https://www.gardensparkgolflinks.com.au/,"Enjoy the 9 hole, Par 34 course, set amid lush tropical palm gardens and rainforest, for a cool, relaxing game of golf. They provide a practice green adjacent to the first tee to hone your skills prior to your game, a driving range to master your swing, as well as a challenging 18 hole mini golf course. Golf clubs are available for hire, and there is also a fleet of motorised golf carts for hire for those who would rather not walk the course.",• Not available in conjunction with any other offers,"1 Chin Quan Road, The Gardens Manukau 2105, New Zealand",The Gardens,Manukau,+61889816365,-12.448604,130.834894,https://www.entertainment.com.au/offer-details/a2824d0b-28fe-468b-bb0c-0ff8048bb7ab
7698bcd7-a77d-4af2-9c9d-a99056078587,Attraction and Activities,Sports and Fitness,Mason Adventures - White Water Rafting,"Up to Rp200,000","Enjoy Rp199,000 off","199,000Rp off any FULL PRICED WHITE WATER RAFTING ADULT TICKET or 139,000Rp off any FULL PRICED WHITE WATER RAFTING CHILD TICKET for up to FOUR PEOPLE",https://www.masonadventures.com,"Grab your oars and get ready to rage with this exhilarating rafting adventure on the spectacular Ayung River. Whether you are 5 or 65, a natural or a novice, white water rafting in Bali is safe, fun and a breathtaking experience to be enjoyed by the whole family! Tour includes transfer to and from hotel, buffet lunch and plenty of fun!","• Advanced bookings required by phone or email
• Valid for direct phone and email bookings only
• Does not apply to other promotional rates or travel agent bookings","Jl. Raya Kedewatan, Ubud Bali 80571, Indonesia",Ubud,Bali,+62361721480,-8.480008983855127,115.2471279681515,https://www.entertainment.com.au/offer-details/7698bcd7-a77d-4af2-9c9d-a99056078587
fd5b9c8c-d9b3-4d82-bdb5-0b1530123878,Attraction and Activities,Sports and Fitness,Mason Adventures - Mountain Cycling Tour,"Up to Rp170,000","Enjoy Rp170,000 off","170,000Rp off any full price MOUNTAIN CYCLING adult ticket or 119,000Rp off any full price child ticket for up to four people",www.masonadventures.com,"Starting in view of Mount Batur volcano at Kintamani, this breathtaking bicycle tour winds down through 26km of lush valleys, through Balinese villages, past century-old temples and rich green rice fi elds! Tour includes return transfers from hotel and buffet lunch.","• Advanced booking required by phone or email
• Valid for direct phone and email bookings only
• Does not apply to other promotional rates or travel agent bookings","Jl. Raya Kedewatan, Ubud Bali 80571, Indonesia",Ubud,Bali,+62361721480,-8.470262,115.249611,https://www.entertainment.com.au/offer-details/fd5b9c8c-d9b3-4d82-bdb5-0b1530123878
9248ba66-1363-4261-a9eb-7d6fd21f4a59,Attraction and Activities,Sports and Fitness,Ripcurl School of Surf,"Up to Rp214,000",Enjoy 25% off,25% off any COURSE for up to FOUR PEOPLE,https://www.ripcurlschoolofsurf.com/,,,"Prama Sanur Beach Hotel, Jalan Cemara, Sanur Bali 80228, Indonesia",Sanur,Bali,+62361287749,-8.710589236831881,115.25598461611806,https://www.entertainment.com.au/offer-details/9248ba66-1363-4261-a9eb-7d6fd21f4a59
