uuid,category,sub_category,name,title,subtitle,summary,website,merchant_editorial,rules,address,city,state,phone,latitude,longitude,detail_url
52f705a4-f919-4d87-988d-e4bf81d64dcb,Cafe and Family Dining,Japanese,Sushi Hub,One sushi roll,"Buy one, get one free",One complimentary SUSHI ROLL when another SUSHI ROLL of equal or greater value is purchased (Single Use Offer ONLY),https://sushihub.com.au/,"Over 70 varieties to choose from, including the popular soft shell crab roll. They use free-range chicken, Tasmanian salmon and healthy brown rice in their sushi. Sushi Hub aims to deliver a perfect sushi experience to all customers, committed to providing the freshest, healthiest and most delicious sushi. Perfect food on the run, fresh sushi every day. Open 7 days.","• Single Use Only
• Valid at all current and future locations
• Valid for Dine-In
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.","Shop GA48, Toowong Village Shopping Centre, 9 Sherwood Road, Toowong QLD 4066, Australia",Toowong,QLD,,-27.4855958,152.9921913,https://www.entertainment.com.au/offer-details/52f705a4-f919-4d87-988d-e4bf81d64dcb
a6f5f4cc-c9e8-48bc-9f8b-12fb339883bb,Cafe and Family Dining,Casual,Cheeky Monkey Cafe,"Up to Rp150,000",Enjoy 25% off,25% off the TOTAL BILL,https://cheekymonkeycafebali.com,"Indulge in a delightful culinary experience for the entire family at Cheeky Monkey. Our menu is thoughtfully designed to satisfy even the pickiest eaters with a range of kid-friendly and healthy choices that parents will love too. From tasty bites to mouthwatering meals, there’s something for everyone.","• Valid for Dine-In
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.","Jl. Katik Lantang, Singakerta, Ubud Bali 80571, Indonesia",Ubud,Bali,+6282340952112,-8.517629189097276,115.25003206416999,https://www.entertainment.com.au/offer-details/a6f5f4cc-c9e8-48bc-9f8b-12fb339883bb
5553cba3-9bf6-4b5a-933c-ef17bedd0725,Cafe and Family Dining,Indian,Aunty Ji's Canggu,"Up to Rp200,000",Enjoy 25% off,25% off the TOTAL BILL,,"HOME IS WHERE THE CURRY IS ! It's the warm embrace of your Aunties, homecooked meals shared amongst family and friends and a cup of piping hot chai. Inspired by these beloved figures, Aunty Ji's brings that same sense of love, care and home-made comfort to Bali inviting you to experience the joy of Indian hospitality and flavour, serving the best homemade Indian meals in Canggu. Open daily 10 AM - 12 AM","• Valid for Dine-In
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.","JI. Pantai Batu Bolong, No.83 Kec. Kuta Utara, Kabupaten Badung, Canggu Bali 80351, Indonesia",Canggu,Bali,,-8.653764757950066,115.13192146433761,https://www.entertainment.com.au/offer-details/5553cba3-9bf6-4b5a-933c-ef17bedd0725
9398689a-d6b7-47e3-8db1-841229e7cfe5,Cafe and Family Dining,International,Groove Cafe Restaurant & Bar,"Up to Rp200,000",Enjoy 25% off,25% off the TOTAL BILL,https://www.avanihotels.com/en/seminyak-bali/restaurants/groove,"Nestled in the heart of Bali’s vibrant Seminyak, Groove Café is your go-to spot for everything from light bites to indulgent gourmet fare. Whether you're craving a quick snack, a satisfying meal, or just looking to unwind with a refreshing cocktail in hand, we've got you covered.

At Groove, it’s more than just food—it’s an experience. Feel the island vibes, savor delicious flavors, and make yourself at home in our relaxed yet stylish setting. Whether you're catching up with friends, taking a solo coffee break, or diving into our signature cocktails, Groove Café is the perfect place to kick back and enjoy the good times.

Stop by, stay a while, and let the good vibes roll!","• Valid for Dine-In
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.","Jl. Drupadi No.28, Seminyak, Kec. Kuta, Kabupaten Badung, Kuta Bali 80361, Indonesia",Kuta,Bali,+6281929245357,-8.687970682609713,115.16421677214475,https://www.entertainment.com.au/offer-details/9398689a-d6b7-47e3-8db1-841229e7cfe5
30cf8925-bfcd-4ab3-97a6-779f69fa0e9f,Cafe and Family Dining,Mexican,La Casa Mexican & Sunset Bar,"Up to Rp200,000",Enjoy 25% off,25% off the TOTAL BILL,https://www.instagram.com/lacasamexican.bali/,"Authentic Mexican flavours at La Casa, with such comfort-food favourites as burritos and tacos, as well as delicious twists on burgers and pizzas and plenty of tasty gluten-free, vegetarian, and vegan options to please all palates.","• Valid for Dine-In
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.","Jl. Pantai Arjuna, Legian Bali 80361, Indonesia",Legian,Bali,+62811-3703-803,-8.699500510288106,115.16307325008502,https://www.entertainment.com.au/offer-details/30cf8925-bfcd-4ab3-97a6-779f69fa0e9f
c7bac841-b52a-42b3-818f-ba07934bf80b,Cafe and Family Dining,Casual,Maimain Playground and Mai Main restaurant,"Up to Rp200,000",Enjoy 25% off,25% off the TOTAL BILL,https://maimain.com/,"Mai Main is a kid's playground located in Canggu. More than just a playground, Mai Main is a place for kids to express themselves and stay active. It offers a variety of activities, including Indoor and Outdoor Playground, Pool and Swimming Class, Ballet Class, Baby Spa, Pet Feeding, and many more. It's the perfect one-stop destination for families, complete with Restaurant and even Barbershop, ensuring that your time with your little ones is enjoyable and convenient.","• For Indoor area we require you to wear socks
• We only take card/QRIS for the payment
• Valid for Dine-In
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.","No.8 Jl. Padang Linjong, Canggu Bali 80361, Indonesia",Canggu,Bali,+6281237339353,-8.637240146560671,115.14193843257117,https://www.entertainment.com.au/offer-details/c7bac841-b52a-42b3-818f-ba07934bf80b
c9846ece-9323-4d29-aac3-fc5860532c7b,Cafe and Family Dining,Thai,Paed Thai Canggu,"Up to Rp200,000",Enjoy 25% off,25% off the TOTAL BILL,https://paedthai.com/canggu,"Paed Thai Canggu serves authentic Thai cuisine with the perfect delicate balance of sweet, salty, spicy, and sour creating an immersive succulent taste of Thai food. Located in Canggu with an urban style design where the breeze of the tropical season and island lifestyle become perfect while savoring delectable Thai food.","• Valid for Dine-In
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.","No.8A Jl. Canggu Padang Linjong, Canggu Bali 80361, Indonesia",Canggu,Bali,+6281237339353,-8.639914481866464,115.14039545036219,https://www.entertainment.com.au/offer-details/c9846ece-9323-4d29-aac3-fc5860532c7b
cbdc6e5e-1843-4400-8b5e-132e82a1ea19,Cafe and Family Dining,Thai,Paed Thai Sanur,"Up to Rp200,000",Enjoy 25% off,25% off the TOTAL BILL,https://paedthai.com/#,"Paed Thai Sanur served authentic Thai cuisine with the perfect delicate balance of sweet, salty, spicy, and sour that creates an immersive feeling of tasteful food. Located in Sanur, a seaside town in the southeast of the island of Bali, savoring Thai food at Paed Thai means you will be pampered with the harmonious delicacy.","• Valid for dine in
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.","No.888a Jl. Bypass Ngurah Rai, Sanur Bali 80228, Indonesia",Sanur,Bali,+6281237339353,-8.69688578691212,115.25884904176937,https://www.entertainment.com.au/offer-details/cbdc6e5e-1843-4400-8b5e-132e82a1ea19
2817e750-34e3-483b-8d8a-6d13d8c88d2b,Cafe and Family Dining,International,Sanctuary Umalas,"Up to Rp200,000",Enjoy 25% off,25% off the TOTAL BILL,https://inivie.com/monolocaleresort/sanctuary,"Located in one of the tropical areas of Umalas, Bali, which is in the border of the hypes area in Bali, which is Seminyak and Canggu, Sanctuary has a lush tropical concept. This restaurant with swimming pool has so many instagramable spot that fit to your feed.

The tropical wind will accompany you while you're having a good vibe on the sunbed. Or simply spend time with friends and family in a long table. Sanctuary is open daily from Monday to Sunday starting at 07.30 to 22.00. Don't forget to bring your Tropical suit and see you at the Sanctuary!","• Valid for Dine-In
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.
• Up to value of 200,000 IDR","No.88A JI. Umalas 1, Kerobokan Kelod, Kuta Utara Bali 80361, Indonesia",Kuta Utara,Bali,+6281238659191,-8.66901906500991,115.16126391754493,https://www.entertainment.com.au/offer-details/2817e750-34e3-483b-8d8a-6d13d8c88d2b
1ee7c9eb-263f-421a-85da-ae6ffbf5a8d3,Cafe and Family Dining,International,Seabird,"Up to Rp200,000",Enjoy 25% off,25% off the TOTAL BILL,https://seabirdcanggu.com/,"Discover the culinary gem of Canggu at Seabird, where the wonders of Asian and Western cuisine come together to create an unforgettable experience. Nestled in the heart of Canggu, our restaurant is not just a dining destination; it's a journey that will illuminate your taste buds with scrumptious delights and introduce you to a whole new world of culinary delights. Seabird is the perfect place to bask in the love light, making your holiday in Canggu even more memorable.","• Valid for Dine-In
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.","No.888B Jl. Nelayan, Canggu Bali 80363, Indonesia",Canggu,Bali,+6181237339353,-8.659184433138561,115.13331722060711,https://www.entertainment.com.au/offer-details/1ee7c9eb-263f-421a-85da-ae6ffbf5a8d3
