uuid,category,sub_category,name,title,subtitle,summary,website,merchant_editorial,rules,address,city,state,phone,latitude,longitude,detail_url
11e8d1f9-4bf6-48a1-b6c5-278727728b0c,Informal Dining and Takeaway,Takeaway,Donut King,One six pack of cinnamon donuts,"Buy one, get one free",One complimentary SIX PACK OF CINNAMON DONUTS when another SIX PACK OF CINNAMON DONUTS of equal or greater value is purchased,https://www.donutking.com.au/,,• Valid at all participating Australian locations,"Kiosk 17 Casuarina Square Shopping Centre, Trower Road, Casuarina NT 0810, Australia",Casuarina,NT,,-12.374733,130.88111,https://www.entertainment.com.au/offer-details/11e8d1f9-4bf6-48a1-b6c5-278727728b0c
0274ada2-074d-460d-8dba-887021fce17f,Informal Dining and Takeaway,Takeaway,Donut King,One regular hot beverage,"Buy one, get one free",One complimentary REGULAR HOT BEVERAGE when another REGULAR HOT BEVERAGE of equal or greater value is purchased,https://www.donutking.com.au/,,• Valid at all participating Australian locations,"Kiosk 17 Casuarina Square Shopping Centre, Trower Road, Casuarina NT 0810, Australia",Casuarina,NT,,-12.374733,130.88111,https://www.entertainment.com.au/offer-details/0274ada2-074d-460d-8dba-887021fce17f
8ffa5d07-c93f-49bd-ae03-97da5a2cc4ab,Informal Dining and Takeaway,Takeaway,Donut King,One regular hot dog,"Buy one, get one free",One complimentary REGULAR HOT DOG when another REGULAR HOT DOG of equal or greater value is purchased,https://www.donutking.com.au/,,• Valid at all participating Australian locations (excluding Express Stores where product may not be available),"Kiosk 17 Casuarina Square Shopping Centre, Trower Road, Casuarina NT 0810, Australia",Casuarina,NT,,-12.374733,130.88111,https://www.entertainment.com.au/offer-details/8ffa5d07-c93f-49bd-ae03-97da5a2cc4ab
235f1e60-a57c-4d73-bea4-edc1a041a13b,Informal Dining and Takeaway,Takeaway,Cold Rock Ice Creamery,One regular ice cream,"Buy one, get one free","Buy One Regular Size ice cream cup/cone, Get One Regular Size ice cream cup/cone Free (equal or lesser value).",https://www.coldrock.com.au/,"Treat yourself to Australia’s coolest frozen treats! With over 30,000 combos to choose from, the options are endless. From ice cream cakes and shakes to cups, cones and take-home tubs, you can choose your favourite flavours and Mix-Ins to create your own personalised combo!","• Valid IN-STORE ONLY
• Mix Ins not included
• Valid at all current and future locations
• Excludes Mobile Van and Cold Rock Express locations
• For store locations please visit www.coldrock.com.au","Shop 33, Mitchell Centre, 55-59 Mitchell Street, Darwin NT 0800, Australia",Darwin,NT,,-12.463334,130.839915,https://www.entertainment.com.au/offer-details/235f1e60-a57c-4d73-bea4-edc1a041a13b
24628651-bee0-4e63-8bdf-92eb4a33197d,Informal Dining and Takeaway,Takeaway,Cold Rock Ice Creamery,Up to $10,Enjoy $10 off,$10 off the REGULAR PRICE OF ANY COLD ROCK CAKE PURCHASE OF $60 OR MORE,https://www.coldrock.com.au/,"Treat yourself to Australia’s coolest frozen treats! With over 30,000 combos to choose from, the options are endless. From ice cream cakes and shakes to cups, cones and take-home tubs, you can choose your favourite flavours and Mix-Ins to create your own personalised combo!","• Valid IN-STORE ONLY
• Valid at all current and future locations
• For store locations please visit www.coldrock.com.au
• Excludes Mobile Van and Cold Rock Express locations","Shop 33, Mitchell Centre, 55-59 Mitchell Street, Darwin NT 0800, Australia",Darwin,NT,,-12.463334,130.839915,https://www.entertainment.com.au/offer-details/24628651-bee0-4e63-8bdf-92eb4a33197d
eba4e9cc-ab6d-4c7f-b022-58ea15ebf607,Informal Dining and Takeaway,Takeaway,The Cheesecake Shop AU,Up to $10,Enjoy 25% off,25% off the TOTAL BILL,https://www.cheesecake.com.au/,"Famous for their delicious range of cheesecakes, mudcakes, tortes and desserts, that are perfect for any occasion. Whether it is a quarter for a daily treat, dessert for the family or a special celebration cake for that important milestone, The Cheesecake Shop can help. Baked in-store, made with love, open 7 days. Visit www.cheesecake.com.au/find-bakery for your nearest bakery.","• Offer is not available for vegan cakes, gluten free cakes and pre-order cakes
• Offer is redeemable in-store only and is not redeemable on The Cheesecake Shop website
• Not to be used with any other offer
• Offer not available for use on public holidays/optional days as per Entertainment Rules of Use","Shops 12 and 13, 34-36 Parap Road, Parap NT 0820, Australia",Parap,NT,,-12.431779,130.843766,https://www.entertainment.com.au/offer-details/eba4e9cc-ab6d-4c7f-b022-58ea15ebf607
7a6123b4-7f19-4111-94f7-fbc14773bc28,Informal Dining and Takeaway,Takeaway,Baskin-Robbins,One 1 scoop waffle cone,"Buy one, get one free",One 1 SCOOP WAFFLE CONE when another 1 SCOOP WAFFLE CONE of equal or greater value is purchased,https://www.baskinrobbins.com.au/,,,"Shop GD 367, Casuarina Square, 247 Trower Road, Casuarina NT 0810, Australia",Casuarina,NT,,-12.375554,130.881226,https://www.entertainment.com.au/offer-details/7a6123b4-7f19-4111-94f7-fbc14773bc28
a5dd58e2-216c-4c67-aa01-d680f69780cb,Informal Dining and Takeaway,Takeaway,Trampoline,One three flavour midi cup,"Buy one, get one free",One complimentary THREE FLAVOUR MIDI CUP when another THREE FLAVOUR MIDI CUP of equal or greater value is purchased,https://trampolinegelato.com.au/,"Trampoline gelato is made fresh on-site. The Trampoline team are passionate about gelato and want to share that passion with you. Summer and winter – you can enjoy everything from Cups, Cones and Shakes, to Sundaes and Take Home. Try the delicious Trampoline Cakes – perfect for any occasion!","• For store locations please visit www.trampolinegelato.com.au
• Valid at all current and future locations","D7, 19 Kitchener Drive, Darwin NT 0801, Australia",Darwin,NT,+61889420711,-12.468006,130.846374,https://www.entertainment.com.au/offer-details/a5dd58e2-216c-4c67-aa01-d680f69780cb
d7df71af-a200-443e-a159-06ecb00dd88c,Informal Dining and Takeaway,Italian,Cibo! Cucina - Deli - Gelateria,"Up to Rp200,000",Enjoy 25% off,25% off the TOTAL BILL,https://cibobali.com/,,,"Jl. Subak Sari No.8, Badung Bali 80361, Indonesia",Badung,Bali,+6281236715490,-8.66379776960487,115.14655449698881,https://www.entertainment.com.au/offer-details/d7df71af-a200-443e-a159-06ecb00dd88c
7d8e89f6-6d46-421e-bafa-504f24a56e18,Informal Dining and Takeaway,Cafe,Mad about Coffee & Tea,One drink,"Buy one, get one free",One complimentary DRINK when another DRINK of equal or greater value is purchased,https://madaboutcoffeeandtea.com.au/,,,"Shop 2, 3 Parap Place, Parap NT 0820, Australia",Parap,NT,+61455020014,-12.430987,130.844127,https://www.entertainment.com.au/offer-details/7d8e89f6-6d46-421e-bafa-504f24a56e18
