uuid,category,sub_category,name,title,subtitle,summary,website,merchant_editorial,rules,address,city,state,phone,latitude,longitude,detail_url
71222a66-aaa8-49a7-8328-8e0aa2790aa4,Retail and Local Services,Homewares and Fashion,Global Culture Australia,20% off,Enjoy 20% off,20% off the regular price of any PURCHASE.Please see below and click View Rules & Restrictions to reveal the Promo code for this offer. Visit the businesses website and enter the Promo code when purchasing. This promo code will activate the special price for your online purchase.,www.globalculture.com.au,,,"www.globalculture.com.au, Sydenham Christchurch 8024, New Zealand",Sydenham,Christchurch,1800491546,-43.54747,172.6366867,https://www.entertainment.com.au/offer-details/71222a66-aaa8-49a7-8328-8e0aa2790aa4
fe6c7d1e-f29f-4ed3-9f80-ac71405995de,Retail and Local Services,wineries and wine,Big Bedding Australia,15% off,Enjoy 15% off,15% off the REGULAR PRICE of store wide,https://www.bigbedding.com.au/,"Big Bedding Australia have sourced Australian bedding, mattresses and bedroom furniture from across the country. Offering a wide range of bedding, mattresses and bedroom furniture, the hand-picked products are luxurious and affordable. The knowledgeable team are there to offer their expertise to ensure you enjoy restful sleep and wake up refreshed every day. With the biggest and best bedding range in Australia, Big Bedding offer free delivery and expert service every time.",• Please see digital membership for promo code,,,,,,,https://www.entertainment.com.au/offer-details/fe6c7d1e-f29f-4ed3-9f80-ac71405995de
6ca30a22-b2ed-49fe-a48b-ccc525def03d,Retail and Local Services,Food and Drink,Purely Gourmet,15% off,Enjoy 15% off,15% off the REGULAR PRICE of any order. Please see below and click View Rules & Restrictions to reveal the Promo code for this offer. Visit the businesses website and enter the Promo code when purchasing. This promo code will activate the special price for your online purchase.,https://purelygourmet.com.au/,Hampers and gift boxes that are filled with Australian gourmet products! An emphasis is put on supporting local businesses.,"• By clicking the link, 15% discount will be automatically added at the checkout
• Valid for delivery within Australia only
• Not to be used in conjunction with any other offer",,,,+611300618530,,,https://www.entertainment.com.au/offer-details/6ca30a22-b2ed-49fe-a48b-ccc525def03d
b280e987-09d8-42e7-9662-cf9d643c090f,Retail and Local Services,Pet Services,PetsOnMe,Up to $50,Enjoy 25% off,25% off any SERVICES,https://www.petsonme.com.au/,,,,,,1300489873,,,https://www.entertainment.com.au/offer-details/b280e987-09d8-42e7-9662-cf9d643c090f
db85818f-949d-4e27-a8e9-f4bd54573c38,Retail and Local Services,Health and Beauty,Svaha Spa Batu Bolong,"Up to Rp200,000",Enjoy 25% off,25% off the TOTAL BILL,https://svahaspa.com/batu-bolong,,,"No.8x Gg. Bonton, Canggu Bali 80363, Indonesia",Canggu,Bali,+628123733-9353,-8.654718783884048,115.13297705036233,https://www.entertainment.com.au/offer-details/db85818f-949d-4e27-a8e9-f4bd54573c38
fdc87111-b487-44fd-acb9-1eff4b079a34,Retail and Local Services,Health and Beauty,Svaha Spa Bisma,"Up to Rp200,000",Enjoy 25% off,25% off the TOTAL BILL,https://svahaspa.com/bisma,,,"No.888A Jl. Bisma, Ubud Bali 80571, Indonesia",Ubud,Bali,+628123733-9353,-8.516216707164213,115.25783382582233,https://www.entertainment.com.au/offer-details/fdc87111-b487-44fd-acb9-1eff4b079a34
c0225725-0ae8-41cd-84f1-5748525c2746,Retail and Local Services,Health and Beauty,Svaha Spa Dedary,"Up to Rp200,000",Enjoy 25% off,25% off the TOTAL BILL,https://svahaspa.com/dedary,,,"Banjar Pinjul, Kenderan, Tegallalang, Ubud Bali 80571, Indonesia",Ubud,Bali,+628123733-9353,-8.45773722422159,115.28531552582174,https://www.entertainment.com.au/offer-details/c0225725-0ae8-41cd-84f1-5748525c2746
9960bc3e-d5d8-4978-bf7c-ab2d567ba87c,Retail and Local Services,Health and Beauty,Svaha Spa Kenderan,"Up to Rp200,000",Enjoy 25% off,25% off the TOTAL BILL,https://svahaspa.com/kenderan,,,"No.88 D Jalan Raya Kenderan, Tegallalang, Ubud Bali 80571, Indonesia",Ubud,Bali,+628123733-9353,-8.4285487806913,115.2977566546564,https://www.entertainment.com.au/offer-details/9960bc3e-d5d8-4978-bf7c-ab2d567ba87c
a5b45c22-bbf2-47bb-b1b8-789e4f9a7832,Retail and Local Services,Health and Beauty,Svaha Spa Nelayan,"Up to Rp200,000",Enjoy 25% off,25% off the TOTAL BILL,https://svahaspa.com/nelayan,,,"No.888A Jl. Nelayan, Canggu Bali 80361, Indonesia",Canggu,Bali,+628123733-9353,-8.659266777966481,115.13329422152708,https://www.entertainment.com.au/offer-details/a5b45c22-bbf2-47bb-b1b8-789e4f9a7832
22797f0a-6d93-4606-b471-5b1073bb60df,Retail and Local Services,Health and Beauty,Svaha Spa Padang Linjong,"Up to Rp200,000",Enjoy 25% off,25% off the TOTAL BILL,https://svahaspa.com/padang-linjong,,,"No.8x Jl. Canggu Padang Linjong, Canggu Bali 80361, Indonesia",Canggu,Bali,+628123733-9353,-8.639943278329106,115.14036601477976,https://www.entertainment.com.au/offer-details/22797f0a-6d93-4606-b471-5b1073bb60df
