uuid,category,sub_category,name,title,subtitle,summary,website,merchant_editorial,rules,address,city,state,phone,latitude,longitude,detail_url
ef8f7630-5e29-4404-9c3f-953d44c302fa,Cafe and Family Dining,Pubdining,Varsity,Up to $25,Enjoy 25% off,25% off the TOTAL BILL,https://www.varsity.com.au/,"Varsity is an American themed sports bar based in Perth. All about good beer, good burgers and good times, Varsity offers student friendly prices, all your favourites on the menu, and some you've never tried before. With sport playing on TV, fraternity and sorority games like ping pong, pool and pinball, Varsity is an exciting venue offering great service, American style food and plenty of fun.","• This offer may also be used when dining alone
• Valid for Dine-In
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.","230 Manning Road, Waterford WA 6152, Australia",Waterford,WA,+61861496633,-32.0132814,115.8960241,https://www.entertainment.com.au/offer-details/ef8f7630-5e29-4404-9c3f-953d44c302fa
0c0b5075-da86-4e00-860d-ecab86a75b43,Cafe and Family Dining,Cafe,Frankie's on Rotto,Up to $25,Enjoy 25% off,25% off the TOTAL BILL,https://www.frankiesonrotto.com.au/,"Located within the settlement, Frankie's on Rotto is the newest restaurant to come to Rottnest, and they are proud to offer the fi rst island delivery service! Serving tasty coffee, a delicious breakfast menu, and an array of pizza, pasta and salad dishes for lunch and dinner, Frankie's on Rotto is sure to keep the family fed. Don't feel like venturing out? Simply place your order over the phone and their fl eet of electric bicycles will ensure you don't go hungry, whether it be Geordie Bay or at the end of the fuel jetty at Thomson's Bay","• Valid for dine in and takeaway
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.","342 Somerville Drive, Rottnest Island WA 6161, Australia",Rottnest Island,WA,+61431735090,-31.9954024,115.5405642,https://www.entertainment.com.au/offer-details/0c0b5075-da86-4e00-860d-ecab86a75b43
76b58cab-8a9d-41da-b0d0-ca16b42e1239,Cafe and Family Dining,Pubdining,Kingsway Bar & Bistro,Up to $45,Enjoy 25% off,25% off the TOTAL BILL,https://www.kingswaybistro.com.au/,"Family-owned and operated, with outstanding excellence in great food and service. Offering an extensive and affordable wine list, and an invitingly lush outdoor area for meals, entertaining and private functions. Open 7 days for lunch and dinner.","• Valid for Dine-In
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.","211 Kingsway, Darch WA 6065, Australia",Darch,WA,+61893039144,-31.812364,115.843472,https://www.entertainment.com.au/offer-details/76b58cab-8a9d-41da-b0d0-ca16b42e1239
47ccb254-e737-4994-880f-71d10a74998e,Cafe and Family Dining,Cafe,SoHo Lane,Up to $30,Enjoy 25% off,25% off the TOTAL BILL,https://www.soholane.com.au/,"SoHo Lane is an upbeat cafe in Mount Lawley. We bring good vibes to the hood with all-day brunch, coffee and genuine service.  

We’re a neighbourhood meeting place, remote office and daily refuge for restless souls.","• Dine in Only
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.","649 Beaufort Street, Mount Lawley WA 6050, Australia",Mount Lawley,WA,+61431637604,-31.934078977212366,115.87154792492824,https://www.entertainment.com.au/offer-details/47ccb254-e737-4994-880f-71d10a74998e
f0e8b36c-686e-41a1-a8b3-a6facf4baaa5,Cafe and Family Dining,Cafe,Gesha Coffee Co,Up to $30,Enjoy 25% off,25% off the TOTAL BILL,https://www.geshacoffeeco.com/,"GESHA Coffee Co. is a café and coffee roastery, located on Queen Victoria Street in Fremantle. The open plan warehouse setting creates a relaxed vibe, and has both indoor and alfresco seating. The food at GESHA is prepared and cooked daily by the talented team using seasonal ingredients to create dishes that draw infl uence and fl avours from around the world. Drop in for a meal or a coffee, and take in the ambience and aroma as beans from around the globe are roasted to perfection in Gesha's vintage Vittoria coffee roaster. Open 7 days. See website for opening hours. Fully licensed.","• Valid for Dine-In
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.","59A Queen Victoria Street, Fremantle WA 6160, Australia",Fremantle,WA,+61893356059,-32.047009,115.75203,https://www.entertainment.com.au/offer-details/f0e8b36c-686e-41a1-a8b3-a6facf4baaa5
ac9f132a-1599-45cc-aa03-d950c81db956,Cafe and Family Dining,Casual,Grilled & Co - Northbridge,Up to $35,Enjoy 25% off,25% off the TOTAL BILL,,"In a city where late-night dining often means compromising on quality, Grilled & Co in Northbridge breaks the mould — offering flame-grilled indulgence well into the early hours. Nestled on Aberdeen Street, this casual yet confident eatery serves up hearty grilled meats, vibrant fusion flavours, and generous platters that cater to both the ravenous and the refined.","• Valid for Dine-In
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.","63A Aberdeen Street, Perth WA 6000, Australia",Perth,WA,+61410169133,-31.946833582107782,115.85965340986867,https://www.entertainment.com.au/offer-details/ac9f132a-1599-45cc-aa03-d950c81db956
4c6377f1-3684-46a9-8d46-e62f246e520c,Cafe and Family Dining,Cafe,Palace Arcade Northbridge,Up to $25,Enjoy 25% off,25% off the TOTAL BILL,https://www.thepalacearcade.com.au/,Perth’s first Arcade Bar. Palace Arcade Northbridge is dedicated to 100% original arcade machines from the '80s and '90s alongside Perth’s finest craft beers and cocktails.,"• This offer can also be used when dining alone
• Valid for dine-in and takeaway
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.","84 Beaufort Street, Perth WA 6000, Australia",Perth,WA,+61892277439,-31.949565,115.862964,https://www.entertainment.com.au/offer-details/4c6377f1-3684-46a9-8d46-e62f246e520c
778cff64-746a-4ecf-a442-baef0acab399,Cafe and Family Dining,Steak,Outback Jacks Northbridge,Up to $30,Enjoy 25% off,25% off the TOTAL BILL,https://www.outbackjacks.com.au/,"Outback Jacks Bar & Grill is an exciting chain of restaurants, 100% Australian owned, offering relaxed, casual family dining. Huge selection of exceptional premium grade meat and seafood dishes. Full bar facilities and extensive wine list. Open 7 days, 11.30am until late.","• Valid for dine-in only
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.","124 James Street, Northbridge WA 6003, Australia",Northbridge,WA,+61892277346,-31.947958,115.857686,https://www.entertainment.com.au/offer-details/778cff64-746a-4ecf-a442-baef0acab399
3dfdd8c5-e003-449a-aa0b-814837d3f8e2,Cafe and Family Dining,Pubdining,Norfolk Hotel,Up to $50,Enjoy 25% off,25% off the TOTAL BILL,https://www.norfolkhotel.com.au,"Fremantle's iconic corner pub, with its famous limestone all-weather courtyard. Genuine craft beers, classic wines, hot smoked meats from their charcoal smoker barbecue, traditional stone-fi red pizza, chilled tunes from today and days gone by. They've got it – always fresh, local and very Freo!","• Valid for Dine-In
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.","47 South Terrace, Fremantle WA 6160, Australia",Fremantle,WA,+61893355405,-32.0572,115.74947,https://www.entertainment.com.au/offer-details/3dfdd8c5-e003-449a-aa0b-814837d3f8e2
32a1ab0c-a637-4079-aa3f-8fe1dae4ab1a,Cafe and Family Dining,Casual,TGI Fridays,Up to $30,Enjoy 25% off,25% off the TOTAL BILL,https://www.tgifridays.com.au/,"Born in New York in 1965, TGI Fridays has become the country's favourite American bar and grill. Tuck into flame-grilled signature ribs, juicy handcrafted burgers and all your other favourites in a premium yet relaxed atmosphere. A restaurant that the whole family can enjoy, TGI Fridays has a Stars ‘n’ Stripes menu perfect for the little ones. Famous for their Long Island Iced Tea, Pink Punk Martini and Ultimate cocktails, you can enjoy an extensive range of cocktails from a carefully curated menu, as well as Happy Hour every day.","• Valid for Dine-In
• Offer is not valid in conjunction with any other offer, including and not limited to lunch deal, kids eat free or MyFridays rewards. Please check with store for details.
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.
• Surfers Paradise location excluded from offer.","Westfield Carousel, 1382 Albany Highway, Cannington WA 6107, Australia",Cannington,WA,+61895544400,-32.02050708467409,115.93767959800259,https://www.entertainment.com.au/offer-details/32a1ab0c-a637-4079-aa3f-8fe1dae4ab1a
