uuid,category,sub_category,name,title,subtitle,summary,website,merchant_editorial,rules,address,city,state,phone,latitude,longitude,detail_url
b6935901-c6d4-4374-9c51-7cf7a3fc1530,Fine Dining,Contemporary,Matilda Bay,Up to $50,Enjoy 25% off,25% off the TOTAL BILL,https://www.matildabayrestaurant.com.au/,"Matilda Bay Restaurant is situated on the banks of the picturesque Swan River and boasts panoramic views. The restaurant is exquisitely designed and offers a magnifi cent Modern Australian dining experience in a relaxed and friendly atmosphere. Market-fresh seafood, local produce, and an extensive wine list feature on the contemporary menu. Matilda Bay Restaurant is open for lunch and dinner 7 days from 11am until late.","• Valid for Dine-In
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.","3 Hackett Drive, Crawley WA 6009, Australia",Crawley,WA,+61894235000,-31.984423,115.822602,https://www.entertainment.com.au/offer-details/b6935901-c6d4-4374-9c51-7cf7a3fc1530
f1fcccbd-f769-4a80-bbee-d8843bc023e3,Fine Dining,Contemporary,Other Side of the Moon Restaurant,Up to $50,Enjoy 25% off,25% off the TOTAL BILL,https://www.pullmanbunkerbayresort.com.au/,"The executive chef and his team pride themselves on using the freshest, and where possible, sustainable local produce from one of the most abundant food and wine regions in Australia. Other Side of the Moon is aptly named after one of the famous beaches and surf breaks nearby. Enjoy a sumptuous buffet breakfast, dine in the formal dining restaurant in the evening or enjoy lunch and light meals from the bar and terrace. Open 7 days a week.","• This offer may also be used when dining alone
• Valid for Dine-In
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.","Pullman Bunker Bay Resort Margaret River Region, 42 Bunker Bay Road, Naturaliste WA 6281, Australia",Naturaliste,WA,+61897569100,-33.546718,115.032391,https://www.entertainment.com.au/offer-details/f1fcccbd-f769-4a80-bbee-d8843bc023e3
20db6cf2-7d2e-4ed1-8273-10075608c9c7,Fine Dining,Contemporary,Lantern on the Quay,Up to $45,Enjoy 25% off,25% off the TOTAL BILL,https://lanternonthequay.com.au/,"Experience the epitome of sophisticated Cantonese hospitality at Lantern on the Quay, Perth's new dining destination in the city. Situated at the prestigious One The Esplanade office tower overlooking Elizabeth Quay, this high-end restaurant promises to revolutionize the city's culinary scene.
At Lantern on the Quay, be prepared to savour authentic Cantonese flavours paired with exquisite wines, cocktails, and spirits. Indulge in our flavorful creations as our skilled chefs meticulously craft a culinary experience that celebrates the rich traditions of Cantonese cuisine. Open Tues - Fri (12 PM 'til 9:30 PM) Sat & Sun (5:30 PM 'til 9:30 PM) See website for details. Bookings highly recommended. Fully licenced.","• Valid for Dine-In
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.","Unit 2 & 4  1  Esplanade, Perth WA 6000, Australia",Perth,WA,+61452288021,-31.957279301617294,115.85830675036961,https://www.entertainment.com.au/offer-details/20db6cf2-7d2e-4ed1-8273-10075608c9c7
6ffc5147-5c10-4063-bd78-f451334c0bca,Fine Dining,Contemporary,Sandalford Restaurant and Bar,Up to $45,Enjoy 25% off,25% off the TOTAL BILL,https://www.sandalford.com/,"The Sandalford Bar and Restaurant celebrates a marriage of modern Australian and contemporary Italian cuisine where the fulsome flavour of WA’s seasonal produce is enhanced by hand-rolled pasta, wood-fired pizza and artisanal products. Experience beautiful vineyard views, whilst enjoying outstanding dishes that incorporate fresh regional produce and innovative Australian cuisine blended perfectly with superb Sandalford wines and an amazing selection of cocktails, spirits, draught beer, ciders and many others.","• Valid for Dine-In
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.","3210 West Swan Road, Caversham WA 6055, Australia",Caversham,WA,+61893749301,-31.86868,115.992709,https://www.entertainment.com.au/offer-details/6ffc5147-5c10-4063-bd78-f451334c0bca
c11607ab-5f7b-44b1-90fa-3c46013cc09f,Fine Dining,Contemporary,Xanadu Wines,Up to $40,Enjoy 25% off,25% off the TOTAL BILL,https://www.xanaduwines.com,"Nestled amongst vineyards and gardens deep within the Xanadu Estate, this indoor/outdoor venue is the perfect setting to enjoy the beautiful Margaret River climate and landscape, delicious food – and above all – the wine. The restaurant is open for lunch from Wednesday to Sunday. Reservations are recommended.","• Valid for Dine-In
• This offer may also be used when dining alone
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.","Boodjidup Road, Margaret River WA 6285, Australia",Margaret River,WA,+61897589500,-33.979583,115.059932,https://www.entertainment.com.au/offer-details/c11607ab-5f7b-44b1-90fa-3c46013cc09f
3a036f34-c0c9-4fb1-8a39-0aabd8b15b93,Fine Dining,Contemporary,C Restaurant,Up to $45,Enjoy 25% off,25% off the TOTAL BILL,https://www.crestaurant.com.au/,"C Restaurant is WA's only revolving restaurant, with 360° views over the beautiful city and beyond. An ideal setting for corporate events, cocktails and canapés, and romantic dinners. C Restaurant is the perfect place to celebrate your special occasion or just enjoy High Tea with friends. With an outstanding menu of award-winning Modern Australian cuisine, and an extensive wine list to tempt any palate, isn't it time to be seen at C Restaurant? Open 7 days from noon until late for lunch, High Tea and dinner.","• Valid for Dine-In
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.","Level 33, St Martins Place, 44 St Georges Terrace, Perth WA 6000, Australia",Perth,WA,+61892208333,-31.955144389139395,115.85939864975808,https://www.entertainment.com.au/offer-details/3a036f34-c0c9-4fb1-8a39-0aabd8b15b93
cf66149e-cb2b-4a4c-a979-dcd5f53022d5,Fine Dining,Contemporary,Wild Swan at Mandoon Estate,Up to $40,Enjoy 25% off,25% off the TOTAL BILL,https://mandoonestate.com.au/,"Wild Swan at Mandoon Estate is the newest addition to Western Australia's famous Swan Valley. A multi-million dollar venue, with a stunning 5 star restaurant, and an imaginative menu sure to impress, Mandoon Estate features a degustation menu that has been specifi cally designed to incorporate local and seasonal produce, carefully matched to Mandoon's award-winning wines. Please refer to website for opening hours.","• Valid for Dine-In
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.","10 Harris Road, Caversham WA 6055, Australia",Caversham,WA,+61862790500,-31.865416,115.99447,https://www.entertainment.com.au/offer-details/cf66149e-cb2b-4a4c-a979-dcd5f53022d5
86496c56-8fdf-4d4d-83e8-bb1233f85456,Fine Dining,Contemporary,Wills Domain,Up to $40,Enjoy 25% off,25% off the TOTAL BILL,https://willsdomain.com.au/,"The WA Good Food Guide Restaurant Of The Year is at the top of its game. The amazing valley views, the pleasing lo-fi service, imaginative plating and innovative cookery – it's all here. Wills Domain offers the ability to take its guests on a culinary journey, with surprises around every corner. Enjoy their iconic tasting menu experience within the theatre kitchen dining room or their à la carte menu matched with award-winning wines from one of the most reputable wine producers in Margaret River.","• Valid for Dine-In
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.","Corner Abbey Farm & Brash Roads, Yallingup WA 6282, Australia",Yallingup,WA,+61897552327,-33.714938,115.048405,https://www.entertainment.com.au/offer-details/86496c56-8fdf-4d4d-83e8-bb1233f85456
6c1dd1eb-13ad-4e28-aaf9-a58bce81c4c6,Fine Dining,Contemporary,Wills Domain eGift Card,14% off,Enjoy 14% off,14% off Entice Dining Redemption Code,https://entice.giftarestaurant.com/,"Wills Domain Restaurant and Cellar Door is at the pinnacle of fine dining in Western Australia. Overlooking the impressive Gunyulgup Valley,Wills Domain offers to take you on a culinary journey while enjoying one of the best views in Margaret River. Recently awarded the 2014, 2015, 2017 and 2019 WA Good Food Guide “Regional Restaurant of the Year”, 2 Hats 16/20 in the National Good Food Guide and a place in The Australian HOT 50 “Hall of Fame” the Restaurant has a refined, industrial feel with a focus on sustainable, wild harvested produce championed by Executive Chef Seth James. The Estate’s onsite gardens grow much of our produce and offer rare insight into the depth and lengths our kitchen takes to showcase their unique, stylish and innovative approach.","• Gift card may take up to 24hrs to arrive
• The Entice Dining eGift Card may not be used directly at any restaurants.
• Entice Dining eGift Cards are valid for 6 months from date of purchase
• Gift A Restaurant Pty Ltd is a distributor of restaurant gift card products including the Entice Dining Gift Card products.
• Gift Cards distributed by Gift A Restaurant Pty Ltd are non-refundable, cannot be treated as cash and cannot be replaced if lost or stolen.
• Entice Dining Gift Cards distributed by Gift A Restaurant Pty Ltd expire after issue as stated in accordance with the Law. Entice Dining Gift Cards distributed by Gift A Restaurant Pty Ltd can only be redeemed on the Entice Dining website (http://entice.giftarestaurant.com/) as outlined within the customer redemption instructions.
• When an Entice Dining Gift Card distributed by Gift a Restaurant Pty Ltd is redeemed online for a restaurant Gift Card, Gift A Restaurant Pty Ltd issued restaurant Gift Cards may only be used for purchases at the specified venue and cannot be returned or exchanged for cash.
• Gift A Restaurant Pty Ltd issued restaurant Gift Cards may not be re-sold or bartered for cash.
• Gift A Restaurant Pty Ltd reserve the right to change any of the terms contained in these Terms and Conditions at any time where the change is required.
• By purchasing, redeeming or attempting to redeem a Gift A Restaurant Pty Ltd Gift Card, you: accept and agree to be bound by these Terms and Conditions; and acknowledge that you have read and understood our Privacy Policy (https://giftarestaurant.com/privacy-policy/).
• You may be required to produce proof of identification at the time of redeeming your Gift Card. If you are unable to provide identification the staff at the venue where you are attempting to redeem your gift card have the right to not accept the Gift Card as payment until you are able to do so.
• Further Terms and Conditions at https://giftarestaurant.com/terms-of-online-sale/
• Offer valid for repeat use
• Can purchase up to $2,500 in eGift Cards per transaction
• May purchase up to $10,000 per Entertainment Membership
• In the event that your nominated venue closes, Gift A Restaurant Pty Ltd can exchange the gift card for another venue. Please email them directly at contactus@giftarestaurant.com","17 Brash Rd, Yallingup WA 6282, Australia",Yallingup,WA,,-33.71681490083395,115.04589784542877,https://www.entertainment.com.au/offer-details/6c1dd1eb-13ad-4e28-aaf9-a58bce81c4c6
3a43190b-21a0-4cea-b148-2ea8179ce37d,Fine Dining,Cafe,Swell Mullaloo Beach,Up to $40,Enjoy 25% off,25% off the TOTAL BILL,https://www.swellkitchen.com.au,"Swell Mullaloo Beach has arguably the best view of any restaurant in the country. Overlooking the iconic Mullaloo Beach, every seat in the restaurant has uninterrupted views of this famous shoreline. The cuisine is also world class, featuring a wide range of dishes using only the freshest, locally-sourced produce. Bookings are strongly recommended at this busy venue. Fully licensed.","• Valid for Dine-In
• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times.","11 Oceanside Promenade, Mullaloo WA 6027, Australia",Mullaloo,WA,+61893071188,-31.785536,115.73403,https://www.entertainment.com.au/offer-details/3a43190b-21a0-4cea-b148-2ea8179ce37d
