uuid,category,sub_category,name,title,subtitle,summary,website,merchant_editorial,rules,address,city,state,phone,latitude,longitude,detail_url
11e8d1f9-4bf6-48a1-b6c5-278727728b0c,Informal Dining and Takeaway,Takeaway,Donut King,One six pack of cinnamon donuts,"Buy one, get one free",One complimentary SIX PACK OF CINNAMON DONUTS when another SIX PACK OF CINNAMON DONUTS of equal or greater value is purchased,https://www.donutking.com.au/,,• Valid at all participating Australian locations,"Kiosk KK 014 Midland Gate Shopping Centre, Brockman Road, Midland WA 6056, Australia",Midland,WA,,-27.66322,153.059494,https://www.entertainment.com.au/offer-details/11e8d1f9-4bf6-48a1-b6c5-278727728b0c
8ffa5d07-c93f-49bd-ae03-97da5a2cc4ab,Informal Dining and Takeaway,Takeaway,Donut King,One regular hot dog,"Buy one, get one free",One complimentary REGULAR HOT DOG when another REGULAR HOT DOG of equal or greater value is purchased,https://www.donutking.com.au/,,• Valid at all participating Australian locations (excluding Express Stores where product may not be available),"Kiosk KK 014 Midland Gate Shopping Centre, Brockman Road, Midland WA 6056, Australia",Midland,WA,,-27.66322,153.059494,https://www.entertainment.com.au/offer-details/8ffa5d07-c93f-49bd-ae03-97da5a2cc4ab
0274ada2-074d-460d-8dba-887021fce17f,Informal Dining and Takeaway,Takeaway,Donut King,One regular hot beverage,"Buy one, get one free",One complimentary REGULAR HOT BEVERAGE when another REGULAR HOT BEVERAGE of equal or greater value is purchased,https://www.donutking.com.au/,,• Valid at all participating Australian locations,"Kiosk KK 014 Midland Gate Shopping Centre, Brockman Road, Midland WA 6056, Australia",Midland,WA,,-27.66322,153.059494,https://www.entertainment.com.au/offer-details/0274ada2-074d-460d-8dba-887021fce17f
7007ae52-79b8-4ee7-93f3-ec6a900392a3,Informal Dining and Takeaway,Takeaway,Krispy Kreme,One bagel,"Buy one, get one free",One complimentary BAGEL when another BAGEL of equal or greater value is purchased,www.krispykreme.com.au,"Krispy Kreme Australia is proud to be the first country outside of the USA to make the iconic Original Glazed® doughnut.  Krispy Kreme doughnuts are made fresh daily and are perfect for treating yourself or sharing  at celebrations like birthday’s, parties or sporting events.","• Valid at all current and future locations
• Available on App Only","Lot 1, 1441 Albany Highway, Cannington WA 6107, Australia",Cannington,WA,,-32.025571649807766,115.9412549962613,https://www.entertainment.com.au/offer-details/7007ae52-79b8-4ee7-93f3-ec6a900392a3
80d8ccaa-71a0-4c1d-b84b-c37c2c9d01de,Informal Dining and Takeaway,Takeaway,Krispy Kreme,One coffee,"Buy one, get one free",One complimentary COFFEE when another COFFEE of equal or greater value is purchased,www.krispykreme.com.au,"Krispy Kreme Australia is proud to be the first country outside of the USA to make the iconic Original Glazed® doughnut.  Krispy Kreme doughnuts are made fresh daily and are perfect for treating yourself or sharing  at celebrations like birthday’s, parties or sporting events.","• Valid at all current and future locations
• Available on App Only","Lot 1, 1441 Albany Highway, Cannington WA 6107, Australia",Cannington,WA,,-32.025571649807766,115.9412549962613,https://www.entertainment.com.au/offer-details/80d8ccaa-71a0-4c1d-b84b-c37c2c9d01de
1c077d01-b234-4d6e-b9fa-129382002801,Informal Dining and Takeaway,Takeaway,Krispy Kreme,One dozen original glazed doughnuts,"Buy one, get one free",One complimentary DOZEN ORIGINAL GLAZED DOUGHNUTS when another DOZEN ORIGINAL GLAZED DOUGHNUTS of equal or greater value is purchased,www.krispykreme.com.au,"Krispy Kreme Australia is proud to be the first country outside of the USA to make the iconic Original Glazed® doughnut.  Krispy Kreme doughnuts are made fresh daily and are perfect for treating yourself or sharing  at celebrations like birthday’s, parties or sporting events.","• Valid at all current and future locations
• Available on App Only","Lot 1, 1441 Albany Highway, Cannington WA 6107, Australia",Cannington,WA,,-32.025571649807766,115.9412549962613,https://www.entertainment.com.au/offer-details/1c077d01-b234-4d6e-b9fa-129382002801
235f1e60-a57c-4d73-bea4-edc1a041a13b,Informal Dining and Takeaway,Takeaway,Cold Rock Ice Creamery,One regular ice cream,"Buy one, get one free","Buy One Regular Size ice cream cup/cone, Get One Regular Size ice cream cup/cone Free (equal or lesser value).",https://www.coldrock.com.au/,"Treat yourself to Australia’s coolest frozen treats! With over 30,000 combos to choose from, the options are endless. From ice cream cakes and shakes to cups, cones and take-home tubs, you can choose your favourite flavours and Mix-Ins to create your own personalised combo!","• Valid IN-STORE ONLY
• Mix Ins not included
• Valid at all current and future locations
• Excludes Mobile Van and Cold Rock Express locations
• For store locations please visit www.coldrock.com.au","Shop 11, 148 The Esplanade, Scarborough WA 6019, Australia",Scarborough,WA,,-31.893264909403985,115.75699696923203,https://www.entertainment.com.au/offer-details/235f1e60-a57c-4d73-bea4-edc1a041a13b
24628651-bee0-4e63-8bdf-92eb4a33197d,Informal Dining and Takeaway,Takeaway,Cold Rock Ice Creamery,Up to $10,Enjoy $10 off,$10 off the REGULAR PRICE OF ANY COLD ROCK CAKE PURCHASE OF $60 OR MORE,https://www.coldrock.com.au/,"Treat yourself to Australia’s coolest frozen treats! With over 30,000 combos to choose from, the options are endless. From ice cream cakes and shakes to cups, cones and take-home tubs, you can choose your favourite flavours and Mix-Ins to create your own personalised combo!","• Valid IN-STORE ONLY
• Valid at all current and future locations
• For store locations please visit www.coldrock.com.au
• Excludes Mobile Van and Cold Rock Express locations","Shop 11, 148 The Esplanade, Scarborough WA 6019, Australia",Scarborough,WA,,-31.893264909403985,115.75699696923203,https://www.entertainment.com.au/offer-details/24628651-bee0-4e63-8bdf-92eb4a33197d
eba4e9cc-ab6d-4c7f-b022-58ea15ebf607,Informal Dining and Takeaway,Takeaway,The Cheesecake Shop AU,Up to $10,Enjoy 25% off,25% off the TOTAL BILL,https://www.cheesecake.com.au/,"Famous for their delicious range of cheesecakes, mudcakes, tortes and desserts, that are perfect for any occasion. Whether it is a quarter for a daily treat, dessert for the family or a special celebration cake for that important milestone, The Cheesecake Shop can help. Baked in-store, made with love, open 7 days. Visit www.cheesecake.com.au/find-bakery for your nearest bakery.","• Offer is not available for vegan cakes, gluten free cakes and pre-order cakes
• Offer is redeemable in-store only and is not redeemable on The Cheesecake Shop website
• Not to be used with any other offer
• Offer not available for use on public holidays/optional days as per Entertainment Rules of Use","49B William Street, Armadale WA 6112, Australia",Armadale,WA,,-32.155057,116.013631,https://www.entertainment.com.au/offer-details/eba4e9cc-ab6d-4c7f-b022-58ea15ebf607
a627d95c-06fa-4183-985a-c6c37ba0a7d7,Informal Dining and Takeaway,Takeaway,San Churro,Up to $20,"Buy one, get one free",One complimentary Small Churros when another Small Churros of equal or greater value is purchased,https://www.sanchurro.com/,"San Churro is Australia's favourite chocolate café. Like the chocolaterias of Spain, San Churro is a place where friends can come together to share, celebrate and indulge! Enjoy Churros (Spanish doughnuts) made fresh-to-order, served with couverture chocolate, or decadent desserts, premium chocolate shakes, traditional Spanish hot chocolate, and more.","• Buy One Get One Free Offer applies to full priced Small Churros For One, valid to redeem at any San Churro location for entertainment group customers.
• 100% discount is applied to the second Small Churros For One purchased within the same transaction.
• Extras charged at additional cost.
• Not to be used in conjunction with any other offer or discount. Offer available in-store at the counter only, offer not available for delivery orders.","Eaton Fair Shopping Centre, Tenancy 59, 2 Recreation Drive, Eaton WA 6232, Australia",Eaton,WA,+61897879408,-33.318724,115.716712,https://www.entertainment.com.au/offer-details/a627d95c-06fa-4183-985a-c6c37ba0a7d7
