uuid,category,sub_category,name,title,subtitle,summary,website,merchant_editorial,rules,address,city,state,phone,latitude,longitude,detail_url
c09bd370-2bf9-4bbe-98b6-5ab1ba7bc688,Retail and Local Services,Automotive,Star Car Wash,Up to $50,Enjoy $50 off,$50 off FULL DETAIL,https://www.starcarwash.com.au/,,,"Midland Gate Shopping Centre, 274 Great Eastern Highway, Midland WA 6056, Australia",Midland,WA,,-31.8899791,116.0076939,https://www.entertainment.com.au/offer-details/c09bd370-2bf9-4bbe-98b6-5ab1ba7bc688
2e76982a-a09d-41b5-9ca9-5efca61ccc3a,Retail and Local Services,Automotive,Star Car Wash,Up to $25,Enjoy $25 off,$25 off INTERIOR DETAIL,https://www.starcarwash.com.au/,,,"Midland Gate Shopping Centre, 274 Great Eastern Highway, Midland WA 6056, Australia",Midland,WA,,-31.8899791,116.0076939,https://www.entertainment.com.au/offer-details/2e76982a-a09d-41b5-9ca9-5efca61ccc3a
4f91ec90-86f4-4ee8-820a-0aec12476cf0,Retail and Local Services,Automotive,Star Car Wash,Up to $10,Enjoy $10 off,$10 off PLATINUM,https://www.starcarwash.com.au/,,,"Midland Gate Shopping Centre, 274 Great Eastern Highway, Midland WA 6056, Australia",Midland,WA,,-31.8899791,116.0076939,https://www.entertainment.com.au/offer-details/4f91ec90-86f4-4ee8-820a-0aec12476cf0
0cadc29a-89a9-4f66-91ca-d92221e3b99a,Retail and Local Services,Automotive,Star Car Wash,Up to $10,Enjoy $10 off,$10 off POLISH,https://www.starcarwash.com.au/,,,"Midland Gate Shopping Centre, 274 Great Eastern Highway, Midland WA 6056, Australia",Midland,WA,,-31.8899791,116.0076939,https://www.entertainment.com.au/offer-details/0cadc29a-89a9-4f66-91ca-d92221e3b99a
c1a85fdf-cfaf-4030-aee5-80a1ea779131,Retail and Local Services,Automotive,Midas,Up to $50,Enjoy $50 off,$50 off a MAJOR SERVICE (Offer must be presented at the time of booking),https://www.midas.com.au/,"Midas is a trusted Australian household name with over 40 years’ experience in the Australian automotive services industry. The Midas brand is synonymous with high-quality, trust and attention to customer needs. We offer down-to-earth pricing, with no ‘ifs’ or ‘buts’. We want you to know where you stand by clearly outlining your service options and enabling you to pay for your service over time. We manage one of the country’s largest networks of auto service centres, and we are committed to expanding our services whenever we can, in the aim to create a better and more transparent offering for our customers.","• Parts and fluids must be purchased from Midas
• Not to be used in conjunction with any other offer","U2, 205 Great Eastern Highway, Midland WA 6056, Australia",Midland,WA,136432,-31.892646,116.016103,https://www.entertainment.com.au/offer-details/c1a85fdf-cfaf-4030-aee5-80a1ea779131
d3ff7d6e-5a5d-4116-a68c-c285730d9aab,Retail and Local Services,Automotive,Midas,Up to $25,Enjoy $25 off,$25 off a LOGBOOK SERVICE (Offer must be presented at the time of booking),https://www.midas.com.au/,"Midas is a trusted Australian household name with over 40 years’ experience in the Australian automotive services industry. The Midas brand is synonymous with high-quality, trust and attention to customer needs. We offer down-to-earth pricing, with no ‘ifs’ or ‘buts’. We want you to know where you stand by clearly outlining your service options and enabling you to pay for your service over time. We manage one of the country’s largest networks of auto service centres, and we are committed to expanding our services whenever we can, in the aim to create a better and more transparent offering for our customers.","• Parts and fluids must be purchased from Midas
• Not to be used in conjunction with any other offer","U2, 205 Great Eastern Highway, Midland WA 6056, Australia",Midland,WA,136432,-31.892646,116.016103,https://www.entertainment.com.au/offer-details/d3ff7d6e-5a5d-4116-a68c-c285730d9aab
730f739b-2bb9-4cf6-bf58-4c3bcd41ccdc,Retail and Local Services,Automotive,Midas,Up to $25,Enjoy $25 off,$25 off a BRAKE REPLACEMENT (Offer must be present at the time of booking),https://www.midas.com.au/,"Midas is a trusted Australian household name with over 40 years’ experience in the Australian automotive services industry. The Midas brand is synonymous with high-quality, trust and attention to customer needs. We offer down-to-earth pricing, with no ‘ifs’ or ‘buts’. We want you to know where you stand by clearly outlining your service options and enabling you to pay for your service over time. We manage one of the country’s largest networks of auto service centres, and we are committed to expanding our services whenever we can, in the aim to create a better and more transparent offering for our customers.","• Parts and fluids must be purchased from Midas
• Not to be used in conjunction with any other offer","U2, 205 Great Eastern Highway, Midland WA 6056, Australia",Midland,WA,136432,-31.892646,116.016103,https://www.entertainment.com.au/offer-details/730f739b-2bb9-4cf6-bf58-4c3bcd41ccdc
821a57ee-e299-497b-9c9e-b7e1476e884c,Retail and Local Services,Sports and Fitness,Curves,Free,One complimentary week,"One complimentary Week, In-Club or Online.",https://curves.com.au/,"Curves helps women to get healthier and stronger with their unique fitness solution. The 30-minute Body Basic Circuits work every major muscle group through a proven program of strength training, cardio and stretching. Curves helps members preserve muscle mass, regardless of age, as well as develop strong muscles, which provide support for bones and joints. Membership also includes fun, fast and effective workouts, safe equipment designed for women, total body workouts, and a Curves coach to teach and motivate. ""Live Stronger Together with Curves"".","• Valid for 7 consecutive days, at the same location
• Limit one fitness membership per person at participating locations only
• Not valid with any other offer
• No cash value and new members only
• First visit discount may be offered in exchange for a 7-day trial.
• If you do not cancel within the first 7 days, monthly charge will be applied thereafter.
• Cannot be combined with other offers. For full terms and cancellations go to our Terms of Service","Unit 1, 30 Ainsbury Parade, Clarkson WA 6030, Australia",Clarkson,WA,+61893059877,-31.678444,115.716954,https://www.entertainment.com.au/offer-details/821a57ee-e299-497b-9c9e-b7e1476e884c
e3f6ebd3-e6d2-46a9-8ad0-29a9ec20d430,Retail and Local Services,Automotive,ABS Auto,Up to $50,Enjoy $50 off,$50 off a MAJOR SERVICE (Offer must be presented at the time of booking),https://www.absauto.com.au/,"Since 1981, their mission has been to stay passionate about providing their customers with the best automotive services possible, including the best customer service and the most professional care for your vehicle, which means you can have peace of mind that your family is travelling safely all year round. ABS Auto can meet all your servicing needs including logbook, major and minor servicing, brakes, clutch, suspension and other mechanical repairs.","• Parts and fluids to be purchased from ABS
• Not to be used in conjunction with any other offer","6 Lloyd Street, Midland WA 6056, Australia",Midland,WA,+613132270,-31.893578,116.013901,https://www.entertainment.com.au/offer-details/e3f6ebd3-e6d2-46a9-8ad0-29a9ec20d430
11f59bb2-2c37-4c95-8e6e-13df0615a162,Retail and Local Services,Automotive,ABS Auto,Up to $25,Enjoy $25 off,$25 off BRAKE REPLACEMENT. (Offer must be presented at the time of booking),https://www.absauto.com.au/,"Since 1981, their mission has been to stay passionate about providing their customers with the best automotive services possible, including the best customer service and the most professional care for your vehicle, which means you can have peace of mind that your family is travelling safely all year round. ABS Auto can meet all your servicing needs including logbook, major and minor servicing, brakes, clutch, suspension and other mechanical repairs.","• Parts and fluids to be purchased from ABS
• Not to be used in conjunction with any other offer","6 Lloyd Street, Midland WA 6056, Australia",Midland,WA,+613132270,-31.893578,116.013901,https://www.entertainment.com.au/offer-details/11f59bb2-2c37-4c95-8e6e-13df0615a162
e27e3fc1-df19-4f77-8eb2-cc0cf9087c72,Retail and Local Services,Automotive,ABS Auto,Up to $25,Enjoy $25 off,$25 off a MINOR OR LOGBOOK SERVICE. (Offer must be presented at time of booking),https://www.absauto.com.au/,"Since 1981, their mission has been to stay passionate about providing their customers with the best automotive services possible, including the best customer service and the most professional care for your vehicle, which means you can have peace of mind that your family is travelling safely all year round. ABS Auto can meet all your servicing needs including logbook, major and minor servicing, brakes, clutch, suspension and other mechanical repairs.","• Parts and fluids to be purchased from ABS
• Not to be used in conjunction with any other offer","6 Lloyd Street, Midland WA 6056, Australia",Midland,WA,+613132270,-31.893578,116.013901,https://www.entertainment.com.au/offer-details/e27e3fc1-df19-4f77-8eb2-cc0cf9087c72
67dcedf2-5d5a-4d8c-9895-27f42d8d8e4c,Retail and Local Services,Sports and Fitness,IFLY Australia,Up to $100,Enjoy 20% off,20% off the REGULAR PRICE of 2 FLIGHTS DISCOVERY.,https://www.iflyworld.com.au/,"WHO CAN FLY?
You can.

So can anyone you'd like to bring with you. We offer a safe, fun, and overall awesome experience for all flyers.
•	Flyers can be as young as 3 years old.
•	Ages 17 and below need a parent or guardian to sign their waiver.
•	There is no upper age limit to fly. Even people over 100 have flown with iFLY!","• Excludes special events or limited time offer
• Not to be used in conjunction with any other offer
• Offer can only be redeemed on iFly website and not on-site
• Press redeem button to be re-directed to booking page with offer applied. Members must present their app on arrival to onsite staff","143 Great Eastern Highway, Rivervale WA 6103, Australia",Rivervale,WA,+611300435928,-31.952304019072375,115.91694156742248,https://www.entertainment.com.au/offer-details/67dcedf2-5d5a-4d8c-9895-27f42d8d8e4c
71222a66-aaa8-49a7-8328-8e0aa2790aa4,Retail and Local Services,Homewares and Fashion,Global Culture Australia,20% off,Enjoy 20% off,20% off the regular price of any PURCHASE.Please see below and click View Rules & Restrictions to reveal the Promo code for this offer. Visit the businesses website and enter the Promo code when purchasing. This promo code will activate the special price for your online purchase.,www.globalculture.com.au,,,"www.globalculture.com.au, Sydenham Christchurch 8024, New Zealand",Sydenham,Christchurch,1800491546,-43.54747,172.6366867,https://www.entertainment.com.au/offer-details/71222a66-aaa8-49a7-8328-8e0aa2790aa4
