uuid,category,sub_category,name,title,subtitle,summary,website,merchant_editorial,rules,address,city,state,phone,latitude,longitude,detail_url
deffa67f-b92a-447f-a862-1a40b1ee0833,Attraction and Activities,Theme Park and attractions,Murder Mystery Nights,25% off,Enjoy 25% off,25% off any MURDER MYSTERY NIGHT - MURDER IN A BOX. Please see below and click View Rules & Restrictions to reveal the Promo code for this offer. Visit the businesses website and enter the Promo code when purchasing tickets. This promo code will activate the special price for your online purchase.,https://www.murdermystery.com.au/,,,,,,,,,https://www.entertainment.com.au/offer-details/deffa67f-b92a-447f-a862-1a40b1ee0833
1b32eadc-f2b1-4cb4-83d5-db66df6249be,Attraction and Activities,Theme Park and attractions,Murder Mystery Nights,25% off,Enjoy 25% off,25% off any MURDER MYSTERY NIGHT - MURDER IN A BOX,https://www.murdermystery.com.au/,"Great for conferences, birthdays, staff functions, Christmas parties, hen's nights – any social event. Suitable for 2-200 guests at the venue of your choice. Larger groups by arrangement. They provide everything you need for a great night of mystery including invitations, all equipment and even handcuffs for the murderer! Run the party yourself or engage a professional actor to come along. Call Gozone now for a free information pack.",• Quote code E106 when ordering,,,,,,,https://www.entertainment.com.au/offer-details/1b32eadc-f2b1-4cb4-83d5-db66df6249be
a766702b-7edf-4b74-a8e1-d363cf91b615,Attraction and Activities,Sports and Fitness,Curves,30% off,Enjoy 30% off,30% off the regular price of any ENROLMENT FEE.,https://curves.com.au/,"Curves helps women to get healthier and stronger with their unique fitness solution. The 30-minute Body Basic Circuits work every major muscle group through a proven program of strength training, cardio and stretching. Curves helps members preserve muscle mass, regardless of age, as well as develop strong muscles, which provide support for bones and joints. Membership also includes fun, fast and effective workouts, safe equipment designed for women, total body workouts, and a Curves coach to teach and motivate. ""Live Stronger Together with Curves"".","• Enrolment fee and monthly fees vary by location.
• Requires joining same day as first visit for a minimum 12-month recurring billing contract.
• Valid for new members only
• Valid at one club only.
• Cannot be shared / split between multiple people.
• Not valid with any other offer or discount
• Valid at all Australian and New Zealand Clubs","96/11 Wimmera Street, Harrison ACT 2914, Australia",Harrison,ACT,+61262555916,-35.1996057,149.1505165,https://www.entertainment.com.au/offer-details/a766702b-7edf-4b74-a8e1-d363cf91b615
c80dd3a8-d6d6-4fa1-be58-7117f7e64728,Attraction and Activities,Family Activities,Hijinx Hotel,Up to $100,Enjoy 30% off,30% off the TOTAL  BILL for up to 4 people,https://booking.hijinxhotel.com.au/suburbs,"Hijinx Hotel is an immersive interactive game experience housed within the theme, wonder and theatre of a quirky New York style hotel where the rooms are reimagined into quick play, challenge rooms. Leave the suitcases at home - these are rooms where you play, not stay. Each of the hotel wings is home to highly fun & experiential, game-afied rooms made up of 5 different collaborative games. Hijinx is perfect for the young and the young at heart, for groups, on a date or just out with a mate.","• Online booking is required. Please visit the Hijinx Hotel website to book before visiting the venue.
• The promo code can only be redeemed online, it cannot be redeemed on the spot for walk-ins.
• Valid at all current and future locations as per participant's website.
• This offer applies to Activities only, not F&amp;B or retail.
• This offer may not be used in conjunction with any other promotions.","Shop EG01, 148 Bunda Street, Canberra ACT 2601, Australia",Canberra,ACT,1300727833,-35.27952024211473,149.13553612472685,https://www.entertainment.com.au/offer-details/c80dd3a8-d6d6-4fa1-be58-7117f7e64728
76c011cf-9516-4492-bab2-2c390f1d1587,Attraction and Activities,Sports and Fitness,GKR Karate,Up to $100,Enjoy 50% off,50% off the REGULAR PRICE of Enrolment Fee PLUS receive free Training Gloves,https://www.gkrkarate.com/entertainment-special-offer/,"Go-Kan-Ryu (GKR) Karate brings the Martial Art of Karate in reach of everyone, regardless of age or fitness levels. GKR was established in 1984 in Adelaide, South Australia, and has since become one of the world’s largest karate organisations, with thousands of students training throughout Australia, New Zealand and the United Kingdom. Classes are disciplined, yet fun, allowing the whole family to participate, learn and develop at their own speed. We start children from as young as 3 years of age, and our older students are well into their seventies. We believe that people of all walks of life can enjoy the many benefits that karate training offers. Karate is not just a great form of self defense, but provides all students the opportunity to enhance their character and develop confidence, focus and inner security. Above all, we teach in a non-contact environment to provide a safe training environment and to encourage self-discipline and control. Karate training allows you to improve your fitness while learning something valuable at the same time.","• To utilise this offer, member's MUST register their interest through this link: https://www.gkrkarate.com/entertainment-special-offer/
• Once GKR Karate receives your registration of interest, a local instructor will be in contact with you to provide next steps and will organise you to receive this special offer.",,,,,,,https://www.entertainment.com.au/offer-details/76c011cf-9516-4492-bab2-2c390f1d1587
8b0206b9-1bf7-437b-b9b9-19516e7a2bde,Attraction and Activities,Family Activities,Lollipop's Playlands,One admission,"Buy one, get one free",One complimentary ADMISSION when another ADMISSION  of equal or greater value is purchased,https://www.lollipopsplayland.com.au/,"Lollipop's Playlands feature unique and exciting play areas for children in an indoor, clean, safe and fun environment. Playlands have dedicated toddler areas, through to multi-level climbing frames, jumping castles, slides and merry-go-rounds. Parents can relax in the fully air-conditioned cafés, serving great coffees, wicked treats and delicious meals. A great place for your child's next birthday party. Visit the website for a full list of locations.",• Valid at all existing and future locations,"Majura Park Shopping Centre, Spitfire Avenue, Majura ACT 2609, Australia",Majura,ACT,+61262576077,-35.2979092,149.1903717,https://www.entertainment.com.au/offer-details/8b0206b9-1bf7-437b-b9b9-19516e7a2bde
f8f5c001-9b8c-4671-9aa2-effc7c607724,Attraction and Activities,Box Office,The Roo Theatre Company,One admission,"Buy one, get one free",One ADMISSION when another ADMISSION  of equal or greater value is purchased,https://www.roo-theatre.com.au/,,,"12 Addison Street, Shellharbour NSW 2529, Australia",Shellharbour,NSW,+61487913522,-34.578149,150.868355,https://www.entertainment.com.au/offer-details/f8f5c001-9b8c-4671-9aa2-effc7c607724
84b17092-d7e0-49d2-9c57-7533adeda41a,Attraction and Activities,Family Activities,Shoalhaven Skirmish,Up to $50,Enjoy 25% off,25% off any SKIRMISH PACKAGE,https://www.shoalhavenskirmish.com.au/,,,"39 Falls Road, Falls Creek NSW 2540, Australia",Falls Creek,NSW,+61244478320,-34.976356,150.595397,https://www.entertainment.com.au/offer-details/84b17092-d7e0-49d2-9c57-7533adeda41a
35b912f2-3fc4-4da0-92cb-8de437fc028f,Attraction and Activities,Party Needs,Yabadoo Kids Entertainment,25% off,Enjoy 25% off,25% off any ONE AND A HALF HOUR OR MORE KIDS PARTY PACKAGES,https://www.yabadoo.com.au/,,,,,,+61416798698,,,https://www.entertainment.com.au/offer-details/35b912f2-3fc4-4da0-92cb-8de437fc028f
151e485e-07e4-4b33-b7b0-0ec4a0140bd9,Attraction and Activities,Sports and Fitness,SpeedFit,Up to $20,Enjoy 20% off,20% off the regular price of any 4 pack Speedfit Trial ( 4 Pack for $96 - regular price $120,https://www.speedfit.com.au/,"""SpeedFit - Fast. Efficient. Effective. It's the smarter workout! At SpeedFit, we’re redefining the way you think about fitness! Using cutting-edge EMS training, scientifically proven, we deliver results that usually take hours, in a 20-minute training session. SpeedFit is your ultimate solution for fast, fun, and effective workouts. SpeedFit is a smarter, more efficient workout. Imagine getting all the benefits of a personal training session in just 20 minutes. Here’s what you can look forward to: reducing cellulite, building and strengthening muscles, losing weight faster, and improving your overall health and well-being. Experience the future of fitness with SpeedFit!""","• Offer valid to new clients only
• One trial pack per person
• Contact your nearest SppedFit to book in your session
• Included is an initial induction session + 4 trial sessions valid for 1 month","6/81 Giles Street, Kingston ACT 2604, Australia",Kingston,ACT,+61261908895,-35.31253369522798,149.1464582548066,https://www.entertainment.com.au/offer-details/151e485e-07e4-4b33-b7b0-0ec4a0140bd9
8f76d470-b5f4-4cfb-b9c9-ff9512131843,Attraction and Activities,Sports and Fitness,Deanne Calisthenics Club - Dance,25% off,Enjoy 25% off,25% off the REGULAR PRICE of a TERM FEE FOR NEW STUDENTS,https://deanne.com.au/,,,"St John Vianney's School Hall, Namatjira Drive, Waramanga ACT 2611, Australia",Waramanga,ACT,,-35.35174679022729,149.0551056539417,https://www.entertainment.com.au/offer-details/8f76d470-b5f4-4cfb-b9c9-ff9512131843
a89273ca-d5d9-45d3-b087-bb711f182f9e,Attraction and Activities,Sports and Fitness,Deanne Calisthenics Club - Dance,25% off,Enjoy 25% off,25% off the REGULAR PRICE of any TEENIE TOTS CLASS FEES.,https://deanne.com.au/,,,"St John Vianney's School Hall, Namatjira Drive, Waramanga ACT 2611, Australia",Waramanga,ACT,,-35.35174679022729,149.0551056539417,https://www.entertainment.com.au/offer-details/a89273ca-d5d9-45d3-b087-bb711f182f9e
