uuid,category,sub_category,name,title,subtitle,summary,website,merchant_editorial,rules,address,city,state,phone,latitude,longitude,detail_url
c09bd370-2bf9-4bbe-98b6-5ab1ba7bc688,Retail and Local Services,Automotive,Star Car Wash,Up to $50,Enjoy $50 off,$50 off FULL DETAIL,https://www.starcarwash.com.au/,,,"Gungahlin Marketplace, BigW Basement Carpark, Entry via Gozzard or Efkarpidis Street, Gungahlin ACT 2912, Australia",Gungahlin,ACT,+61262417531,-35.184039,149.132577,https://www.entertainment.com.au/offer-details/c09bd370-2bf9-4bbe-98b6-5ab1ba7bc688
2e76982a-a09d-41b5-9ca9-5efca61ccc3a,Retail and Local Services,Automotive,Star Car Wash,Up to $25,Enjoy $25 off,$25 off INTERIOR DETAIL,https://www.starcarwash.com.au/,,,"Gungahlin Marketplace, BigW Basement Carpark, Entry via Gozzard or Efkarpidis Street, Gungahlin ACT 2912, Australia",Gungahlin,ACT,+61262417531,-35.184039,149.132577,https://www.entertainment.com.au/offer-details/2e76982a-a09d-41b5-9ca9-5efca61ccc3a
4f91ec90-86f4-4ee8-820a-0aec12476cf0,Retail and Local Services,Automotive,Star Car Wash,Up to $10,Enjoy $10 off,$10 off PLATINUM,https://www.starcarwash.com.au/,,,"Gungahlin Marketplace, BigW Basement Carpark, Entry via Gozzard or Efkarpidis Street, Gungahlin ACT 2912, Australia",Gungahlin,ACT,+61262417531,-35.184039,149.132577,https://www.entertainment.com.au/offer-details/4f91ec90-86f4-4ee8-820a-0aec12476cf0
0cadc29a-89a9-4f66-91ca-d92221e3b99a,Retail and Local Services,Automotive,Star Car Wash,Up to $10,Enjoy $10 off,$10 off POLISH,https://www.starcarwash.com.au/,,,"Gungahlin Marketplace, BigW Basement Carpark, Entry via Gozzard or Efkarpidis Street, Gungahlin ACT 2912, Australia",Gungahlin,ACT,+61262417531,-35.184039,149.132577,https://www.entertainment.com.au/offer-details/0cadc29a-89a9-4f66-91ca-d92221e3b99a
821a57ee-e299-497b-9c9e-b7e1476e884c,Retail and Local Services,Sports and Fitness,Curves,Free,One complimentary week,"One complimentary Week, In-Club or Online.",https://curves.com.au/,"Curves helps women to get healthier and stronger with their unique fitness solution. The 30-minute Body Basic Circuits work every major muscle group through a proven program of strength training, cardio and stretching. Curves helps members preserve muscle mass, regardless of age, as well as develop strong muscles, which provide support for bones and joints. Membership also includes fun, fast and effective workouts, safe equipment designed for women, total body workouts, and a Curves coach to teach and motivate. ""Live Stronger Together with Curves"".","• Valid for 7 consecutive days, at the same location
• Limit one fitness membership per person at participating locations only
• Not valid with any other offer
• No cash value and new members only
• First visit discount may be offered in exchange for a 7-day trial.
• If you do not cancel within the first 7 days, monthly charge will be applied thereafter.
• Cannot be combined with other offers. For full terms and cancellations go to our Terms of Service","96/11 Wimmera Street, Harrison ACT 2914, Australia",Harrison,ACT,+61262555916,-35.1996057,149.1505165,https://www.entertainment.com.au/offer-details/821a57ee-e299-497b-9c9e-b7e1476e884c
5c67cba6-da4e-46f2-b6e7-0db99280f6ea,Retail and Local Services,Automotive,Snap Car Wash,Special Rate,Special rate,$25 off the INTERIOR DETAIL,https://snapcarwash.com.au/,"Choose Snap Car Wash for superior vehicle care. Located conveniently in shopping center parking lots, we offer premier washing, cleaning, and detailing services while you shop. We use high-quality products to ensure top-tier care for every vehicle. Our range of services, from quick washes to comprehensive detailing, caters to various needs and budgets. Opt for Snap Car Wash for efficient, quality service tailored to your lifestyle.","• Please mention this offer when booking
• Not valid with any other offer","6/8 Dakota Drive, Majura ACT 2609, Australia",Majura,ACT,,-35.3003072713654,149.18927626752566,https://www.entertainment.com.au/offer-details/5c67cba6-da4e-46f2-b6e7-0db99280f6ea
9608017d-87e0-4d66-a490-b33ac6d1bffb,Retail and Local Services,Automotive,Snap Car Wash,Special Rate,Special rate,$50 off the FULL DETAIL,https://snapcarwash.com.au/,"Choose Snap Car Wash for superior vehicle care. Located conveniently in shopping center parking lots, we offer premier washing, cleaning, and detailing services while you shop. We use high-quality products to ensure top-tier care for every vehicle. Our range of services, from quick washes to comprehensive detailing, caters to various needs and budgets. Opt for Snap Car Wash for efficient, quality service tailored to your lifestyle.","• Please mention this offer when booking
• Not valid with any other offer","6/8 Dakota Drive, Majura ACT 2609, Australia",Majura,ACT,,-35.3003072713654,149.18927626752566,https://www.entertainment.com.au/offer-details/9608017d-87e0-4d66-a490-b33ac6d1bffb
48920fc9-e009-4ff2-b8d0-3ddbcc9ac166,Retail and Local Services,Automotive,Snap Car Wash,Special Rate,Special rate,$15 off the SNAP POLISH,https://snapcarwash.com.au/,"Choose Snap Car Wash for superior vehicle care. Located conveniently in shopping center parking lots, we offer premier washing, cleaning, and detailing services while you shop. We use high-quality products to ensure top-tier care for every vehicle. Our range of services, from quick washes to comprehensive detailing, caters to various needs and budgets. Opt for Snap Car Wash for efficient, quality service tailored to your lifestyle.","• Please mention this offer when booking
• Not valid with any other offer","6/8 Dakota Drive, Majura ACT 2609, Australia",Majura,ACT,,-35.3003072713654,149.18927626752566,https://www.entertainment.com.au/offer-details/48920fc9-e009-4ff2-b8d0-3ddbcc9ac166
1f780bfc-fafb-4334-a936-ace55be8a5ac,Retail and Local Services,Automotive,Snap Car Wash,Special Rate,Special rate,$10 off the PLATINUM WASH,https://snapcarwash.com.au/,"Choose Snap Car Wash for superior vehicle care. Located conveniently in shopping center parking lots, we offer premier washing, cleaning, and detailing services while you shop. We use high-quality products to ensure top-tier care for every vehicle. Our range of services, from quick washes to comprehensive detailing, caters to various needs and budgets. Opt for Snap Car Wash for efficient, quality service tailored to your lifestyle.","• Please mention this offer when booking
• Not valid with any other offer","6/8 Dakota Drive, Majura ACT 2609, Australia",Majura,ACT,,-35.3003072713654,149.18927626752566,https://www.entertainment.com.au/offer-details/1f780bfc-fafb-4334-a936-ace55be8a5ac
71222a66-aaa8-49a7-8328-8e0aa2790aa4,Retail and Local Services,Homewares and Fashion,Global Culture Australia,20% off,Enjoy 20% off,20% off the regular price of any PURCHASE.Please see below and click View Rules & Restrictions to reveal the Promo code for this offer. Visit the businesses website and enter the Promo code when purchasing. This promo code will activate the special price for your online purchase.,www.globalculture.com.au,,,"www.globalculture.com.au, Sydenham Christchurch 8024, New Zealand",Sydenham,Christchurch,1800491546,-43.54747,172.6366867,https://www.entertainment.com.au/offer-details/71222a66-aaa8-49a7-8328-8e0aa2790aa4
